Time;GPU Utilization
17/12/2025 15:08;0%
17/12/2025 15:09;0%
17/12/2025 15:09;15,20%
17/12/2025 15:10;72,20%
17/12/2025 15:10;81,50%
17/12/2025 15:11;75%
17/12/2025 15:11;82,30%
17/12/2025 15:12;84,20%
17/12/2025 15:12;74,70%
17/12/2025 15:13;77,70%
17/12/2025 15:13;83%
17/12/2025 15:14;84,70%
17/12/2025 15:14;81,70%
17/12/2025 15:15;84,30%
17/12/2025 15:15;81,50%
17/12/2025 15:16;72,50%
17/12/2025 15:16;85,20%
17/12/2025 15:17;84,50%
17/12/2025 15:17;83,20%
17/12/2025 15:18;79,70%
17/12/2025 15:18;83,20%
17/12/2025 15:19;82,80%
17/12/2025 15:19;78,30%
17/12/2025 15:20;72,20%
17/12/2025 15:20;72,50%
17/12/2025 15:21;73,30%
17/12/2025 15:21;82,70%
17/12/2025 15:22;77,30%
17/12/2025 15:22;81,20%
17/12/2025 15:23;75,50%
17/12/2025 15:23;79,30%
17/12/2025 15:24;82,50%
17/12/2025 15:24;81,50%
17/12/2025 15:25;83,20%
17/12/2025 15:25;77,70%
17/12/2025 15:26;81,30%
17/12/2025 15:26;82,70%
17/12/2025 15:27;79%
17/12/2025 15:27;82,80%
17/12/2025 15:28;73,80%
17/12/2025 15:28;82,20%
17/12/2025 15:29;83,80%
17/12/2025 15:29;80,50%
17/12/2025 15:30;71,70%
17/12/2025 15:30;77,20%
17/12/2025 15:31;82%
17/12/2025 15:31;83,80%
17/12/2025 15:32;80,80%
17/12/2025 15:32;82,70%
17/12/2025 15:33;82,50%
17/12/2025 15:33;83,30%
17/12/2025 15:34;75,80%
17/12/2025 15:34;60,80%
17/12/2025 15:35;68,20%
17/12/2025 15:35;82,20%
17/12/2025 15:36;71,30%
17/12/2025 15:36;64%
17/12/2025 15:37;62,50%
17/12/2025 15:37;83,80%
17/12/2025 15:38;73,80%
17/12/2025 15:38;71%
17/12/2025 15:39;80,30%
17/12/2025 15:39;70,70%
17/12/2025 15:40;57,20%
17/12/2025 15:40;71,50%
17/12/2025 15:41;81,50%
17/12/2025 15:41;63,50%
17/12/2025 15:42;70,80%
17/12/2025 15:42;60,80%
17/12/2025 15:43;82,50%
17/12/2025 15:43;77,30%
17/12/2025 15:44;65,50%
17/12/2025 15:44;84,50%
17/12/2025 15:45;74,70%
17/12/2025 15:45;60,70%
17/12/2025 15:46;64%
17/12/2025 15:46;72,50%
17/12/2025 15:47;82,20%
17/12/2025 15:47;73,20%
17/12/2025 15:48;72,20%
17/12/2025 15:48;60,80%
17/12/2025 15:49;66,70%
17/12/2025 15:49;69,80%
17/12/2025 15:50;56,70%
17/12/2025 15:50;72,50%
17/12/2025 15:51;79,80%
17/12/2025 15:51;71,80%
17/12/2025 15:52;59,20%
17/12/2025 15:52;78,70%
17/12/2025 15:53;68,30%
17/12/2025 15:53;80,80%
17/12/2025 15:54;81%
17/12/2025 15:54;69,20%
17/12/2025 15:55;42,30%
17/12/2025 15:55;30,30%
17/12/2025 15:56;29,70%
17/12/2025 15:56;56,50%
17/12/2025 15:57;15,50%
17/12/2025 15:57;42,80%
17/12/2025 15:58;14%
17/12/2025 15:58;15,20%
17/12/2025 15:59;6%
17/12/2025 15:59;45%
17/12/2025 16:00;41,30%
;69%
