"Time","GPU Temperature"
2025-12-17 15:08:30,43.8 °C
2025-12-17 15:09:00,44 °C
2025-12-17 15:09:30,51.2 °C
2025-12-17 15:10:00,69.5 °C
2025-12-17 15:10:30,76 °C
2025-12-17 15:11:00,79.7 °C
2025-12-17 15:11:30,81.5 °C
2025-12-17 15:12:00,82.7 °C
2025-12-17 15:12:30,81.8 °C
2025-12-17 15:13:00,83.5 °C
2025-12-17 15:13:30,84.2 °C
2025-12-17 15:14:00,84.5 °C
2025-12-17 15:14:30,83.7 °C
2025-12-17 15:15:00,85 °C
2025-12-17 15:15:30,84.8 °C
2025-12-17 15:16:00,84.5 °C
2025-12-17 15:16:30,84.5 °C
2025-12-17 15:17:00,85.3 °C
2025-12-17 15:17:30,85.7 °C
2025-12-17 15:18:00,85.5 °C
2025-12-17 15:18:30,85.7 °C
2025-12-17 15:19:00,85.3 °C
2025-12-17 15:19:30,85.2 °C
2025-12-17 15:20:00,85.2 °C
2025-12-17 15:20:30,85.5 °C
2025-12-17 15:21:00,85.5 °C
2025-12-17 15:21:30,85.5 °C
2025-12-17 15:22:00,85.2 °C
2025-12-17 15:22:30,85.7 °C
2025-12-17 15:23:00,84.5 °C
2025-12-17 15:23:30,84.3 °C
2025-12-17 15:24:00,85.2 °C
2025-12-17 15:24:30,85.5 °C
2025-12-17 15:25:00,85.3 °C
2025-12-17 15:25:30,85.7 °C
2025-12-17 15:26:00,85 °C
2025-12-17 15:26:30,85.3 °C
2025-12-17 15:27:00,84.7 °C
2025-12-17 15:27:30,85.5 °C
2025-12-17 15:28:00,85.3 °C
2025-12-17 15:28:30,85 °C
2025-12-17 15:29:00,85.2 °C
2025-12-17 15:29:30,85.5 °C
2025-12-17 15:30:00,85.8 °C
2025-12-17 15:30:30,84.8 °C
2025-12-17 15:31:00,85.5 °C
2025-12-17 15:31:30,85.5 °C
2025-12-17 15:32:00,85.8 °C
2025-12-17 15:32:30,85.7 °C
2025-12-17 15:33:00,85.5 °C
2025-12-17 15:33:30,85.5 °C
2025-12-17 15:34:00,85.7 °C
2025-12-17 15:34:30,83.8 °C
2025-12-17 15:35:00,82.8 °C
2025-12-17 15:35:30,84.7 °C
2025-12-17 15:36:00,83.5 °C
2025-12-17 15:36:30,82 °C
2025-12-17 15:37:00,83.3 °C
2025-12-17 15:37:30,84.8 °C
2025-12-17 15:38:00,83.8 °C
2025-12-17 15:38:30,82.3 °C
2025-12-17 15:39:00,83.8 °C
2025-12-17 15:39:30,83.7 °C
2025-12-17 15:40:00,83 °C
2025-12-17 15:40:30,82.7 °C
2025-12-17 15:41:00,84.3 °C
2025-12-17 15:41:30,81 °C
2025-12-17 15:42:00,84.3 °C
2025-12-17 15:42:30,82.2 °C
2025-12-17 15:43:00,84.5 °C
2025-12-17 15:43:30,82.3 °C
2025-12-17 15:44:00,83.8 °C
2025-12-17 15:44:30,84.8 °C
2025-12-17 15:45:00,84.5 °C
2025-12-17 15:45:30,83 °C
2025-12-17 15:46:00,84.5 °C
2025-12-17 15:46:30,83.7 °C
2025-12-17 15:47:00,86 °C
2025-12-17 15:47:30,84.7 °C
2025-12-17 15:48:00,83.7 °C
2025-12-17 15:48:30,83 °C
2025-12-17 15:49:00,83.8 °C
2025-12-17 15:49:30,85.3 °C
2025-12-17 15:50:00,84 °C
2025-12-17 15:50:30,84.2 °C
2025-12-17 15:51:00,85.5 °C
2025-12-17 15:51:30,83.5 °C
2025-12-17 15:52:00,82.7 °C
2025-12-17 15:52:30,85.7 °C
2025-12-17 15:53:00,82.8 °C
2025-12-17 15:53:30,85.5 °C
2025-12-17 15:54:00,86.2 °C
2025-12-17 15:54:30,83.5 °C
2025-12-17 15:55:00,82 °C
2025-12-17 15:55:30,79.7 °C
2025-12-17 15:56:00,76.2 °C
2025-12-17 15:56:30,78.2 °C
2025-12-17 15:57:00,72.8 °C
2025-12-17 15:57:30,76.3 °C
2025-12-17 15:58:00,71.2 °C
2025-12-17 15:58:30,71.5 °C
2025-12-17 15:59:00,72.2 °C
2025-12-17 15:59:30,74 °C
2025-12-17 16:00:00,74.7 °C
