"Time","GPU cn2 0"
2025-12-29 14:55:00,0%
2025-12-29 14:55:30,0%
2025-12-29 14:56:00,71%
2025-12-29 14:56:30,73%
2025-12-29 14:57:00,73%
2025-12-29 14:57:30,72%
2025-12-29 14:58:00,72%
2025-12-29 14:58:30,71%
2025-12-29 14:59:00,71%
2025-12-29 14:59:30,72%
2025-12-29 15:00:00,72%
2025-12-29 15:00:30,70%
2025-12-29 15:01:00,71%
2025-12-29 15:01:30,67%
2025-12-29 15:02:00,70%
2025-12-29 15:02:30,69%
2025-12-29 15:03:00,68%
2025-12-29 15:03:30,66%
2025-12-29 15:04:00,69%
2025-12-29 15:04:30,73%
2025-12-29 15:05:00,69%
2025-12-29 15:05:30,67%
2025-12-29 15:06:00,68%
2025-12-29 15:06:30,65%
2025-12-29 15:07:00,68%
2025-12-29 15:07:30,68%
2025-12-29 15:08:00,66%
2025-12-29 15:08:30,65%
2025-12-29 15:09:00,65%
2025-12-29 15:09:30,64%
2025-12-29 15:10:00,63%
2025-12-29 15:10:30,64%
2025-12-29 15:11:00,68%
2025-12-29 15:11:30,62%
2025-12-29 15:12:00,64%
2025-12-29 15:12:30,62%
2025-12-29 15:13:00,64%
2025-12-29 15:13:30,59%
2025-12-29 15:14:00,60%
2025-12-29 15:14:30,70%
2025-12-29 15:15:00,59%
2025-12-29 15:15:30,63%
2025-12-29 15:16:00,59%
2025-12-29 15:16:30,43%
2025-12-29 15:17:00,57%
2025-12-29 15:17:30,61%
2025-12-29 15:18:00,41%
2025-12-29 15:18:30,52%
2025-12-29 15:19:00,29%
2025-12-29 15:19:30,66%
2025-12-29 15:20:00,56%
2025-12-29 15:20:30,57%
2025-12-29 15:21:00,57%
2025-12-29 15:21:30,42%
2025-12-29 15:22:00,61%
2025-12-29 15:22:30,61%
2025-12-29 15:23:00,65%
2025-12-29 15:23:30,42%
2025-12-29 15:24:00,62%
2025-12-29 15:24:30,32%
2025-12-29 15:25:00,60%
2025-12-29 15:25:30,52%
2025-12-29 15:26:00,64%
2025-12-29 15:26:30,61%
2025-12-29 15:27:00,28%
2025-12-29 15:27:30,55%
2025-12-29 15:28:00,62%
2025-12-29 15:28:30,58%
2025-12-29 15:29:00,52%
2025-12-29 15:29:30,64%
2025-12-29 15:30:00,61%
2025-12-29 15:30:30,32%
2025-12-29 15:31:00,49%
2025-12-29 15:31:30,60%
2025-12-29 15:32:00,66%
2025-12-29 15:32:30,51%
2025-12-29 15:33:00,56%
2025-12-29 15:33:30,38%
2025-12-29 15:34:00,30%
2025-12-29 15:34:30,63%
2025-12-29 15:35:00,58%
2025-12-29 15:35:30,58%
2025-12-29 15:36:00,56%
2025-12-29 15:36:30,59%
2025-12-29 15:37:00,30%
2025-12-29 15:37:30,52%
2025-12-29 15:38:00,59%
2025-12-29 15:38:30,61%
2025-12-29 15:39:00,53%
2025-12-29 15:39:30,43%
2025-12-29 15:40:00,46%
2025-12-29 15:40:30,51%
2025-12-29 15:41:00,62%
2025-12-29 15:41:30,50%
2025-12-29 15:42:00,68%
2025-12-29 15:42:30,45%
2025-12-29 15:43:00,61%
2025-12-29 15:43:30,60%
2025-12-29 15:44:00,58%
2025-12-29 15:44:30,62%
2025-12-29 15:45:00,64%
2025-12-29 15:45:30,63%
2025-12-29 15:46:00,65%
2025-12-29 15:46:30,64%
2025-12-29 15:47:00,48%
2025-12-29 15:47:30,66%
2025-12-29 15:48:00,67%
2025-12-29 15:48:30,65%
2025-12-29 15:49:00,64%
2025-12-29 15:49:30,62%
2025-12-29 15:50:00,62%
2025-12-29 15:50:30,64%
2025-12-29 15:51:00,63%
2025-12-29 15:51:30,64%
2025-12-29 15:52:00,58%
2025-12-29 15:52:30,57%
2025-12-29 15:53:00,64%
2025-12-29 15:53:30,68%
