"Time","GPU Temperature"
2025-12-29 14:55:00,44.5 °C
2025-12-29 14:55:30,44.8 °C
2025-12-29 14:56:00,56.3 °C
2025-12-29 14:56:30,66.8 °C
2025-12-29 14:57:00,77.5 °C
2025-12-29 14:57:30,82.3 °C
2025-12-29 14:58:00,84 °C
2025-12-29 14:58:30,84.8 °C
2025-12-29 14:59:00,84.8 °C
2025-12-29 14:59:30,85.3 °C
2025-12-29 15:00:00,85.5 °C
2025-12-29 15:00:30,85.5 °C
2025-12-29 15:01:00,85.5 °C
2025-12-29 15:01:30,85.3 °C
2025-12-29 15:02:00,85.5 °C
2025-12-29 15:02:30,86 °C
2025-12-29 15:03:00,85.8 °C
2025-12-29 15:03:30,85.8 °C
2025-12-29 15:04:00,86 °C
2025-12-29 15:04:30,85.8 °C
2025-12-29 15:05:00,85.8 °C
2025-12-29 15:05:30,85.5 °C
2025-12-29 15:06:00,85.8 °C
2025-12-29 15:06:30,85.8 °C
2025-12-29 15:07:00,85.5 °C
2025-12-29 15:07:30,85.8 °C
2025-12-29 15:08:00,85.5 °C
2025-12-29 15:08:30,85.8 °C
2025-12-29 15:09:00,85.3 °C
2025-12-29 15:09:30,85.5 °C
2025-12-29 15:10:00,85.8 °C
2025-12-29 15:10:30,85.8 °C
2025-12-29 15:11:00,85.8 °C
2025-12-29 15:11:30,85.8 °C
2025-12-29 15:12:00,85.3 °C
2025-12-29 15:12:30,85.5 °C
2025-12-29 15:13:00,85.5 °C
2025-12-29 15:13:30,85.5 °C
2025-12-29 15:14:00,85.5 °C
2025-12-29 15:14:30,86 °C
2025-12-29 15:15:00,85.8 °C
2025-12-29 15:15:30,86.3 °C
2025-12-29 15:16:00,85.8 °C
2025-12-29 15:16:30,85.5 °C
2025-12-29 15:17:00,85 °C
2025-12-29 15:17:30,85.5 °C
2025-12-29 15:18:00,85 °C
2025-12-29 15:18:30,85.3 °C
2025-12-29 15:19:00,84 °C
2025-12-29 15:19:30,85.3 °C
2025-12-29 15:20:00,85.5 °C
2025-12-29 15:20:30,85.8 °C
2025-12-29 15:21:00,85.8 °C
2025-12-29 15:21:30,85.5 °C
2025-12-29 15:22:00,85 °C
2025-12-29 15:22:30,85.5 °C
2025-12-29 15:23:00,85.5 °C
2025-12-29 15:23:30,85.3 °C
2025-12-29 15:24:00,85.8 °C
2025-12-29 15:24:30,84.5 °C
2025-12-29 15:25:00,85.8 °C
2025-12-29 15:25:30,86 °C
2025-12-29 15:26:00,85.5 °C
2025-12-29 15:26:30,85.8 °C
2025-12-29 15:27:00,83.5 °C
2025-12-29 15:27:30,85.5 °C
2025-12-29 15:28:00,86 °C
2025-12-29 15:28:30,85.5 °C
2025-12-29 15:29:00,85.5 °C
2025-12-29 15:29:30,85 °C
2025-12-29 15:30:00,86 °C
2025-12-29 15:30:30,84 °C
2025-12-29 15:31:00,85.3 °C
2025-12-29 15:31:30,85.5 °C
2025-12-29 15:32:00,85.3 °C
2025-12-29 15:32:30,85.5 °C
2025-12-29 15:33:00,86 °C
2025-12-29 15:33:30,81.5 °C
2025-12-29 15:34:00,84 °C
2025-12-29 15:34:30,85.5 °C
2025-12-29 15:35:00,85.5 °C
2025-12-29 15:35:30,85.8 °C
2025-12-29 15:36:00,85.3 °C
2025-12-29 15:36:30,85.8 °C
2025-12-29 15:37:00,82.5 °C
2025-12-29 15:37:30,84.8 °C
2025-12-29 15:38:00,85 °C
2025-12-29 15:38:30,85.5 °C
2025-12-29 15:39:00,85.5 °C
2025-12-29 15:39:30,85.5 °C
2025-12-29 15:40:00,85.3 °C
2025-12-29 15:40:30,85 °C
2025-12-29 15:41:00,85 °C
2025-12-29 15:41:30,85.8 °C
2025-12-29 15:42:00,86 °C
2025-12-29 15:42:30,84.5 °C
2025-12-29 15:43:00,85.5 °C
2025-12-29 15:43:30,84.3 °C
2025-12-29 15:44:00,85.3 °C
2025-12-29 15:44:30,84.5 °C
2025-12-29 15:45:00,84.8 °C
2025-12-29 15:45:30,85.5 °C
2025-12-29 15:46:00,83.5 °C
2025-12-29 15:46:30,84.8 °C
2025-12-29 15:47:00,83.5 °C
2025-12-29 15:47:30,83 °C
2025-12-29 15:48:00,85.3 °C
2025-12-29 15:48:30,85.5 °C
2025-12-29 15:49:00,85.3 °C
2025-12-29 15:49:30,83.8 °C
2025-12-29 15:50:00,85.3 °C
2025-12-29 15:50:30,85.5 °C
2025-12-29 15:51:00,85.5 °C
2025-12-29 15:51:30,84.8 °C
2025-12-29 15:52:00,85 °C
2025-12-29 15:52:30,85 °C
2025-12-29 15:53:00,85.3 °C
2025-12-29 15:53:30,82 °C
