Time;GPU Utilization
29/12/2025 14:55;0%
29/12/2025 14:55;0%
29/12/2025 14:56;35%
29/12/2025 14:56;80%
29/12/2025 14:57;80,80%
29/12/2025 14:57;80%
29/12/2025 14:58;76,50%
29/12/2025 14:58;81%
29/12/2025 14:59;78,80%
29/12/2025 14:59;81%
29/12/2025 15:00;79,30%
29/12/2025 15:00;79,50%
29/12/2025 15:01;80%
29/12/2025 15:01;77,80%
29/12/2025 15:02;76,30%
29/12/2025 15:02;79%
29/12/2025 15:03;78,80%
29/12/2025 15:03;78,50%
29/12/2025 15:04;78%
29/12/2025 15:04;79,30%
29/12/2025 15:05;76%
29/12/2025 15:05;77,50%
29/12/2025 15:06;79,50%
29/12/2025 15:06;77%
29/12/2025 15:07;77,30%
29/12/2025 15:07;78,80%
29/12/2025 15:08;73,30%
29/12/2025 15:08;76,50%
29/12/2025 15:09;76,50%
29/12/2025 15:09;76,30%
29/12/2025 15:10;75%
29/12/2025 15:10;76,80%
29/12/2025 15:11;76,80%
29/12/2025 15:11;74,80%
29/12/2025 15:12;76,30%
29/12/2025 15:12;73%
29/12/2025 15:13;75,30%
29/12/2025 15:13;73,50%
29/12/2025 15:14;74,50%
29/12/2025 15:14;78,50%
29/12/2025 15:15;72,30%
29/12/2025 15:15;74,50%
29/12/2025 15:16;69,30%
29/12/2025 15:16;65,80%
29/12/2025 15:17;72%
29/12/2025 15:17;74%
29/12/2025 15:18;64,80%
29/12/2025 15:18;69,50%
29/12/2025 15:19;60%
29/12/2025 15:19;75,50%
29/12/2025 15:20;70,50%
29/12/2025 15:20;72,50%
29/12/2025 15:21;72,30%
29/12/2025 15:21;65,50%
29/12/2025 15:22;74,30%
29/12/2025 15:22;74,30%
29/12/2025 15:23;75,80%
29/12/2025 15:23;60,50%
29/12/2025 15:24;75,80%
29/12/2025 15:24;60%
29/12/2025 15:25;74,30%
29/12/2025 15:25;70%
29/12/2025 15:26;75%
29/12/2025 15:26;75,80%
29/12/2025 15:27;58%
29/12/2025 15:27;71%
29/12/2025 15:28;75%
29/12/2025 15:28;73%
29/12/2025 15:29;66,30%
29/12/2025 15:29;75,80%
29/12/2025 15:30;73,50%
29/12/2025 15:30;62,50%
29/12/2025 15:31;68%
29/12/2025 15:31;75,30%
29/12/2025 15:32;72,50%
29/12/2025 15:32;70,30%
29/12/2025 15:33;72,50%
29/12/2025 15:33;62,50%
29/12/2025 15:34;58,50%
29/12/2025 15:34;75,30%
29/12/2025 15:35;73,30%
29/12/2025 15:35;73,30%
29/12/2025 15:36;71,50%
29/12/2025 15:36;71,80%
29/12/2025 15:37;58,30%
29/12/2025 15:37;70%
29/12/2025 15:38;73,50%
29/12/2025 15:38;75,80%
29/12/2025 15:39;67,30%
29/12/2025 15:39;64,30%
29/12/2025 15:40;66,50%
29/12/2025 15:40;64,30%
29/12/2025 15:41;74,80%
29/12/2025 15:41;65,80%
29/12/2025 15:42;77%
29/12/2025 15:42;65%
29/12/2025 15:43;70%
29/12/2025 15:43;72%
29/12/2025 15:44;72,50%
29/12/2025 15:44;70,50%
29/12/2025 15:45;76,30%
29/12/2025 15:45;72,30%
29/12/2025 15:46;76,50%
29/12/2025 15:46;76,50%
29/12/2025 15:47;58,30%
29/12/2025 15:47;60%
29/12/2025 15:48;77,30%
29/12/2025 15:48;75,80%
29/12/2025 15:49;76,50%
29/12/2025 15:49;67,50%
29/12/2025 15:50;75,30%
29/12/2025 15:50;76%
29/12/2025 15:51;76,30%
29/12/2025 15:51;77,30%
29/12/2025 15:52;73,50%
29/12/2025 15:52;73%
29/12/2025 15:53;76,30%
29/12/2025 15:53;61%
;71%
