Time;GPU Utilization
15/12/2025 19:06;0%
15/12/2025 19:06;0%
15/12/2025 19:07;0%
15/12/2025 19:07;15%
15/12/2025 19:08;42,20%
15/12/2025 19:08;14,20%
15/12/2025 19:09;29,80%
15/12/2025 19:09;0%
15/12/2025 19:10;15,20%
15/12/2025 19:10;6,50%
15/12/2025 19:11;0%
15/12/2025 19:11;14,80%
15/12/2025 19:12;0%
15/12/2025 19:12;6,17%
15/12/2025 19:13;17,20%
15/12/2025 19:13;14,80%
15/12/2025 19:14;0%
15/12/2025 19:14;0%
15/12/2025 19:15;14,80%
15/12/2025 19:15;0%
15/12/2025 19:16;42,20%
15/12/2025 19:16;15,30%
15/12/2025 19:17;15%
15/12/2025 19:17;0%
15/12/2025 19:18;15,20%
15/12/2025 19:18;0%
15/12/2025 19:19;42,20%
15/12/2025 19:19;15,20%
15/12/2025 19:20;14,70%
15/12/2025 19:20;41,50%
15/12/2025 19:21;0%
15/12/2025 19:21;28,20%
15/12/2025 19:22;30,20%
15/12/2025 19:22;27,30%
15/12/2025 19:23;0%
15/12/2025 19:23;12,80%
15/12/2025 19:24;0%
15/12/2025 19:24;0%
15/12/2025 19:25;0%
15/12/2025 19:25;0%
15/12/2025 19:26;27,70%
15/12/2025 19:26;40%
15/12/2025 19:27;0%
15/12/2025 19:27;23,50%
15/12/2025 19:28;0%
15/12/2025 19:28;41,70%
15/12/2025 19:29;0%
15/12/2025 19:29;28,20%
15/12/2025 19:30;27,20%
15/12/2025 19:30;14,80%
15/12/2025 19:31;15%
15/12/2025 19:31;7,33%
15/12/2025 19:32;0%
15/12/2025 19:32;8,67%
15/12/2025 19:33;0%
15/12/2025 19:33;0%
15/12/2025 19:34;14,80%
;13%
