total;free;used;buff/cache;used_percent
128530,7;2840,8;13801,9;111888;10,73821274
128530,7;2840,8;13801,9;111888;10,73821274
128530,7;2840,8;13801,9;111888;10,73821274
128530,7;2062,5;14503,7;111964,5;11,28423015
128530,7;2062,5;14503,7;111964,5;11,28423015
128530,7;2062,5;14503,7;111964,5;11,28423015
128530,7;2180,4;14385,8;111964,5;11,19250109
128530,7;2180,4;14385,8;111964,5;11,19250109
128530,7;2180,4;14385,8;111964,5;11,19250109
128530,7;2132,4;14433,8;111964,5;11,22984625
128530,7;2132,4;14433,8;111964,5;11,22984625
128530,7;2125,3;14440,9;111964,5;11,23537023
128530,7;2125,3;14440,9;111964,5;11,23537023
128530,7;2125,3;14440,9;111964,5;11,23537023
128530,7;2132,7;14433,5;111964,5;11,22961285
128530,7;2132,7;14433,5;111964,5;11,22961285
128530,7;2132,7;14433,5;111964,5;11,22961285
128530,7;2144,4;14421,8;111964,5;11,22050996
128530,7;2144,4;14421,8;111964,5;11,22050996
128530,7;2144,4;14421,8;111964,5;11,22050996
128530,7;2115,4;14450,8;111964,5;11,24307267
128530,7;2115,4;14450,8;111964,5;11,24307267
128530,7;2115,4;14450,8;111964,5;11,24307267
128530,7;2106,6;14459,6;111964,5;11,24991928
128530,7;2106,6;14459,6;111964,5;11,24991928
128530,7;2106,6;14459,6;111964,5;11,24991928
128530,7;2103,1;14463,1;111964,5;11,25264236
128530,7;2103,1;14463,1;111964,5;11,25264236
128530,7;2103,1;14463,1;111964,5;11,25264236
128530,7;2088,8;14477,3;111964,6;11,26369031
128530,7;2088,8;14477,3;111964,6;11,26369031
128530,7;2088,8;14477,3;111964,6;11,26369031
128530,7;2083,9;14482,3;111964,6;11,26750263
128530,7;2083,9;14482,3;111964,6;11,26750263
128530,7;2083,9;14482,3;111964,6;11,26750263
128530,7;2085,1;14481;111964,6;11,266569
128530,7;2085,1;14481;111964,6;11,266569
128530,7;2085,1;14481;111964,6;11,266569
128530,7;2069,2;14497;111964,6;11,27893958
128530,7;2069,2;14497;111964,6;11,27893958
128530,7;2069,2;14497;111964,6;11,27893958
128530,7;2071,2;14494,9;111964,6;11,27738354
128530,7;2071,2;14494,9;111964,6;11,27738354
128530,7;2071,2;14494,9;111964,6;11,27738354
128530,7;2076,5;14489,6;111964,6;11,27326001
128530,7;2076,5;14489,6;111964,6;11,27326001
128530,7;2076,5;14489,6;111964,6;11,27326001
128530,7;2080;14486,1;111964,7;11,27045912
128530,7;2080;14486,1;111964,7;11,27045912
128530,7;2080;14486,1;111964,7;11,27045912
128530,7;2049,5;14516,6;111964,7;11,29418886
128530,7;2049,5;14516,6;111964,7;11,29418886
128530,7;2049,5;14516,6;111964,7;11,29418886
128530,7;2052,7;14513,4;111964,7;11,29169918
128530,7;2052,7;14513,4;111964,7;11,29169918
128530,7;2052,7;14513,4;111964,7;11,29169918
128530,7;2074;14492,1;111964,7;11,27512727
128530,7;2074;14492,1;111964,7;11,27512727
128530,7;2074;14492,1;111964,7;11,27512727
128530,7;2055,3;14510,7;111964,7;11,28967632
128530,7;2055,3;14510,7;111964,7;11,28967632
128530,7;2055,3;14510,7;111964,7;11,28967632
128530,7;2055,3;14510,7;111964,7;11,28967632
128530,7;2055,3;14510,7;111964,7;11,28967632
128530,7;2059;14507;111964,7;11,28679763
128530,7;2059;14507;111964,7;11,28679763
128530,7;2059;14507;111964,7;11,28679763
128530,7;2038,1;14527,8;111964,8;11,30298053
128530,7;2038,1;14527,8;111964,8;11,30298053
128530,7;2038,1;14527,8;111964,8;11,30298053
128530,7;2037,5;14528,5;111964,8;11,30344735
128530,7;2037,5;14528,5;111964,8;11,30344735
128530,7;2037,5;14528,5;111964,8;11,30344735
128530,7;2044,3;14521,7;111964,7;11,29823459
128530,7;2044,3;14521,7;111964,7;11,29823459
128530,7;2044,3;14521,7;111964,7;11,29823459
128530,7;2053,6;14512,4;111964,7;11,29099896
128530,7;2053,6;14512,4;111964,7;11,29099896
128530,7;2053,6;14512,4;111964,7;11,29099896
128530,7;2031,8;14534,2;111964,8;11,30788209
128530,7;2031,8;14534,2;111964,8;11,30788209
128530,7;2031,8;14534,2;111964,8;11,30788209
128530,7;2041,1;14524,9;111964,8;11,30064646
128530,7;2041,1;14524,9;111964,8;11,30064646
128530,7;2041,1;14524,9;111964,8;11,30064646
128530,7;2047,8;14518,1;111964,8;11,2954337
128530,7;2047,8;14518,1;111964,8;11,2954337
128530,7;2047,8;14518,1;111964,8;11,2954337
128530,7;2029,2;14536,7;111964,8;11,30990495
128530,7;2029,2;14536,7;111964,8;11,30990495
128530,7;2029,2;14536,7;111964,8;11,30990495
128530,7;2042,6;14523,3;111964,8;11,29947942
128530,7;2042,6;14523,3;111964,8;11,29947942
128530,7;2042,6;14523,3;111964,8;11,29947942
128530,7;2031,5;14534,4;111964,8;11,30811549
128530,7;2031,5;14534,4;111964,8;11,30811549
128530,7;2031,5;14534,4;111964,8;11,30811549
128530,7;2024,3;14541,6;111964,8;11,31371727
128530,7;2024,3;14541,6;111964,8;11,31371727
128530,7;2024,3;14541,6;111964,8;11,31371727
128530,7;2023;14542,9;111964,9;11,3146509
128530,7;2023;14542,9;111964,9;11,3146509
128530,7;2023;14542,9;111964,9;11,3146509
128530,7;2031,6;14534,2;111964,9;11,30795989
128530,7;2031,6;14534,2;111964,9;11,30795989
128530,7;2031,6;14534,2;111964,9;11,30795989
128530,7;2036,4;14529,4;111964,9;11,30422537
128530,7;2036,4;14529,4;111964,9;11,30422537
128530,7;2036,4;14529,4;111964,9;11,30422537
128530,7;2025,2;14540,6;111964,9;11,31293924
128530,7;2025,2;14540,6;111964,9;11,31293924
128530,7;2025,2;14540,6;111964,9;11,31293924
128530,7;2030,2;14535,6;111964,9;11,30904912
