timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/26 08:56:38.284;0;0%;0%; 447 MiB; 14.77 W;30
2025/12/26 08:56:38.285;1;0%;0%; 4 MiB; 13.27 W;26
2025/12/26 08:56:39.286;0;0%;0%; 459 MiB; 26.62 W;31
2025/12/26 08:56:39.298;1;0%;0%; 4 MiB; 23.16 W;28
2025/12/26 08:56:40.298;0;19%;1%; 1452 MiB; 57.42 W;32
2025/12/26 08:56:40.299;1;29%;1%; 1329 MiB; 55.91 W;28
2025/12/26 08:56:41.299;0;36%;21%; 2014 MiB; 81.21 W;34
2025/12/26 08:56:41.300;1;43%;29%; 1931 MiB; 86.24 W;31
2025/12/26 08:56:42.300;0;38%;22%; 2014 MiB; 109.01 W;34
2025/12/26 08:56:42.301;1;44%;31%; 1931 MiB; 140.68 W;33
2025/12/26 08:56:43.302;0;38%;22%; 2014 MiB; 113.71 W;35
2025/12/26 08:56:43.302;1;44%;31%; 1931 MiB; 177.30 W;35
2025/12/26 08:56:44.303;0;38%;22%; 2016 MiB; 114.17 W;35
2025/12/26 08:56:44.303;1;43%;30%; 1933 MiB; 177.60 W;35
2025/12/26 08:56:45.304;0;38%;22%; 2016 MiB; 114.82 W;36
2025/12/26 08:56:45.304;1;43%;31%; 1933 MiB; 178.96 W;36
2025/12/26 08:56:46.305;0;34%;19%; 2016 MiB; 111.93 W;36
2025/12/26 08:56:46.306;1;39%;27%; 1933 MiB; 171.14 W;36
2025/12/26 08:56:47.306;0;36%;21%; 2016 MiB; 112.87 W;37
2025/12/26 08:56:47.307;1;43%;30%; 1933 MiB; 167.59 W;37
2025/12/26 08:56:48.307;0;37%;22%; 2016 MiB; 114.57 W;37
2025/12/26 08:56:48.308;1;44%;31%; 1933 MiB; 174.75 W;38
2025/12/26 08:56:49.308;0;38%;22%; 2016 MiB; 115.39 W;37
2025/12/26 08:56:49.309;1;43%;31%; 1933 MiB; 178.76 W;38
2025/12/26 08:56:50.310;0;37%;22%; 2016 MiB; 115.22 W;37
2025/12/26 08:56:50.311;1;43%;31%; 1933 MiB; 177.56 W;39
2025/12/26 08:56:51.311;0;39%;23%; 2016 MiB; 115.95 W;38
2025/12/26 08:56:51.312;1;44%;31%; 1933 MiB; 179.21 W;39
2025/12/26 08:56:52.313;0;36%;20%; 2016 MiB; 115.20 W;38
2025/12/26 08:56:52.313;1;40%;28%; 1933 MiB; 178.07 W;39
2025/12/26 08:56:53.314;0;35%;20%; 2016 MiB; 112.09 W;38
2025/12/26 08:56:53.315;1;39%;27%; 1933 MiB; 166.96 W;40
2025/12/26 08:56:54.315;0;34%;19%; 2016 MiB; 111.84 W;39
2025/12/26 08:56:54.316;1;39%;27%; 1933 MiB; 167.36 W;40
2025/12/26 08:56:55.316;0;34%;19%; 2016 MiB; 111.83 W;39
2025/12/26 08:56:55.317;1;40%;27%; 1933 MiB; 157.18 W;40
2025/12/26 08:56:56.317;0;35%;18%; 2016 MiB; 112.00 W;39
2025/12/26 08:56:56.318;1;40%;25%; 1933 MiB; 151.67 W;40
2025/12/26 08:56:57.319;0;36%;19%; 2016 MiB; 114.36 W;40
2025/12/26 08:56:57.319;1;40%;26%; 1933 MiB; 167.95 W;41
2025/12/26 08:56:58.320;0;37%;22%; 2016 MiB; 115.94 W;40
2025/12/26 08:56:58.320;1;43%;30%; 1933 MiB; 176.03 W;42
2025/12/26 08:56:59.321;0;36%;19%; 2016 MiB; 115.28 W;40
2025/12/26 08:56:59.322;1;41%;28%; 1933 MiB; 175.42 W;43
2025/12/26 08:57:00.322;0;37%;22%; 2016 MiB; 116.99 W;40
2025/12/26 08:57:00.323;1;44%;31%; 1933 MiB; 179.07 W;43
2025/12/26 08:57:01.323;0;38%;21%; 2016 MiB; 116.75 W;41
2025/12/26 08:57:01.324;1;41%;28%; 1933 MiB; 179.21 W;43
2025/12/26 08:57:02.325;0;38%;22%; 2016 MiB; 115.94 W;41
2025/12/26 08:57:02.326;1;44%;31%; 1933 MiB; 176.95 W;44
2025/12/26 08:57:03.326;0;36%;19%; 2016 MiB; 114.09 W;41
2025/12/26 08:57:03.327;1;41%;26%; 1933 MiB; 169.26 W;44
2025/12/26 08:57:04.328;0;37%;22%; 2016 MiB; 115.44 W;41
2025/12/26 08:57:04.329;1;43%;31%; 1933 MiB; 171.84 W;44
2025/12/26 08:57:05.329;0;39%;22%; 2016 MiB; 117.25 W;42
2025/12/26 08:57:05.330;1;43%;28%; 1933 MiB; 181.18 W;45
2025/12/26 08:57:06.331;0;36%;19%; 2016 MiB; 113.78 W;42
2025/12/26 08:57:06.331;1;41%;26%; 1933 MiB; 162.37 W;44
2025/12/26 08:57:07.332;0;36%;19%; 2016 MiB; 113.35 W;42
2025/12/26 08:57:07.332;1;39%;26%; 1933 MiB; 155.47 W;45
2025/12/26 08:57:08.333;0;37%;19%; 2016 MiB; 114.24 W;42
2025/12/26 08:57:08.334;1;41%;26%; 1933 MiB; 170.28 W;46
2025/12/26 08:57:09.334;0;38%;21%; 2016 MiB; 115.72 W;43
2025/12/26 08:57:09.335;1;44%;29%; 1933 MiB; 175.22 W;47
2025/12/26 08:57:10.335;0;36%;18%; 2016 MiB; 116.68 W;43
2025/12/26 08:57:10.336;1;41%;26%; 1933 MiB; 177.84 W;46
2025/12/26 08:57:11.336;0;37%;21%; 2016 MiB; 114.81 W;43
2025/12/26 08:57:11.337;1;43%;29%; 1933 MiB; 169.24 W;47
2025/12/26 08:57:12.338;0;37%;22%; 2016 MiB; 118.23 W;43
2025/12/26 08:57:12.338;1;44%;31%; 1933 MiB; 181.81 W;48
2025/12/26 08:57:13.339;0;36%;19%; 2016 MiB; 117.36 W;44
2025/12/26 08:57:13.339;1;42%;26%; 1933 MiB; 177.56 W;47
2025/12/26 08:57:14.340;0;36%;19%; 2016 MiB; 114.11 W;44
2025/12/26 08:57:14.340;1;40%;25%; 1933 MiB; 168.46 W;47
2025/12/26 08:57:15.341;0;37%;22%; 2016 MiB; 116.71 W;44
2025/12/26 08:57:15.342;1;44%;31%; 1933 MiB; 173.24 W;49
2025/12/26 08:57:16.343;0;38%;22%; 2016 MiB; 119.06 W;44
2025/12/26 08:57:16.344;1;44%;31%; 1933 MiB; 183.59 W;49
2025/12/26 08:57:17.344;0;38%;22%; 2016 MiB; 119.31 W;45
2025/12/26 08:57:17.345;1;43%;29%; 1933 MiB; 184.87 W;49
2025/12/26 08:57:18.346;0;37%;22%; 2016 MiB; 118.43 W;45
2025/12/26 08:57:18.346;1;44%;31%; 1933 MiB; 182.59 W;49
2025/12/26 08:57:19.347;0;39%;21%; 2016 MiB; 119.03 W;45
2025/12/26 08:57:19.347;1;44%;30%; 1933 MiB; 184.62 W;50
2025/12/26 08:57:20.348;0;38%;20%; 2016 MiB; 116.41 W;45
2025/12/26 08:57:20.348;1;44%;29%; 1933 MiB; 171.49 W;50
2025/12/26 08:57:21.349;0;38%;22%; 2016 MiB; 121.34 W;46
2025/12/26 08:57:21.350;1;44%;31%; 1933 MiB; 185.08 W;51
2025/12/26 08:57:22.350;0;37%;19%; 2016 MiB; 120.03 W;46
2025/12/26 08:57:22.351;1;41%;26%; 1933 MiB; 182.97 W;51
2025/12/26 08:57:23.351;0;36%;20%; 2016 MiB; 117.75 W;46
2025/12/26 08:57:23.352;1;43%;29%; 1933 MiB; 170.46 W;51
2025/12/26 08:57:24.353;0;38%;22%; 2016 MiB; 121.06 W;46
2025/12/26 08:57:24.353;1;43%;30%; 1933 MiB; 184.95 W;51
2025/12/26 08:57:25.354;0;36%;18%; 2016 MiB; 118.08 W;46
2025/12/26 08:57:25.354;1;42%;27%; 1933 MiB; 172.48 W;51
2025/12/26 08:57:26.355;0;37%;20%; 2016 MiB; 119.33 W;47
2025/12/26 08:57:26.364;1;40%;26%; 1933 MiB; 178.92 W;51
2025/12/26 08:57:27.365;0;37%;21%; 2016 MiB; 118.44 W;47
2025/12/26 08:57:27.366;1;44%;31%; 1933 MiB; 177.90 W;52
2025/12/26 08:57:28.366;0;37%;22%; 2018 MiB; 121.55 W;47
2025/12/26 08:57:28.367;1;44%;31%; 1935 MiB; 186.78 W;52
2025/12/26 08:57:29.367;0;38%;22%; 2018 MiB; 121.88 W;47
2025/12/26 08:57:29.368;1;44%;31%; 1935 MiB; 187.87 W;53
2025/12/26 08:57:30.368;0;38%;20%; 2018 MiB; 121.71 W;48
2025/12/26 08:57:30.369;1;41%;27%; 1935 MiB; 186.30 W;53
2025/12/26 08:57:31.369;0;37%;22%; 2018 MiB; 120.22 W;48
2025/12/26 08:57:31.370;1;43%;30%; 1935 MiB; 183.97 W;53
2025/12/26 08:57:32.371;0;36%;20%; 2018 MiB; 120.85 W;48
2025/12/26 08:57:32.371;1;42%;26%; 1935 MiB; 184.75 W;53
2025/12/26 08:57:33.372;0;38%;22%; 2018 MiB; 121.98 W;48
2025/12/26 08:57:33.372;1;44%;31%; 1935 MiB; 188.43 W;54
2025/12/26 08:57:34.373;0;38%;22%; 2018 MiB; 122.31 W;48
2025/12/26 08:57:34.373;1;44%;31%; 1935 MiB; 187.85 W;54
2025/12/26 08:57:35.374;0;37%;22%; 2018 MiB; 121.64 W;49
2025/12/26 08:57:35.375;1;44%;30%; 1935 MiB; 186.59 W;54
2025/12/26 08:57:36.376;0;37%;19%; 2018 MiB; 121.63 W;48
2025/12/26 08:57:36.379;1;43%;29%; 1935 MiB; 186.01 W;54
2025/12/26 08:57:37.379;0;38%;22%; 2018 MiB; 122.02 W;49
2025/12/26 08:57:37.380;1;44%;31%; 1935 MiB; 186.08 W;54
2025/12/26 08:57:38.381;0;35%;18%; 2018 MiB; 118.64 W;49
2025/12/26 08:57:38.381;1;40%;26%; 1935 MiB; 171.43 W;54
2025/12/26 08:57:39.382;0;38%;22%; 2018 MiB; 119.95 W;49
2025/12/26 08:57:39.383;1;43%;30%; 1935 MiB; 166.50 W;55
2025/12/26 08:57:40.383;0;36%;19%; 2018 MiB; 120.23 W;49
2025/12/26 08:57:40.384;1;40%;26%; 1935 MiB; 175.42 W;54
2025/12/26 08:57:41.384;0;38%;22%; 2018 MiB; 121.41 W;49
2025/12/26 08:57:41.385;1;44%;31%; 1935 MiB; 175.25 W;55
2025/12/26 08:57:42.385;0;38%;22%; 2018 MiB; 122.95 W;50
2025/12/26 08:57:42.386;1;44%;31%; 1935 MiB; 189.08 W;55
2025/12/26 08:57:43.387;0;37%;21%; 2018 MiB; 120.47 W;50
2025/12/26 08:57:43.387;1;39%;25%; 1935 MiB; 180.78 W;55
2025/12/26 08:57:44.388;0;37%;22%; 2018 MiB; 122.87 W;50
2025/12/26 08:57:44.388;1;44%;31%; 1935 MiB; 187.87 W;56
2025/12/26 08:57:45.389;0;37%;20%; 2018 MiB; 122.41 W;50
2025/12/26 08:57:45.389;1;42%;30%; 1935 MiB; 184.65 W;56
2025/12/26 08:57:46.390;0;36%;19%; 2018 MiB; 121.65 W;50
2025/12/26 08:57:46.391;1;42%;28%; 1935 MiB; 182.33 W;56
2025/12/26 08:57:47.391;0;37%;19%; 2018 MiB; 119.00 W;50
2025/12/26 08:57:47.392;1;40%;26%; 1935 MiB; 179.00 W;56
2025/12/26 08:57:48.393;0;37%;22%; 2018 MiB; 119.29 W;50
2025/12/26 08:57:48.394;1;43%;28%; 1935 MiB; 184.37 W;56
2025/12/26 08:57:49.394;0;37%;18%; 2018 MiB; 118.44 W;50
2025/12/26 08:57:49.395;1;40%;25%; 1935 MiB; 178.49 W;56
2025/12/26 08:57:50.396;0;37%;18%; 2018 MiB; 117.71 W;50
2025/12/26 08:57:50.396;1;40%;23%; 1935 MiB; 166.77 W;56
2025/12/26 08:57:51.397;0;39%;23%; 2018 MiB; 119.84 W;51
2025/12/26 08:57:51.397;1;44%;31%; 1935 MiB; 176.15 W;57
2025/12/26 08:57:52.398;0;37%;18%; 2018 MiB; 120.51 W;51
2025/12/26 08:57:52.399;1;42%;27%; 1935 MiB; 186.88 W;57
2025/12/26 08:57:53.399;0;38%;21%; 2018 MiB; 119.72 W;51
2025/12/26 08:57:53.400;1;41%;28%; 1935 MiB; 181.45 W;57
2025/12/26 08:57:54.400;0;37%;19%; 2018 MiB; 122.24 W;51
2025/12/26 08:57:54.401;1;42%;29%; 1935 MiB; 191.84 W;57
2025/12/26 08:57:55.401;0;35%;19%; 2018 MiB; 118.34 W;51
2025/12/26 08:57:55.402;1;39%;27%; 1935 MiB; 183.46 W;57
2025/12/26 08:57:56.403;0;37%;21%; 2018 MiB; 118.14 W;51
2025/12/26 08:57:56.403;1;40%;25%; 1935 MiB; 179.76 W;57
2025/12/26 08:57:57.404;0;38%;22%; 2018 MiB; 123.21 W;52
2025/12/26 08:57:57.404;1;45%;31%; 1935 MiB; 193.43 W;58
2025/12/26 08:57:58.405;0;37%;20%; 2018 MiB; 120.32 W;52
2025/12/26 08:57:58.406;1;44%;31%; 1935 MiB; 188.95 W;58
2025/12/26 08:57:59.406;0;38%;21%; 2018 MiB; 121.51 W;52
2025/12/26 08:57:59.407;1;44%;31%; 1935 MiB; 191.97 W;58
2025/12/26 08:58:00.408;0;38%;21%; 2018 MiB; 121.91 W;52
2025/12/26 08:58:00.409;1;43%;28%; 1935 MiB; 192.44 W;59
2025/12/26 08:58:01.410;0;35%;19%; 2018 MiB; 118.54 W;52
2025/12/26 08:58:01.411;1;41%;26%; 1935 MiB; 179.54 W;58
2025/12/26 08:58:02.411;0;36%;19%; 2018 MiB; 119.14 W;52
2025/12/26 08:58:02.412;1;41%;26%; 1935 MiB; 184.35 W;58
2025/12/26 08:58:03.412;0;38%;22%; 2018 MiB; 121.43 W;52
2025/12/26 08:58:03.413;1;44%;31%; 1935 MiB; 185.85 W;59
2025/12/26 08:58:04.414;0;37%;17%; 2018 MiB; 121.91 W;52
2025/12/26 08:58:04.414;1;42%;27%; 1935 MiB; 190.92 W;59
