us;sy;ni;id;wa;hi;si;st;
26;0,7;0;72,6;0,8;0;0;0;0,274
8,7;0,8;0;90,5;0;0;0;0;0,095
1,3;1;0;97,7;0;0;0;0;0,023
6,9;0,8;0;92,2;0;0;0;0;0,078
6,3;0,5;0;93,2;0;0;0;0;0,068
2,3;0,2;0;97,5;0;0;0;0;0,025
3,8;0,4;0;95,7;0,2;0;0;0;0,043
3,6;0,7;0;95,7;0;0;0;0;0,043
11,7;1,1;0;87,1;0;0;0;0;0,129
6,2;0,5;0;93,3;0;0;0;0;0,067
3,4;0,4;0;96,2;0;0;0;0;0,038
3,2;0,3;0;96,5;0;0;0;0;0,035
4,1;0,6;0;95,3;0;0;0;0;0,047
2,2;0,3;0;97,4;0;0;0;0;0,026
8,2;0,7;0;91,1;0;0;0;0;0,089
10,9;0,9;0;88,1;0;0;0;0;0,119
12;0,9;0;87;0,1;0;0;0;0,13
12,9;1,3;0;85,8;0;0;0;0;0,142
7,4;0,7;0;91,9;0;0;0;0;0,081
8;0,7;0;91,3;0;0;0;0;0,087
3,5;0,4;0;96,1;0;0;0;0;0,039
6,4;0,5;0;93;0;0;0;0;0,07
3,3;0,4;0;96,2;0;0;0;0;0,038
6;0,6;0;93,3;0,1;0;0;0;0,067
6,5;0,6;0;92,9;0;0;0;0;0,071
9;0,9;0;90,1;0;0;0;0;0,099
3,3;0,2;0;96,4;0;0;0;0;0,036
8,6;1,1;0;90,3;0;0;0;0;0,097
12,7;1;0;86,2;0;0;0;0;0,138
12,5;0,8;0;86,7;0;0;0;0;0,133
10,8;1;0;88,1;0;0;0;0;0,119
5,1;0,8;0;94;0;0;0;0;0,06
11,7;1;0;87,3;0;0;0;0;0,127
4,2;0,3;0;95,4;0,1;0;0;0;0,046
4,8;0,5;0;94,7;0;0;0;0;0,053
11,9;0,8;0;87,3;0;0;0;0;0,127
8,4;1;0;90,5;0,1;0;0;0;0,095
4;0,4;0;95,6;0;0;0;0;0,044
2,7;0,3;0;97;0,1;0;0;0;0,03
4,4;0,6;0;95;0;0;0;0;0,05
3,6;0,4;0;96;0;0;0;0;0,04
10,8;1,6;0;87,6;0;0;0;0;0,124
3,2;0,6;0;96,1;0;0;0;0;0,039
5,8;0,5;0;93,7;0;0;0;0;0,063
10,7;1;0;88,3;0;0;0;0;0,117
3,7;0,4;0;96;0;0;0;0;0,04
10,5;1,3;0;88,2;0;0;0;0;0,118
7,3;0,6;0;92,1;0;0;0;0;0,079
8,1;0,8;0;91,1;0,1;0;0;0;0,089
2,6;0,4;0;97;0;0;0;0;0,03
2,4;0,2;0;97,4;0;0;0;0;0,026
3,1;0,5;0;96,4;0;0;0;0;0,036
5,7;0,5;0;93,8;0;0;0;0;0,062
5,2;0,5;0;94,3;0;0;0;0;0,057
3,5;0,4;0;96,1;0;0;0;0;0,039
2,8;0,2;0;96,9;0;0;0;0;0,031
3,6;0,7;0;95,7;0;0;0;0;0,043
4,7;0,6;0;94,6;0;0;0;0;0,054
4,5;0,6;0;94,9;0;0;0;0;0,051
12;1,3;0;86,6;0,1;0;0;0;0,134
6,1;0,6;0;93,3;0;0;0;0;0,067
10,6;1,3;0;88,1;0;0;0;0;0,119
4;0,5;0;95,4;0,1;0;0;0;0,046
5,1;0,4;0;94,5;0;0;0;0;0,055
7,8;0,6;0;91,6;0;0;0;0;0,084
3,2;0,4;0;96,3;0;0;0;0;0,037
7,9;1,1;0;91;0;0;0;0;0,09
7,9;0,8;0;91,3;0;0;0;0;0,087
8,5;0,9;0;90,6;0;0;0;0;0,094
6,4;0,6;0;93;0;0;0;0;0,07
10;0,8;0;89,2;0;0;0;0;0,108
10,6;1,2;0;88,1;0;0;0;0;0,119
4,2;0,5;0;95,3;0;0;0;0;0,047
6,7;0,5;0;92,8;0;0;0;0;0,072
4;0,4;0;95,6;0;0;0;0;0,044
7,2;0,5;0;92,2;0;0;0;0;0,078
10,7;1,5;0;87,7;0;0;0;0;0,123
6,4;0,6;0;92,9;0;0;0;0;0,071
6,1;0,6;0;93,4;0;0;0;0;0,066
3,9;0,4;0;95,6;0;0;0;0;0,044
4,2;0,4;0;95,4;0;0;0;0;0,046
7,7;1;0;91,3;0;0;0;0;0,087
9;0,9;0;90;0,1;0;0;0;0,1
8,9;0,8;0;90,3;0;0;0;0;0,097
3,9;0,4;0;95,6;0;0;0;0;0,044
7,1;1;0;91,9;0;0;0;0;0,081
11,3;1;0;87,6;0;0;0;0;0,124
6,8;0,7;0;92,4;0;0;0;0;0,076
3,9;0,3;0;95,9;0;0;0;0;0,041
2,6;0,3;0;97,1;0,1;0;0;0;0,029
2,7;0,5;0;96,8;0;0;0;0;0,032
5,3;0,6;0;94,1;0;0;0;0;0,059
5,9;0,5;0;93,6;0;0;0;0;0,064
4,7;0,4;0;94,8;0;0;0;0;0,052
5,3;0,5;0;94,1;0,1;0;0;0;0,059
8,1;1,1;0;90,8;0;0;0;0;0,092
4;0,5;0;95,4;0;0;0;0;0,046
3,2;0,4;0;96,4;0;0;0;0;0,036
4,3;0,5;0;95,1;0;0;0;0;0,049
7,4;0,6;0;92;0;0;0;0;0,08
4,8;0,5;0;94,7;0;0;0;0;0,053
9,2;0,7;0;90,1;0;0;0;0;0,099
9,2;0,6;0;90,2;0;0;0;0;0,098
3,4;0,3;0;96,2;0;0;0;0;0,038
7,5;0,6;0;91,9;0;0;0;0;0,081
11,3;1,4;0;87,3;0;0;0;0;0,127
3,9;0,5;0;95,6;0;0;0;0;0,044
2,8;0,2;0;96,9;0;0;0;0;0,031
7,5;0,7;0;91,8;0;0;0;0;0,082
7,8;0,6;0;91,5;0;0;0;0;0,085
3,9;0,6;0;95,5;0;0;0;0;0,045
7,1;0,8;0;92;0;0;0;0;0,08
2,3;0,2;0;97,6;0;0;0;0;0,024
2,7;0,3;0;97;0;0;0;0;0,03
2,4;0,2;0;97,3;0;0;0;0;0,027
3;0,8;0;96,2;0;0;0;0;0,038
7,4;0,7;0;91,8;0,1;0;0;0;0,082
