MiB Mem : 128530.7 total,   3695.0 free,  14537.5 used, 110298.2 buff/cache
MiB Mem : 128530.7 total,   3695.0 free,  14537.5 used, 110298.2 buff/cache
MiB Mem : 128530.7 total,   3695.0 free,  14537.5 used, 110298.2 buff/cache
MiB Mem : 128530.7 total,   2958.0 free,  15198.5 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2958.0 free,  15198.5 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2958.0 free,  15198.5 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   3018.3 free,  15138.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   3018.3 free,  15138.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   3018.3 free,  15138.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2891.2 free,  15265.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2891.2 free,  15265.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2891.2 free,  15265.2 used, 110374.3 buff/cache
MiB Mem : 128530.7 total,   2885.3 free,  15271.1 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2885.3 free,  15271.1 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2885.3 free,  15271.1 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2763.8 free,  15392.5 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2763.8 free,  15392.5 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2763.8 free,  15392.5 used, 110374.4 buff/cache
MiB Mem : 128530.7 total,   2721.7 free,  15434.1 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2721.7 free,  15434.1 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2721.7 free,  15434.1 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2684.3 free,  15471.4 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2684.3 free,  15471.4 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2684.3 free,  15471.4 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2590.0 free,  15565.7 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2590.0 free,  15565.7 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2590.0 free,  15565.7 used, 110375.0 buff/cache
MiB Mem : 128530.7 total,   2511.9 free,  15643.8 used, 110375.1 buff/cache
MiB Mem : 128530.7 total,   2511.9 free,  15643.8 used, 110375.1 buff/cache
MiB Mem : 128530.7 total,   2511.9 free,  15643.8 used, 110375.1 buff/cache
MiB Mem : 128530.7 total,   2489.4 free,  15665.7 used, 110375.6 buff/cache
MiB Mem : 128530.7 total,   2489.4 free,  15665.7 used, 110375.6 buff/cache
MiB Mem : 128530.7 total,   2489.4 free,  15665.7 used, 110375.6 buff/cache
MiB Mem : 128530.7 total,   2531.5 free,  15623.6 used, 110375.7 buff/cache
MiB Mem : 128530.7 total,   2531.5 free,  15623.6 used, 110375.7 buff/cache
MiB Mem : 128530.7 total,   2531.5 free,  15623.6 used, 110375.7 buff/cache
MiB Mem : 128530.7 total,   2474.8 free,  15680.2 used, 110375.7 buff/cache
MiB Mem : 128530.7 total,   2474.8 free,  15680.2 used, 110375.7 buff/cache
MiB Mem : 128530.7 total,   2474.8 free,  15680.2 used, 110375.7 buff/cache
