Time;Memory Usage
29/12/2025 16:47;6,43%
29/12/2025 16:48;6,43%
29/12/2025 16:48;6,63%
29/12/2025 16:49;6,64%
29/12/2025 16:49;6,65%
29/12/2025 16:50;6,63%
29/12/2025 16:50;6,68%
29/12/2025 16:51;6,69%
29/12/2025 16:51;6,70%
29/12/2025 16:52;6,72%
29/12/2025 16:52;6,69%
29/12/2025 16:53;6,70%
29/12/2025 16:53;6,71%
29/12/2025 16:54;6,72%
29/12/2025 16:54;6,69%
29/12/2025 16:55;6,70%
29/12/2025 16:55;6,72%
29/12/2025 16:56;6,72%
29/12/2025 16:56;6,74%
29/12/2025 16:57;6,71%
29/12/2025 16:57;6,70%
29/12/2025 16:58;6,73%
29/12/2025 16:58;6,71%
29/12/2025 16:59;6,73%
29/12/2025 16:59;6,72%
29/12/2025 17:00;6,73%
29/12/2025 17:00;6,75%
29/12/2025 17:01;6,73%
29/12/2025 17:01;6,75%
29/12/2025 17:02;6,73%
29/12/2025 17:02;6,72%
29/12/2025 17:03;6,71%
29/12/2025 17:03;6,73%
29/12/2025 17:04;6,71%
29/12/2025 17:04;6,74%
29/12/2025 17:05;6,75%
29/12/2025 17:05;6,75%
29/12/2025 17:06;6,76%
29/12/2025 17:06;6,76%
29/12/2025 17:07;6,76%
29/12/2025 17:07;6,75%
29/12/2025 17:08;6,75%
29/12/2025 17:08;6,75%
29/12/2025 17:09;6,75%
29/12/2025 17:09;6,78%
29/12/2025 17:10;6,76%
;6,71%
