"Time","GPU cn2 0"
2025-12-29 16:47:30,0%
2025-12-29 16:48:00,0%
2025-12-29 16:48:30,72%
2025-12-29 16:49:00,72%
2025-12-29 16:49:30,73%
2025-12-29 16:50:00,72%
2025-12-29 16:50:30,77%
2025-12-29 16:51:00,75%
2025-12-29 16:51:30,73%
2025-12-29 16:52:00,29%
2025-12-29 16:52:30,73%
2025-12-29 16:53:00,73%
2025-12-29 16:53:30,77%
2025-12-29 16:54:00,73%
2025-12-29 16:54:30,74%
2025-12-29 16:55:00,73%
2025-12-29 16:55:30,4%
2025-12-29 16:56:00,74%
2025-12-29 16:56:30,73%
2025-12-29 16:57:00,20%
2025-12-29 16:57:30,74%
2025-12-29 16:58:00,74%
2025-12-29 16:58:30,70%
2025-12-29 16:59:00,28%
2025-12-29 16:59:30,0%
2025-12-29 17:00:00,50%
2025-12-29 17:00:30,75%
2025-12-29 17:01:00,40%
2025-12-29 17:01:30,73%
2025-12-29 17:02:00,76%
2025-12-29 17:02:30,73%
2025-12-29 17:03:00,15%
2025-12-29 17:03:30,74%
2025-12-29 17:04:00,65%
2025-12-29 17:04:30,44%
2025-12-29 17:05:00,77%
2025-12-29 17:05:30,75%
2025-12-29 17:06:00,74%
2025-12-29 17:06:30,73%
2025-12-29 17:07:00,73%
2025-12-29 17:07:30,28%
2025-12-29 17:08:00,59%
2025-12-29 17:08:30,68%
2025-12-29 17:09:00,77%
2025-12-29 17:09:30,45%
2025-12-29 17:10:00,76%
