Time;GPU Utilization
29/12/2025 16:47;0%
29/12/2025 16:48;0%
29/12/2025 16:48;18%
29/12/2025 16:49;18%
29/12/2025 16:49;18,30%
29/12/2025 16:50;18%
29/12/2025 16:50;19,30%
29/12/2025 16:51;18,80%
29/12/2025 16:51;18,30%
29/12/2025 16:52;7,25%
29/12/2025 16:52;18,30%
29/12/2025 16:53;18,30%
29/12/2025 16:53;19,30%
29/12/2025 16:54;18,30%
29/12/2025 16:54;18,50%
29/12/2025 16:55;18,30%
29/12/2025 16:55;1%
29/12/2025 16:56;18,50%
29/12/2025 16:56;18,30%
29/12/2025 16:57;5%
29/12/2025 16:57;18,50%
29/12/2025 16:58;18,50%
29/12/2025 16:58;17,50%
29/12/2025 16:59;7%
29/12/2025 16:59;0%
29/12/2025 17:00;12,50%
29/12/2025 17:00;18,80%
29/12/2025 17:01;10%
29/12/2025 17:01;18,30%
29/12/2025 17:02;19%
29/12/2025 17:02;18,30%
29/12/2025 17:03;3,75%
29/12/2025 17:03;18,50%
29/12/2025 17:04;16,30%
29/12/2025 17:04;11%
29/12/2025 17:05;19,30%
29/12/2025 17:05;18,80%
29/12/2025 17:06;18,50%
29/12/2025 17:06;18,30%
29/12/2025 17:07;18,30%
29/12/2025 17:07;7%
29/12/2025 17:08;14,80%
29/12/2025 17:08;17%
29/12/2025 17:09;19,30%
29/12/2025 17:09;11,30%
29/12/2025 17:10;19%
;15%
