"Time","GPU cn2 0"
2025-12-27 15:30:30,0%
2025-12-27 15:31:00,0%
2025-12-27 15:31:30,67%
2025-12-27 15:32:00,73%
2025-12-27 15:32:30,73%
2025-12-27 15:33:00,67%
2025-12-27 15:33:30,69%
2025-12-27 15:34:00,70%
2025-12-27 15:34:30,69%
2025-12-27 15:35:00,67%
2025-12-27 15:35:30,75%
2025-12-27 15:36:00,68%
2025-12-27 15:36:30,68%
2025-12-27 15:37:00,70%
2025-12-27 15:37:30,70%
2025-12-27 15:38:00,69%
2025-12-27 15:38:30,68%
2025-12-27 15:39:00,68%
2025-12-27 15:39:30,68%
2025-12-27 15:40:00,70%
2025-12-27 15:40:30,62%
2025-12-27 15:41:00,68%
2025-12-27 15:41:30,65%
2025-12-27 15:42:00,65%
2025-12-27 15:42:30,62%
2025-12-27 15:43:00,59%
2025-12-27 15:43:30,62%
2025-12-27 15:44:00,61%
2025-12-27 15:44:30,63%
2025-12-27 15:45:00,61%
2025-12-27 15:45:30,53%
2025-12-27 15:46:00,34%
2025-12-27 15:46:30,57%
2025-12-27 15:47:00,61%
2025-12-27 15:47:30,63%
2025-12-27 15:48:00,60%
2025-12-27 15:48:30,54%
2025-12-27 15:49:00,51%
2025-12-27 15:49:30,62%
2025-12-27 15:50:00,59%
2025-12-27 15:50:30,57%
2025-12-27 15:51:00,54%
2025-12-27 15:51:30,66%
2025-12-27 15:52:00,32%
2025-12-27 15:52:30,57%
2025-12-27 15:53:00,48%
2025-12-27 15:53:30,54%
2025-12-27 15:54:00,56%
2025-12-27 15:54:30,60%
2025-12-27 15:55:00,39%
2025-12-27 15:55:30,40%
2025-12-27 15:56:00,58%
2025-12-27 15:56:30,63%
2025-12-27 15:57:00,59%
2025-12-27 15:57:30,56%
2025-12-27 15:58:00,48%
2025-12-27 15:58:30,60%
2025-12-27 15:59:00,60%
2025-12-27 15:59:30,62%
2025-12-27 16:00:00,51%
2025-12-27 16:00:30,38%
2025-12-27 16:01:00,44%
2025-12-27 16:01:30,50%
2025-12-27 16:02:00,60%
2025-12-27 16:02:30,59%
2025-12-27 16:03:00,59%
2025-12-27 16:03:30,55%
2025-12-27 16:04:00,60%
2025-12-27 16:04:30,27%
2025-12-27 16:05:00,65%
2025-12-27 16:05:30,58%
2025-12-27 16:06:00,49%
2025-12-27 16:06:30,64%
2025-12-27 16:07:00,65%
2025-12-27 16:07:30,57%
2025-12-27 16:08:00,30%
2025-12-27 16:08:30,62%
2025-12-27 16:09:00,54%
2025-12-27 16:09:30,57%
2025-12-27 16:10:00,64%
2025-12-27 16:10:30,54%
2025-12-27 16:11:00,63%
2025-12-27 16:11:30,60%
2025-12-27 16:12:00,63%
2025-12-27 16:12:30,45%
2025-12-27 16:13:00,59%
2025-12-27 16:13:30,50%
2025-12-27 16:14:00,59%
2025-12-27 16:14:30,64%
2025-12-27 16:15:00,55%
2025-12-27 16:15:30,60%
2025-12-27 16:16:00,44%
2025-12-27 16:16:30,46%
2025-12-27 16:17:00,61%
2025-12-27 16:17:30,53%
2025-12-27 16:18:00,67%
2025-12-27 16:18:30,54%
2025-12-27 16:19:00,60%
2025-12-27 16:19:30,48%
2025-12-27 16:20:00,48%
2025-12-27 16:20:30,48%
2025-12-27 16:21:00,56%
2025-12-27 16:21:30,39%
2025-12-27 16:22:00,55%
2025-12-27 16:22:30,60%
2025-12-27 16:23:00,57%
2025-12-27 16:23:30,58%
2025-12-27 16:24:00,64%
2025-12-27 16:24:30,44%
2025-12-27 16:25:00,67%
2025-12-27 16:25:30,49%
2025-12-27 16:26:00,53%
2025-12-27 16:26:30,60%
2025-12-27 16:27:00,47%
2025-12-27 16:27:30,57%
2025-12-27 16:28:00,53%
2025-12-27 16:28:30,50%
2025-12-27 16:29:00,55%
2025-12-27 16:29:30,60%
2025-12-27 16:30:00,60%
2025-12-27 16:30:30,45%
2025-12-27 16:31:00,42%
2025-12-27 16:31:30,54%
2025-12-27 16:32:00,62%
2025-12-27 16:32:30,57%
2025-12-27 16:33:00,59%
2025-12-27 16:33:30,44%
2025-12-27 16:34:00,51%
2025-12-27 16:34:30,57%
2025-12-27 16:35:00,57%
2025-12-27 16:35:30,39%
2025-12-27 16:36:00,41%
2025-12-27 16:36:30,51%
2025-12-27 16:37:00,50%
2025-12-27 16:37:30,65%
2025-12-27 16:38:00,61%
2025-12-27 16:38:30,54%
2025-12-27 16:39:00,58%
2025-12-27 16:39:30,55%
2025-12-27 16:40:00,59%
2025-12-27 16:40:30,56%
2025-12-27 16:41:00,56%
2025-12-27 16:41:30,57%
2025-12-27 16:42:00,54%
2025-12-27 16:42:30,49%
2025-12-27 16:43:00,68%
2025-12-27 16:43:30,48%
2025-12-27 16:44:00,55%
2025-12-27 16:44:30,50%
2025-12-27 16:45:00,57%
2025-12-27 16:45:30,39%
2025-12-27 16:46:00,54%
2025-12-27 16:46:30,64%
2025-12-27 16:47:00,61%
2025-12-27 16:47:30,62%
2025-12-27 16:48:00,45%
2025-12-27 16:48:30,61%
2025-12-27 16:49:00,48%
2025-12-27 16:49:30,51%
2025-12-27 16:50:00,41%
2025-12-27 16:50:30,64%
2025-12-27 16:51:00,59%
2025-12-27 16:51:30,55%
2025-12-27 16:52:00,38%
2025-12-27 16:52:30,50%
2025-12-27 16:53:00,32%
2025-12-27 16:53:30,64%
2025-12-27 16:54:00,64%
2025-12-27 16:54:30,65%
2025-12-27 16:55:00,63%
2025-12-27 16:55:30,60%
2025-12-27 16:56:00,60%
2025-12-27 16:56:30,44%
2025-12-27 16:57:00,53%
2025-12-27 16:57:30,62%
2025-12-27 16:58:00,57%
2025-12-27 16:58:30,62%
2025-12-27 16:59:00,64%
2025-12-27 16:59:30,53%
2025-12-27 17:00:00,42%
2025-12-27 17:00:30,44%
2025-12-27 17:01:00,53%
2025-12-27 17:01:30,58%
2025-12-27 17:02:00,45%
2025-12-27 17:02:30,57%
2025-12-27 17:03:00,59%
2025-12-27 17:03:30,59%
2025-12-27 17:04:00,48%
2025-12-27 17:04:30,55%
2025-12-27 17:05:00,43%
2025-12-27 17:05:30,58%
2025-12-27 17:06:00,46%
2025-12-27 17:06:30,62%
2025-12-27 17:07:00,62%
2025-12-27 17:07:30,55%
2025-12-27 17:08:00,62%
2025-12-27 17:08:30,61%
2025-12-27 17:09:00,57%
2025-12-27 17:09:30,45%
2025-12-27 17:10:00,49%
2025-12-27 17:10:30,60%
2025-12-27 17:11:00,60%
2025-12-27 17:11:30,59%
2025-12-27 17:12:00,58%
2025-12-27 17:12:30,51%
2025-12-27 17:13:00,50%
