MiB Mem : 128530.7 total,   3746.9 free,  14348.6 used, 110435.2 buff/cache
MiB Mem : 128530.7 total,   3746.9 free,  14348.6 used, 110435.2 buff/cache
MiB Mem : 128530.7 total,   3746.9 free,  14348.6 used, 110435.2 buff/cache
MiB Mem : 128530.7 total,   3051.7 free,  15059.5 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3051.7 free,  15059.5 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3051.7 free,  15059.5 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   2968.5 free,  15142.7 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   2968.5 free,  15142.7 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   2968.5 free,  15142.7 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3111.0 free,  15000.2 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3111.0 free,  15000.2 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3111.0 free,  15000.2 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3102.2 free,  15009.0 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3102.2 free,  15009.0 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3102.2 free,  15009.0 used, 110419.5 buff/cache
MiB Mem : 128530.7 total,   3064.6 free,  15046.6 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3064.6 free,  15046.6 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3064.6 free,  15046.6 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3060.2 free,  15050.9 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3060.2 free,  15050.9 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3060.2 free,  15050.9 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3065.8 free,  15045.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3065.8 free,  15045.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3065.8 free,  15045.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3058.1 free,  15053.0 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3058.1 free,  15053.0 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3058.1 free,  15053.0 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3026.8 free,  15084.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3026.8 free,  15084.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3026.8 free,  15084.3 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3029.9 free,  15081.2 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3029.9 free,  15081.2 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3029.9 free,  15081.2 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3030.5 free,  15080.5 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3030.5 free,  15080.5 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3030.5 free,  15080.5 used, 110419.6 buff/cache
MiB Mem : 128530.7 total,   3014.2 free,  15096.9 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3014.2 free,  15096.9 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3027.3 free,  15083.7 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3027.3 free,  15083.7 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3027.3 free,  15083.7 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3025.0 free,  15086.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3025.0 free,  15086.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3025.0 free,  15086.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3009.9 free,  15101.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3009.9 free,  15101.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3009.9 free,  15101.1 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.8 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.8 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.8 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3000.8 free,  15110.2 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3000.8 free,  15110.2 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3000.8 free,  15110.2 used, 110419.7 buff/cache
MiB Mem : 128530.7 total,   3007.4 free,  15103.6 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3007.4 free,  15103.6 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3007.4 free,  15103.6 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3005.2 free,  15105.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3003.3 free,  15107.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3003.3 free,  15107.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   3003.3 free,  15107.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2999.5 free,  15111.4 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2999.5 free,  15111.4 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2999.5 free,  15111.4 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15129.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15129.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15129.7 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.9 free,  15120.0 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.9 free,  15120.0 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.9 free,  15120.0 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.0 free,  15120.9 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.0 free,  15120.9 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2990.0 free,  15120.9 used, 110419.8 buff/cache
MiB Mem : 128530.7 total,   2996.4 free,  15114.5 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2996.4 free,  15114.5 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2996.4 free,  15114.5 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2973.7 free,  15137.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2973.7 free,  15137.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2973.7 free,  15137.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2972.2 free,  15138.6 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2972.2 free,  15138.6 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2972.2 free,  15138.6 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2995.8 free,  15115.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2995.8 free,  15115.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2995.8 free,  15115.1 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2967.4 free,  15143.4 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2967.4 free,  15143.4 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2967.4 free,  15143.4 used, 110419.9 buff/cache
MiB Mem : 128530.7 total,   2969.4 free,  15141.4 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2969.4 free,  15141.4 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2969.4 free,  15141.4 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2976.4 free,  15134.4 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2976.4 free,  15134.4 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2957.1 free,  15153.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2957.1 free,  15153.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2957.1 free,  15153.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2963.5 free,  15147.2 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2963.5 free,  15147.2 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2963.5 free,  15147.2 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2974.9 free,  15135.8 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2974.9 free,  15135.8 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2974.9 free,  15135.8 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.8 free,  15145.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.8 free,  15145.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.8 free,  15145.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2960.8 free,  15149.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2960.8 free,  15149.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2960.8 free,  15149.9 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.0 free,  15146.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.0 free,  15146.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2964.0 free,  15146.7 used, 110420.0 buff/cache
MiB Mem : 128530.7 total,   2971.1 free,  15139.6 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2971.1 free,  15139.6 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2971.1 free,  15139.6 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2960.3 free,  15150.3 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2960.3 free,  15150.3 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2960.3 free,  15150.3 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2958.2 free,  15152.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2958.2 free,  15152.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2958.2 free,  15152.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2976.2 free,  15134.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2976.2 free,  15134.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2976.2 free,  15134.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2955.2 free,  15155.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2955.2 free,  15155.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2955.2 free,  15155.4 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2963.4 free,  15147.2 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2963.4 free,  15147.2 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2963.4 free,  15147.2 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2965.9 free,  15144.7 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2965.9 free,  15144.7 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2965.9 free,  15144.7 used, 110420.1 buff/cache
MiB Mem : 128530.7 total,   2959.9 free,  15150.6 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2959.9 free,  15150.6 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2959.9 free,  15150.6 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2944.7 free,  15165.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2944.7 free,  15165.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2944.7 free,  15165.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2950.7 free,  15159.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2950.7 free,  15159.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2950.7 free,  15159.9 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2960.4 free,  15150.2 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2960.4 free,  15150.2 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2960.4 free,  15150.2 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2937.8 free,  15172.7 used, 110420.2 buff/cache
MiB Mem : 128530.7 total,   2937.8 free,  15172.7 used, 110420.2 buff/cache
