total;free;used;buff/cache;
128530,7;3746,9;14348,6;110435,2;0,111635586
128530,7;3746,9;14348,6;110435,2;0,111635586
128530,7;3746,9;14348,6;110435,2;0,111635586
128530,7;3051,7;15059,5;110419,5;0,11716656
128530,7;3051,7;15059,5;110419,5;0,11716656
128530,7;3051,7;15059,5;110419,5;0,11716656
128530,7;2968,5;15142,7;110419,5;0,117813876
128530,7;2968,5;15142,7;110419,5;0,117813876
128530,7;2968,5;15142,7;110419,5;0,117813876
128530,7;3111;15000,2;110419,5;0,116705192
128530,7;3111;15000,2;110419,5;0,116705192
128530,7;3111;15000,2;110419,5;0,116705192
128530,7;3102,2;15009;110419,5;0,116773658
128530,7;3102,2;15009;110419,5;0,116773658
128530,7;3102,2;15009;110419,5;0,116773658
128530,7;3064,6;15046,6;110419,6;0,117065417
128530,7;3064,6;15046,6;110419,6;0,117065417
128530,7;3064,6;15046,6;110419,6;0,117065417
128530,7;3060,2;15050,9;110419,6;0,11709965
128530,7;3060,2;15050,9;110419,6;0,11709965
128530,7;3060,2;15050,9;110419,6;0,11709965
128530,7;3065,8;15045,3;110419,6;0,117056081
128530,7;3065,8;15045,3;110419,6;0,117056081
128530,7;3065,8;15045,3;110419,6;0,117056081
128530,7;3058,1;15053;110419,6;0,117115989
128530,7;3058,1;15053;110419,6;0,117115989
128530,7;3058,1;15053;110419,6;0,117115989
128530,7;3026,8;15084,3;110419,6;0,11735951
128530,7;3026,8;15084,3;110419,6;0,11735951
128530,7;3026,8;15084,3;110419,6;0,11735951
128530,7;3029,9;15081,2;110419,6;0,117335391
128530,7;3029,9;15081,2;110419,6;0,117335391
128530,7;3029,9;15081,2;110419,6;0,117335391
128530,7;3030,5;15080,5;110419,6;0,117330723
128530,7;3030,5;15080,5;110419,6;0,117330723
128530,7;3030,5;15080,5;110419,6;0,117330723
128530,7;3014,2;15096,9;110419,7;0,117456763
128530,7;3014,2;15096,9;110419,7;0,117456763
128530,7;3027,3;15083,7;110419,7;0,117354842
128530,7;3027,3;15083,7;110419,7;0,117354842
128530,7;3027,3;15083,7;110419,7;0,117354842
128530,7;3025;15086,1;110419,7;0,117372737
128530,7;3025;15086,1;110419,7;0,117372737
128530,7;3025;15086,1;110419,7;0,117372737
128530,7;3009,9;15101,1;110419,7;0,117490218
128530,7;3009,9;15101,1;110419,7;0,117490218
128530,7;3009,9;15101,1;110419,7;0,117490218
128530,7;3005,2;15105,8;110419,7;0,117526785
128530,7;3005,2;15105,8;110419,7;0,117526785
128530,7;3005,2;15105,8;110419,7;0,117526785
128530,7;3000,8;15110,2;110419,7;0,117561018
128530,7;3000,8;15110,2;110419,7;0,117561018
128530,7;3000,8;15110,2;110419,7;0,117561018
128530,7;3007,4;15103,6;110419,8;0,117508891
128530,7;3007,4;15103,6;110419,8;0,117508891
128530,7;3007,4;15103,6;110419,8;0,117508891
128530,7;3005,2;15105,7;110419,8;0,117526007
128530,7;3005,2;15105,7;110419,8;0,117526007
128530,7;3005,2;15105,7;110419,8;0,117526007
128530,7;3003,3;15107,7;110419,8;0,11754079
128530,7;3003,3;15107,7;110419,8;0,11754079
128530,7;3003,3;15107,7;110419,8;0,11754079
128530,7;2999,5;15111,4;110419,8;0,117570355
128530,7;2999,5;15111,4;110419,8;0,117570355
128530,7;2999,5;15111,4;110419,8;0,117570355
128530,7;2981,2;15129,7;110419,8;0,117712733
128530,7;2981,2;15129,7;110419,8;0,117712733
128530,7;2981,2;15129,7;110419,8;0,117712733
128530,7;2990,9;15120;110419,8;0,117637265
128530,7;2990,9;15120;110419,8;0,117637265
128530,7;2990,9;15120;110419,8;0,117637265
128530,7;2990;15120,9;110419,8;0,117644267
128530,7;2990;15120,9;110419,8;0,117644267
128530,7;2990;15120,9;110419,8;0,117644267
128530,7;2996,4;15114,5;110419,9;0,117593696
128530,7;2996,4;15114,5;110419,9;0,117593696
128530,7;2996,4;15114,5;110419,9;0,117593696
128530,7;2973,7;15137,1;110419,9;0,117770307
128530,7;2973,7;15137,1;110419,9;0,117770307
128530,7;2973,7;15137,1;110419,9;0,117770307
128530,7;2972,2;15138,6;110419,9;0,117781977
128530,7;2972,2;15138,6;110419,9;0,117781977
128530,7;2972,2;15138,6;110419,9;0,117781977
128530,7;2995,8;15115,1;110419,9;0,117598364
128530,7;2995,8;15115,1;110419,9;0,117598364
128530,7;2995,8;15115,1;110419,9;0,117598364
128530,7;2967,4;15143,4;110419,9;0,117819323
128530,7;2967,4;15143,4;110419,9;0,117819323
128530,7;2967,4;15143,4;110419,9;0,117819323
128530,7;2969,4;15141,4;110420;0,117802984
128530,7;2969,4;15141,4;110420;0,117802984
128530,7;2969,4;15141,4;110420;0,117802984
128530,7;2976,4;15134,4;110420;0,117748522
128530,7;2976,4;15134,4;110420;0,117748522
128530,7;2957,1;15153,7;110420;0,117898681
128530,7;2957,1;15153,7;110420;0,117898681
128530,7;2957,1;15153,7;110420;0,117898681
128530,7;2963,5;15147,2;110420;0,117848887
128530,7;2963,5;15147,2;110420;0,117848887
128530,7;2963,5;15147,2;110420;0,117848887
128530,7;2974,9;15135,8;110420;0,117760193
128530,7;2974,9;15135,8;110420;0,117760193
128530,7;2974,9;15135,8;110420;0,117760193
128530,7;2964,8;15145,9;110420;0,117838773
128530,7;2964,8;15145,9;110420;0,117838773
128530,7;2964,8;15145,9;110420;0,117838773
128530,7;2960,8;15149,9;110420;0,117869894
128530,7;2960,8;15149,9;110420;0,117869894
128530,7;2960,8;15149,9;110420;0,117869894
128530,7;2964;15146,7;110420;0,117844997
128530,7;2964;15146,7;110420;0,117844997
128530,7;2964;15146,7;110420;0,117844997
128530,7;2971,1;15139,6;110420,1;0,11778898
128530,7;2971,1;15139,6;110420,1;0,11778898
128530,7;2971,1;15139,6;110420,1;0,11778898
128530,7;2960,3;15150,3;110420,1;0,117873006
128530,7;2960,3;15150,3;110420,1;0,117873006
128530,7;2960,3;15150,3;110420,1;0,117873006
128530,7;2958,2;15152,4;110420,1;0,117889345
128530,7;2958,2;15152,4;110420,1;0,117889345
128530,7;2958,2;15152,4;110420,1;0,117889345
128530,7;2976,2;15134,4;110420,1;0,1177493
128530,7;2976,2;15134,4;110420,1;0,1177493
128530,7;2976,2;15134,4;110420,1;0,1177493
128530,7;2955,2;15155,4;110420,1;0,117912685
128530,7;2955,2;15155,4;110420,1;0,117912685
128530,7;2955,2;15155,4;110420,1;0,117912685
128530,7;2963,4;15147,2;110420,1;0,117848887
128530,7;2963,4;15147,2;110420,1;0,117848887
128530,7;2963,4;15147,2;110420,1;0,117848887
128530,7;2965,9;15144,7;110420,1;0,117829437
128530,7;2965,9;15144,7;110420,1;0,117829437
128530,7;2965,9;15144,7;110420,1;0,117829437
128530,7;2959,9;15150,6;110420,2;0,11787534
128530,7;2959,9;15150,6;110420,2;0,11787534
128530,7;2959,9;15150,6;110420,2;0,11787534
128530,7;2944,7;15165,9;110420,2;0,1179936
128530,7;2944,7;15165,9;110420,2;0,1179936
128530,7;2944,7;15165,9;110420,2;0,1179936
128530,7;2950,7;15159,9;110420,2;0,117946919
128530,7;2950,7;15159,9;110420,2;0,117946919
