worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
2;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;22364128;230012630;;;;;;;;;;;A;;;;
4;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20064811;230353571;;;;;;;;;;;B;;;;
0;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20100983;230516120;;;;;;;;;;;C;;;;
1;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20650987;230224379;;;;;;;;;;;D;;;;
5;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20060133;229718345;;;;;;;;;;;E;;;;
7;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20575626;229475893;;;;;;;;;;;;;;;
6;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20092085;229584140;;;;;;;;;;;;;;;
3;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20790599;230182221;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
9;2;What do people aim to do at work?;B;A;0;0,21;llama3,1:8b;26/12/2025 7:30;B;75;2;20078644;208879386;;2;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;22364128;230012630
8;2;What do people aim to do at work?;B;A;0;0,253;llama3,1:8b;26/12/2025 7:30;B;75;2;20734577;252153036;;4;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20064811;230353571
2;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;31995824;230235878;;0;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20100983;230516120
4;3;Where would you find magazines along side many other printed works?;B;B;1;0,232;llama3,1:8b;26/12/2025 7:30;B;71;2;20171773;230818175;;1;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20650987;230224379
0;3;Where would you find magazines along side many other printed works?;B;B;1;0,232;llama3,1:8b;26/12/2025 7:30;B;71;2;20249283;230925272;;5;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20060133;229718345
1;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;20386922;230547335;;7;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20575626;229475893
5;3;Where would you find magazines along side many other printed works?;B;B;1;0,232;llama3,1:8b;26/12/2025 7:30;B;71;2;20124777;231295421;;6;2;What do people aim to do at work?;B;A;0;0,23;llama3,1:8b;26/12/2025 7:30;B;75;2;20092085;229584140
7;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;20195835;230772822;;3;2;What do people aim to do at work?;B;A;0;0,231;llama3,1:8b;26/12/2025 7:30;B;75;2;20790599;230182221
6;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;20189226;230875124;;9;2;What do people aim to do at work?;B;A;0;0,21;llama3,1:8b;26/12/2025 7:30;B;75;2;20078644;208879386
3;3;Where would you find magazines along side many other printed works?;B;B;1;0,232;llama3,1:8b;26/12/2025 7:30;B;71;2;20863688;230912498;;8;2;What do people aim to do at work?;B;A;0;0,253;llama3,1:8b;26/12/2025 7:30;B;75;2;20734577;252153036
9;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;20177698;230722149;;2;3;Where would you find magazines along side many other printed works?;B;B;1;0,231;llama3,1:8b;26/12/2025 7:30;B;71;2;31995824;230235878
