total;free;used;buff/cache;
128530,7;3795,8;14507,3;110227,7;0,112869532
128530,7;3795,8;14507,3;110227,7;0,112869532
128530,7;3795,8;14507,3;110227,7;0,112869532
128530,7;3073,2;15151,3;110306,2;0,117880786
128530,7;3073,2;15151,3;110306,2;0,117880786
128530,7;3073,2;15151,3;110306,2;0,117880786
128530,7;2951,8;15272,1;110306,8;0,11882064
128530,7;2951,8;15272,1;110306,8;0,11882064
128530,7;2951,8;15272,1;110306,8;0,11882064
128530,7;2906,7;15317,2;110306,8;0,119171529
128530,7;2906,7;15317,2;110306,8;0,119171529
128530,7;2906,7;15317,2;110306,8;0,119171529
128530,7;2815,2;15408,7;110306,9;0,119882643
128530,7;2815,2;15408,7;110306,9;0,119882643
128530,7;2815,2;15408,7;110306,9;0,119882643
128530,7;2789,7;15434,1;110306,9;0,120081039
128530,7;2789,7;15434,1;110306,9;0,120081039
128530,7;2789,7;15434,1;110306,9;0,120081039
128530,7;2727,4;15496,4;110307;0,12056497
128530,7;2727,4;15496,4;110307;0,12056497
128530,7;2727,4;15496,4;110307;0,12056497
128530,7;2683,2;15540;110307,5;0,120904967
128530,7;2683,2;15540;110307,5;0,120904967
128530,7;2683,2;15540;110307,5;0,120904967
128530,7;2637;15586,2;110307,5;0,121264414
128530,7;2637;15586,2;110307,5;0,121264414
128530,7;2637;15586,2;110307,5;0,121264414
128530,7;2599,3;15623,8;110307,6;0,121556951
128530,7;2599,3;15623,8;110307,6;0,121556951
128530,7;2599,3;15623,8;110307,6;0,121556951
128530,7;2560,3;15662,8;110307,7;0,121859602
128530,7;2560,3;15662,8;110307,7;0,121859602
128530,7;2560,3;15662,8;110307,7;0,121859602
128530,7;2499,6;15722,9;110308,2;0,122327973
128530,7;2499,6;15722,9;110308,2;0,122327973
128530,7;2499,6;15722,9;110308,2;0,122327973
128530,7;2540;15682,4;110308,3;0,122012873
128530,7;2540;15682,4;110308,3;0,122012873
128530,7;2540;15682,4;110308,3;0,122012873
128530,7;2449,3;15773,1;110308,3;0,122718541
128530,7;2449,3;15773,1;110308,3;0,122718541
128530,7;2449,3;15773,1;110308,3;0,122718541
128530,7;2490;15732,4;110308,4;0,122401107
128530,7;2490;15732,4;110308,4;0,122401107
128530,7;2490;15732,4;110308,4;0,122401107
128530,7;2516;15705,9;110308,9;0,122194931
128530,7;2516;15705,9;110308,9;0,122194931
128530,7;2516;15705,9;110308,9;0,122194931
