MiB Mem : 128530.7 total,   4090.6 free,  14181.2 used, 110259.0 buff/cache
MiB Mem : 128530.7 total,   4090.6 free,  14181.2 used, 110259.0 buff/cache
MiB Mem : 128530.7 total,   4090.6 free,  14181.2 used, 110259.0 buff/cache
MiB Mem : 128530.7 total,   3368.2 free,  14827.5 used, 110335.1 buff/cache
MiB Mem : 128530.7 total,   3368.2 free,  14827.5 used, 110335.1 buff/cache
MiB Mem : 128530.7 total,   3368.2 free,  14827.5 used, 110335.1 buff/cache
MiB Mem : 128530.7 total,   3314.4 free,  14880.7 used, 110335.6 buff/cache
MiB Mem : 128530.7 total,   3314.4 free,  14880.7 used, 110335.6 buff/cache
MiB Mem : 128530.7 total,   3290.3 free,  14904.8 used, 110335.6 buff/cache
MiB Mem : 128530.7 total,   3290.3 free,  14904.8 used, 110335.6 buff/cache
MiB Mem : 128530.7 total,   3290.3 free,  14904.8 used, 110335.6 buff/cache
MiB Mem : 128530.7 total,   3118.5 free,  15076.5 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3118.5 free,  15076.5 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3118.5 free,  15076.5 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3122.4 free,  15072.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3122.4 free,  15072.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3122.4 free,  15072.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3134.2 free,  15060.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3134.2 free,  15060.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3134.2 free,  15060.7 used, 110335.7 buff/cache
MiB Mem : 128530.7 total,   3105.4 free,  15089.5 used, 110335.8 buff/cache
MiB Mem : 128530.7 total,   3105.4 free,  15089.5 used, 110335.8 buff/cache
MiB Mem : 128530.7 total,   3105.4 free,  15089.5 used, 110335.8 buff/cache
MiB Mem : 128530.7 total,   3037.4 free,  15157.0 used, 110336.3 buff/cache
MiB Mem : 128530.7 total,   3037.4 free,  15157.0 used, 110336.3 buff/cache
MiB Mem : 128530.7 total,   3037.4 free,  15157.0 used, 110336.3 buff/cache
MiB Mem : 128530.7 total,   3001.6 free,  15192.8 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   3001.6 free,  15192.8 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   3001.6 free,  15192.8 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15213.1 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15213.1 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   2981.2 free,  15213.1 used, 110336.4 buff/cache
MiB Mem : 128530.7 total,   2902.0 free,  15292.3 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2902.0 free,  15292.3 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2902.0 free,  15292.3 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2934.2 free,  15260.1 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2934.2 free,  15260.1 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2934.2 free,  15260.1 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2903.0 free,  15291.2 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2903.0 free,  15291.2 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2903.0 free,  15291.2 used, 110336.5 buff/cache
MiB Mem : 128530.7 total,   2917.6 free,  15276.0 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2917.6 free,  15276.0 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2917.6 free,  15276.0 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2863.8 free,  15329.8 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2863.8 free,  15329.8 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2863.8 free,  15329.8 used, 110337.1 buff/cache
MiB Mem : 128530.7 total,   2926.9 free,  15266.7 used, 110337.1 buff/cache
