Time;GPU Utilization
16/12/2025 16:59;0%
16/12/2025 16:59;0%
16/12/2025 17:00;90,50%
16/12/2025 17:00;87%
16/12/2025 17:01;82,50%
16/12/2025 17:01;89,20%
16/12/2025 17:02;89,20%
16/12/2025 17:02;91,80%
16/12/2025 17:03;90%
16/12/2025 17:03;91,20%
16/12/2025 17:04;91,50%
16/12/2025 17:04;91,20%
16/12/2025 17:05;89,80%
16/12/2025 17:05;90,70%
16/12/2025 17:06;67,70%
16/12/2025 17:06;89,70%
16/12/2025 17:07;86,70%
16/12/2025 17:07;77,50%
16/12/2025 17:08;77%
16/12/2025 17:08;76,70%
16/12/2025 17:09;78,30%
16/12/2025 17:09;77,20%
16/12/2025 17:10;76,20%
16/12/2025 17:10;77,30%
16/12/2025 17:11;77,50%
16/12/2025 17:11;75,20%
16/12/2025 17:12;70,70%
16/12/2025 17:12;75,70%
16/12/2025 17:13;78,50%
16/12/2025 17:13;75,80%
16/12/2025 17:14;64,20%
16/12/2025 17:14;79,70%
16/12/2025 17:15;76,20%
16/12/2025 17:15;77,50%
16/12/2025 17:16;76,70%
16/12/2025 17:16;77,70%
16/12/2025 17:17;73,30%
16/12/2025 17:17;77%
16/12/2025 17:18;77,50%
16/12/2025 17:18;76,20%
16/12/2025 17:19;63,20%
16/12/2025 17:19;76,30%
16/12/2025 17:20;76,50%
16/12/2025 17:20;76,80%
16/12/2025 17:21;78,20%
16/12/2025 17:21;78,70%
16/12/2025 17:22;76,70%
16/12/2025 17:22;77,50%
16/12/2025 17:23;66,80%
16/12/2025 17:23;63,50%
16/12/2025 17:24;78,70%
16/12/2025 17:24;76,70%
16/12/2025 17:25;78,20%
16/12/2025 17:25;74%
16/12/2025 17:26;75,80%
16/12/2025 17:26;61,30%
16/12/2025 17:27;77%
16/12/2025 17:27;76,80%
16/12/2025 17:28;78,30%
16/12/2025 17:28;77,30%
16/12/2025 17:29;77%
16/12/2025 17:29;75,70%
16/12/2025 17:30;77,50%
16/12/2025 17:30;77,50%
16/12/2025 17:31;79,30%
16/12/2025 17:31;77,70%
16/12/2025 17:32;78%
16/12/2025 17:32;77,80%
16/12/2025 17:33;67,50%
16/12/2025 17:33;77,50%
16/12/2025 17:34;77,70%
16/12/2025 17:34;77%
16/12/2025 17:35;63,50%
16/12/2025 17:35;78,50%
16/12/2025 17:36;63,20%
16/12/2025 17:36;78,80%
16/12/2025 17:37;79,50%
16/12/2025 17:37;70,70%
16/12/2025 17:38;62,80%
16/12/2025 17:38;78%
16/12/2025 17:39;78,20%
16/12/2025 17:39;71%
16/12/2025 17:40;78,30%
16/12/2025 17:40;77,20%
16/12/2025 17:41;62,30%
16/12/2025 17:41;76,50%
16/12/2025 17:42;61,80%
16/12/2025 17:42;76,20%
16/12/2025 17:43;79,70%
16/12/2025 17:43;77,30%
16/12/2025 17:44;76,20%
16/12/2025 17:44;69,50%
16/12/2025 17:45;77,50%
16/12/2025 17:45;64%
16/12/2025 17:46;76,50%
16/12/2025 17:46;77,70%
16/12/2025 17:47;74,70%
16/12/2025 17:47;78,50%
16/12/2025 17:48;69,70%
16/12/2025 17:48;73,80%
16/12/2025 17:49;78,80%
16/12/2025 17:49;77,80%
16/12/2025 17:50;75,80%
16/12/2025 17:50;63%
16/12/2025 17:51;77,30%
16/12/2025 17:51;77,50%
16/12/2025 17:52;78%
16/12/2025 17:52;61,50%
16/12/2025 17:53;77,20%
16/12/2025 17:53;61,20%
16/12/2025 17:54;78,20%
16/12/2025 17:54;62,50%
16/12/2025 17:55;63%
16/12/2025 17:55;77,30%
16/12/2025 17:56;77,70%
16/12/2025 17:56;63,70%
16/12/2025 17:57;67%
16/12/2025 17:57;77,70%
16/12/2025 17:58;74,80%
16/12/2025 17:58;60,50%
16/12/2025 17:59;72,80%
16/12/2025 17:59;60%
16/12/2025 18:00;76,80%
16/12/2025 18:00;77,70%
16/12/2025 18:01;78%
16/12/2025 18:01;76,30%
16/12/2025 18:02;61,30%
16/12/2025 18:02;77%
16/12/2025 18:03;76%
16/12/2025 18:03;62,30%
16/12/2025 18:04;46,50%
16/12/2025 18:04;52,50%
16/12/2025 18:05;78,50%
16/12/2025 18:05;77,20%
16/12/2025 18:06;61,20%
16/12/2025 18:06;54,30%
16/12/2025 18:07;75%
16/12/2025 18:07;77%
16/12/2025 18:08;62%
16/12/2025 18:08;62,50%
16/12/2025 18:09;63,50%
16/12/2025 18:09;61,80%
16/12/2025 18:10;61,80%
16/12/2025 18:10;76,50%
16/12/2025 18:11;76,70%
16/12/2025 18:11;62%
16/12/2025 18:12;52,50%
16/12/2025 18:12;44,70%
16/12/2025 18:13;54,50%
16/12/2025 18:13;77%
16/12/2025 18:14;75,20%
16/12/2025 18:14;76,50%
16/12/2025 18:15;63,30%
