Time;CPU Usage
16/12/2025 16:59;1,78%
16/12/2025 16:59;2,54%
16/12/2025 17:00;4,68%
16/12/2025 17:00;5,56%
16/12/2025 17:01;5,17%
16/12/2025 17:01;5,75%
16/12/2025 17:02;5,28%
16/12/2025 17:02;5,41%
16/12/2025 17:03;5,27%
16/12/2025 17:03;5,51%
16/12/2025 17:04;5,50%
16/12/2025 17:04;5,38%
16/12/2025 17:05;5,22%
16/12/2025 17:05;5,48%
16/12/2025 17:06;5,20%
16/12/2025 17:06;5,43%
16/12/2025 17:07;5,66%
16/12/2025 17:07;6,01%
16/12/2025 17:08;6,33%
16/12/2025 17:08;6,56%
16/12/2025 17:09;6,57%
16/12/2025 17:09;6,76%
16/12/2025 17:10;6,42%
16/12/2025 17:10;6,71%
16/12/2025 17:11;6,60%
16/12/2025 17:11;7,12%
16/12/2025 17:12;6,51%
16/12/2025 17:12;6,92%
16/12/2025 17:13;6,23%
16/12/2025 17:13;6,74%
16/12/2025 17:14;6,84%
16/12/2025 17:14;6,76%
16/12/2025 17:15;6,48%
16/12/2025 17:15;7,09%
16/12/2025 17:16;6,13%
16/12/2025 17:16;6,68%
16/12/2025 17:17;6,79%
16/12/2025 17:17;6,66%
16/12/2025 17:18;6,24%
16/12/2025 17:18;6,76%
16/12/2025 17:19;6,38%
16/12/2025 17:19;6,61%
16/12/2025 17:20;6,77%
16/12/2025 17:20;6,53%
16/12/2025 17:21;6,38%
16/12/2025 17:21;7,05%
16/12/2025 17:22;6,29%
16/12/2025 17:22;6,77%
16/12/2025 17:23;6,46%
16/12/2025 17:23;6,48%
16/12/2025 17:24;6,38%
16/12/2025 17:24;6,59%
16/12/2025 17:25;6,34%
16/12/2025 17:25;6,61%
16/12/2025 17:26;6,08%
16/12/2025 17:26;6,53%
16/12/2025 17:27;6,33%
16/12/2025 17:27;6,59%
16/12/2025 17:28;6,38%
16/12/2025 17:28;6,64%
16/12/2025 17:29;6,42%
16/12/2025 17:29;6,69%
16/12/2025 17:30;6,22%
16/12/2025 17:30;6,56%
16/12/2025 17:31;6,61%
16/12/2025 17:31;6,60%
16/12/2025 17:32;6,37%
16/12/2025 17:32;6,88%
16/12/2025 17:33;6,42%
16/12/2025 17:33;6,67%
16/12/2025 17:34;6,47%
16/12/2025 17:34;6,87%
16/12/2025 17:35;6,46%
16/12/2025 17:35;6,67%
16/12/2025 17:36;6,74%
16/12/2025 17:36;6,75%
16/12/2025 17:37;6,43%
16/12/2025 17:37;6,70%
16/12/2025 17:38;6,45%
