worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
9;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.707;llama3.1:8b;2025-12-16 06:04:55;A
3;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.725;llama3.1:8b;2025-12-16 06:04:55;A
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.99;llama3.1:8b;2025-12-16 06:04:55;A
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.01;llama3.1:8b;2025-12-16 06:04:55;A
9;2;What do people aim to do at work?;B;A;0;0.318;llama3.1:8b;2025-12-16 06:04:55;B
3;2;What do people aim to do at work?;B;A;0;0.321;llama3.1:8b;2025-12-16 06:04:55;B
9;3;Where would you find magazines along side many other printed works?;B;B;1;0.263;llama3.1:8b;2025-12-16 06:04:55;B
4;2;What do people aim to do at work?;B;A;0;0.305;llama3.1:8b;2025-12-16 06:04:55;B
3;3;Where would you find magazines along side many other printed works?;B;B;1;0.265;llama3.1:8b;2025-12-16 06:04:55;B
0;2;What do people aim to do at work?;B;A;0;0.307;llama3.1:8b;2025-12-16 06:04:55;B
9;4;Where are  you likely to find a hamburger?;A;A;1;0.263;llama3.1:8b;2025-12-16 06:04:55;A
0;3;Where would you find magazines along side many other printed works?;B;B;1;0.258;llama3.1:8b;2025-12-16 06:04:55;B
3;4;Where are  you likely to find a hamburger?;A;A;1;0.268;llama3.1:8b;2025-12-16 06:04:55;A
4;3;Where would you find magazines along side many other printed works?;B;B;1;0.302;llama3.1:8b;2025-12-16 06:04:55;B
7;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.639;llama3.1:8b;2025-12-16 06:04:56;A
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.664;llama3.1:8b;2025-12-16 06:04:56;A
0;4;Where are  you likely to find a hamburger?;A;A;1;0.283;llama3.1:8b;2025-12-16 06:04:56;A
9;5;James was looking for a good place to buy farmland.  Where might he look?;A;A;1;0.323;llama3.1:8b;2025-12-16 06:04:56;A
4;4;Where are  you likely to find a hamburger?;A;A;1;0.28;llama3.1:8b;2025-12-16 06:04:56;A
3;5;James was looking for a good place to buy farmland.  Where might he look?;A;A;1;0.319;llama3.1:8b;2025-12-16 06:04:56;A
7;2;What do people aim to do at work?;B;A;0;0.273;llama3.1:8b;2025-12-16 06:04:56;B
1;2;What do people aim to do at work?;B;A;0;0.284;llama3.1:8b;2025-12-16 06:04:56;B
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;4.032;llama3.1:8b;2025-12-16 06:04:56;A
8;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;4.057;llama3.1:8b;2025-12-16 06:04:56;A
9;6;What island country is ferret popular?;C;C;1;0.278;llama3.1:8b;2025-12-16 06:04:56;C
4;5;James was looking for a good place to buy farmland.  Where might he look?;A;A;1;0.282;llama3.1:8b;2025-12-16 06:04:56;A
3;6;What island country is ferret popular?;C;C;1;0.277;llama3.1:8b;2025-12-16 06:04:56;C
0;5;James was looking for a good place to buy farmland.  Where might he look?;D;A;0;0.322;llama3.1:8b;2025-12-16 06:04:56;D
7;3;Where would you find magazines along side many other printed works?;B;B;1;0.341;llama3.1:8b;2025-12-16 06:04:56;B
1;3;Where would you find magazines along side many other printed works?;B;B;1;0.333;llama3.1:8b;2025-12-16 06:04:56;B
2;2;What do people aim to do at work?;B;A;0;0.298;llama3.1:8b;2025-12-16 06:04:56;B
8;2;What do people aim to do at work?;B;A;0;0.298;llama3.1:8b;2025-12-16 06:04:56;B
9;7;In what Spanish speaking North American country can you get a great cup of coffee?;B;B;1;0.275;llama3.1:8b;2025-12-16 06:04:56;B
0;6;What island country is ferret popular?;C;C;1;0.267;llama3.1:8b;2025-12-16 06:04:56;C
3;7;In what Spanish speaking North American country can you get a great cup of coffee?;B;B;1;0.275;llama3.1:8b;2025-12-16 06:04:56;B
