Time;GPU Utilization
16/12/2025 15:01;0%
16/12/2025 15:02;0%
16/12/2025 15:02;91,70%
16/12/2025 15:03;91%
16/12/2025 15:03;89,80%
16/12/2025 15:04;88,70%
16/12/2025 15:04;72,50%
16/12/2025 15:05;91,50%
16/12/2025 15:05;91%
16/12/2025 15:06;89,30%
16/12/2025 15:06;90%
16/12/2025 15:07;78,70%
16/12/2025 15:07;77,30%
16/12/2025 15:08;85,30%
16/12/2025 15:08;81,20%
16/12/2025 15:09;91,30%
16/12/2025 15:09;83,80%
16/12/2025 15:10;77,20%
16/12/2025 15:10;84,70%
16/12/2025 15:11;91,30%
16/12/2025 15:11;91%
16/12/2025 15:12;90,50%
16/12/2025 15:12;76,30%
16/12/2025 15:13;90,30%
16/12/2025 15:13;90,70%
16/12/2025 15:14;89,80%
16/12/2025 15:14;90,80%
16/12/2025 15:15;89,70%
16/12/2025 15:15;91,20%
16/12/2025 15:16;89,50%
16/12/2025 15:16;90,70%
16/12/2025 15:17;91%
16/12/2025 15:17;91,30%
16/12/2025 15:18;91%
16/12/2025 15:18;91,20%
16/12/2025 15:19;89,80%
16/12/2025 15:19;89,30%
16/12/2025 15:20;78%
16/12/2025 15:20;90,70%
16/12/2025 15:21;90,30%
16/12/2025 15:21;80,80%
16/12/2025 15:22;77,20%
16/12/2025 15:22;91,80%
16/12/2025 15:23;91%
16/12/2025 15:23;81,80%
16/12/2025 15:24;90,30%
16/12/2025 15:24;77,70%
16/12/2025 15:25;89,50%
16/12/2025 15:25;84,50%
16/12/2025 15:26;90%
16/12/2025 15:26;90,80%
16/12/2025 15:27;78,80%
16/12/2025 15:27;91,20%
16/12/2025 15:28;90,20%
16/12/2025 15:28;90,80%
16/12/2025 15:29;89,50%
16/12/2025 15:29;89,80%
16/12/2025 15:30;90,50%
16/12/2025 15:30;90%
16/12/2025 15:31;86,50%
16/12/2025 15:31;91,20%
16/12/2025 15:32;83,20%
16/12/2025 15:32;89,80%
16/12/2025 15:33;91,20%
16/12/2025 15:33;88,20%
16/12/2025 15:34;89%
16/12/2025 15:34;84,50%
16/12/2025 15:35;89,50%
16/12/2025 15:35;79,30%
16/12/2025 15:36;89%
16/12/2025 15:36;89,30%
16/12/2025 15:37;89,70%
16/12/2025 15:37;88,30%
16/12/2025 15:38;89,80%
16/12/2025 15:38;89,80%
16/12/2025 15:39;86,30%
16/12/2025 15:39;90,50%
16/12/2025 15:40;86,20%
16/12/2025 15:40;91%
16/12/2025 15:41;90,20%
16/12/2025 15:41;89,80%
16/12/2025 15:42;89,50%
16/12/2025 15:42;77,20%
16/12/2025 15:43;90,50%
16/12/2025 15:43;83,20%
16/12/2025 15:44;89,70%
16/12/2025 15:44;91%
16/12/2025 15:45;83,20%
16/12/2025 15:45;90,80%
16/12/2025 15:46;76,80%
16/12/2025 15:46;90,20%
16/12/2025 15:47;90,20%
16/12/2025 15:47;81,30%
16/12/2025 15:48;76,70%
16/12/2025 15:48;88,70%
16/12/2025 15:49;76,20%
16/12/2025 15:49;77,20%
16/12/2025 15:50;90,20%
16/12/2025 15:50;44,50%
16/12/2025 15:51;81,30%
16/12/2025 15:51;77,70%
