Time;Memory Usage
16/12/2025 15:01;8,45%
16/12/2025 15:02;8,78%
16/12/2025 15:02;9,33%
16/12/2025 15:03;9,35%
16/12/2025 15:03;9,35%
16/12/2025 15:04;9,41%
16/12/2025 15:04;9,42%
16/12/2025 15:05;9,44%
16/12/2025 15:05;9,46%
16/12/2025 15:06;9,48%
16/12/2025 15:06;9,48%
16/12/2025 15:07;9,49%
16/12/2025 15:07;9,51%
16/12/2025 15:08;9,54%
16/12/2025 15:08;9,57%
16/12/2025 15:09;9,56%
16/12/2025 15:09;9,54%
16/12/2025 15:10;9,54%
16/12/2025 15:10;9,55%
16/12/2025 15:11;9,52%
16/12/2025 15:11;9,55%
16/12/2025 15:12;9,53%
16/12/2025 15:12;9,57%
16/12/2025 15:13;9,56%
16/12/2025 15:13;9,61%
16/12/2025 15:14;9,61%
16/12/2025 15:14;9,55%
16/12/2025 15:15;9,61%
16/12/2025 15:15;9,63%
16/12/2025 15:16;9,67%
16/12/2025 15:16;9,69%
16/12/2025 15:17;9,68%
16/12/2025 15:17;9,66%
16/12/2025 15:18;9,67%
16/12/2025 15:18;9,71%
16/12/2025 15:19;9,70%
16/12/2025 15:19;9,66%
16/12/2025 15:20;9,67%
16/12/2025 15:20;9,71%
16/12/2025 15:21;9,68%
16/12/2025 15:21;9,69%
16/12/2025 15:22;9,66%
16/12/2025 15:22;9,70%
16/12/2025 15:23;9,69%
16/12/2025 15:23;9,71%
16/12/2025 15:24;9,71%
16/12/2025 15:24;9,67%
16/12/2025 15:25;9,71%
16/12/2025 15:25;9,70%
16/12/2025 15:26;9,67%
16/12/2025 15:26;9,70%
16/12/2025 15:27;9,70%
16/12/2025 15:27;9,73%
16/12/2025 15:28;9,73%
16/12/2025 15:28;9,71%
16/12/2025 15:29;9,72%
16/12/2025 15:29;9,71%
16/12/2025 15:30;9,73%
16/12/2025 15:30;9,75%
16/12/2025 15:31;9,76%
16/12/2025 15:31;9,76%
16/12/2025 15:32;9,69%
16/12/2025 15:32;9,72%
16/12/2025 15:33;9,74%
16/12/2025 15:33;9,70%
16/12/2025 15:34;9,69%
16/12/2025 15:34;9,73%
16/12/2025 15:35;9,76%
16/12/2025 15:35;9,73%
16/12/2025 15:36;9,80%
16/12/2025 15:36;9,79%
16/12/2025 15:37;9,78%
16/12/2025 15:37;9,78%
16/12/2025 15:38;9,77%
16/12/2025 15:38;9,77%
16/12/2025 15:39;9,78%
16/12/2025 15:39;9,76%
16/12/2025 15:40;9,77%
16/12/2025 15:40;9,76%
16/12/2025 15:41;9,75%
16/12/2025 15:41;9,76%
16/12/2025 15:42;9,78%
16/12/2025 15:42;9,78%
16/12/2025 15:43;9,78%
16/12/2025 15:43;9,76%
16/12/2025 15:44;9,76%
16/12/2025 15:44;9,77%
16/12/2025 15:45;9,78%
16/12/2025 15:45;9,76%
16/12/2025 15:46;9,76%
16/12/2025 15:46;9,77%
16/12/2025 15:47;9,78%
16/12/2025 15:47;9,77%
16/12/2025 15:48;9,75%
16/12/2025 15:48;9,76%
16/12/2025 15:49;9,76%
16/12/2025 15:49;9,76%
16/12/2025 15:50;9,75%
16/12/2025 15:50;9,78%
16/12/2025 15:51;9,75%
16/12/2025 15:51;11,50%
16/12/2025 15:52;9,79%
16/12/2025 15:52;9,79%
16/12/2025 15:53;9,79%
16/12/2025 15:53;9,75%
16/12/2025 15:54;9,81%
16/12/2025 15:54;11,60%
16/12/2025 15:55;9,82%
16/12/2025 15:55;9,77%
16/12/2025 15:56;7,69%
16/12/2025 15:56;9,78%
16/12/2025 15:57;9,81%
16/12/2025 15:57;11,50%
16/12/2025 15:58;9,80%
16/12/2025 15:58;9,93%
16/12/2025 15:59;9,80%
16/12/2025 15:59;9,80%
16/12/2025 16:00;9,85%
16/12/2025 16:00;9,84%
16/12/2025 16:01;9,83%
16/12/2025 16:01;9,85%
16/12/2025 16:02;9,83%
16/12/2025 16:02;9,77%
16/12/2025 16:03;9,78%
16/12/2025 16:03;9,78%
16/12/2025 16:04;9,80%
16/12/2025 16:04;9,79%
16/12/2025 16:05;9,80%
16/12/2025 16:05;9,79%
16/12/2025 16:06;9,80%
16/12/2025 16:06;9,81%
16/12/2025 16:07;9,86%
16/12/2025 16:07;9,80%
16/12/2025 16:08;9,80%
16/12/2025 16:08;9,78%
16/12/2025 16:09;9,76%
16/12/2025 16:09;9,78%
16/12/2025 16:10;9,79%
16/12/2025 16:10;9,77%
16/12/2025 16:11;9,80%
16/12/2025 16:11;9,81%
16/12/2025 16:12;9,77%
16/12/2025 16:12;9,76%
16/12/2025 16:13;9,78%
16/12/2025 16:13;9,77%
16/12/2025 16:14;9,77%
16/12/2025 16:14;9,80%
16/12/2025 16:15;9,79%
16/12/2025 16:15;9,80%
16/12/2025 16:16;9,77%
16/12/2025 16:16;9,81%
16/12/2025 16:17;9,85%
16/12/2025 16:17;9,83%
16/12/2025 16:18;9,79%
16/12/2025 16:18;9,81%
16/12/2025 16:19;9,83%
16/12/2025 16:19;9,81%
16/12/2025 16:20;9,84%
16/12/2025 16:20;9,80%
16/12/2025 16:21;9,83%
16/12/2025 16:21;9,83%
16/12/2025 16:22;9,84%
16/12/2025 16:22;9,83%
16/12/2025 16:23;9,79%
16/12/2025 16:23;9,81%
16/12/2025 16:24;9,80%
16/12/2025 16:24;9,81%
16/12/2025 16:25;9,81%
16/12/2025 16:25;9,80%
16/12/2025 16:26;9,81%
16/12/2025 16:26;9,83%
16/12/2025 16:27;9,83%
16/12/2025 16:27;9,81%
16/12/2025 16:28;9,82%
16/12/2025 16:28;9,81%
16/12/2025 16:29;9,81%
16/12/2025 16:29;9,82%
16/12/2025 16:30;9,80%
16/12/2025 16:30;9,81%
16/12/2025 16:31;9,79%
16/12/2025 16:31;9,83%
16/12/2025 16:32;9,80%
16/12/2025 16:32;9,80%
16/12/2025 16:33;9,79%
