"Time","GPU Temperature"
2025-12-16 15:01:30,44.7 °C
2025-12-16 15:02:00,44.7 °C
2025-12-16 15:02:30,65 °C
2025-12-16 15:03:00,74.2 °C
2025-12-16 15:03:30,78.5 °C
2025-12-16 15:04:00,81.7 °C
2025-12-16 15:04:30,80.7 °C
2025-12-16 15:05:00,83.3 °C
2025-12-16 15:05:30,83.7 °C
2025-12-16 15:06:00,83.7 °C
2025-12-16 15:06:30,83.5 °C
2025-12-16 15:07:00,83.7 °C
2025-12-16 15:07:30,84.2 °C
2025-12-16 15:08:00,84.3 °C
2025-12-16 15:08:30,84.5 °C
2025-12-16 15:09:00,84.7 °C
2025-12-16 15:09:30,84.2 °C
2025-12-16 15:10:00,84 °C
2025-12-16 15:10:30,84.5 °C
2025-12-16 15:11:00,84.7 °C
2025-12-16 15:11:30,84.7 °C
2025-12-16 15:12:00,85 °C
2025-12-16 15:12:30,84 °C
2025-12-16 15:13:00,85.2 °C
2025-12-16 15:13:30,85.2 °C
2025-12-16 15:14:00,85 °C
2025-12-16 15:14:30,84.8 °C
2025-12-16 15:15:00,85 °C
2025-12-16 15:15:30,84.7 °C
2025-12-16 15:16:00,85 °C
2025-12-16 15:16:30,84.8 °C
2025-12-16 15:17:00,84.8 °C
2025-12-16 15:17:30,85 °C
2025-12-16 15:18:00,84.8 °C
2025-12-16 15:18:30,84.8 °C
2025-12-16 15:19:00,85.2 °C
2025-12-16 15:19:30,85 °C
2025-12-16 15:20:00,85.2 °C
2025-12-16 15:20:30,84.8 °C
2025-12-16 15:21:00,85 °C
2025-12-16 15:21:30,85.3 °C
2025-12-16 15:22:00,85.5 °C
2025-12-16 15:22:30,85 °C
2025-12-16 15:23:00,85.2 °C
2025-12-16 15:23:30,84.2 °C
2025-12-16 15:24:00,85 °C
2025-12-16 15:24:30,85.3 °C
2025-12-16 15:25:00,84.3 °C
2025-12-16 15:25:30,85.2 °C
2025-12-16 15:26:00,85 °C
2025-12-16 15:26:30,85 °C
2025-12-16 15:27:00,84.3 °C
