MiB Mem : 128530.7 total,   3879.5 free,  14234.4 used, 110416.8 buff/cache
MiB Mem : 128530.7 total,   3879.5 free,  14234.4 used, 110416.8 buff/cache
MiB Mem : 128530.7 total,   3879.5 free,  14234.4 used, 110416.8 buff/cache
MiB Mem : 128530.7 total,   2984.1 free,  15051.6 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2984.1 free,  15051.6 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2984.1 free,  15051.6 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2942.5 free,  15093.2 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2942.5 free,  15093.2 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2942.5 free,  15093.2 used, 110495.0 buff/cache
MiB Mem : 128530.7 total,   2915.0 free,  15120.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   2915.0 free,  15120.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   2915.0 free,  15120.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   2914.9 free,  15120.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   2914.9 free,  15120.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   2914.9 free,  15120.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3117.6 free,  14918.0 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3117.6 free,  14918.0 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3117.6 free,  14918.0 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3120.4 free,  14915.3 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3120.4 free,  14915.3 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3120.4 free,  14915.3 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3127.0 free,  14908.6 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3127.0 free,  14908.6 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3127.0 free,  14908.6 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3105.9 free,  14929.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3105.9 free,  14929.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3105.9 free,  14929.8 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3089.9 free,  14945.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3089.9 free,  14945.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3089.9 free,  14945.7 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3093.2 free,  14942.4 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3093.2 free,  14942.4 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3093.2 free,  14942.4 used, 110495.1 buff/cache
MiB Mem : 128530.7 total,   3109.2 free,  14926.3 used, 110495.2 buff/cache
MiB Mem : 128530.7 total,   3109.2 free,  14926.3 used, 110495.2 buff/cache
MiB Mem : 128530.7 total,   3109.2 free,  14926.3 used, 110495.2 buff/cache
MiB Mem : 128530.7 total,   3090.4 free,  14945.1 used, 110495.2 buff/cache
MiB Mem : 128530.7 total,   3090.4 free,  14945.1 used, 110495.2 buff/cache
