MiB Mem : 128530.7 total,   4328.2 free,  14028.3 used, 110174.2 buff/cache
MiB Mem : 128530.7 total,   4328.2 free,  14028.3 used, 110174.2 buff/cache
MiB Mem : 128530.7 total,   4328.2 free,  14028.3 used, 110174.2 buff/cache
MiB Mem : 128530.7 total,   3650.0 free,  14630.2 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3650.0 free,  14630.2 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3650.0 free,  14630.2 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3710.2 free,  14570.0 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3710.2 free,  14570.0 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3710.2 free,  14570.0 used, 110250.5 buff/cache
MiB Mem : 128530.7 total,   3701.7 free,  14578.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3701.7 free,  14578.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3701.7 free,  14578.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3690.1 free,  14590.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3690.1 free,  14590.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3690.1 free,  14590.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3667.3 free,  14612.9 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3667.3 free,  14612.9 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3667.3 free,  14612.9 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3637.7 free,  14642.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3637.7 free,  14642.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3637.7 free,  14642.4 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3645.1 free,  14635.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3645.1 free,  14635.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3645.1 free,  14635.0 used, 110250.6 buff/cache
MiB Mem : 128530.7 total,   3650.5 free,  14629.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3650.5 free,  14629.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3650.5 free,  14629.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3652.8 free,  14626.8 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3652.8 free,  14626.8 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3652.8 free,  14626.8 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3620.0 free,  14659.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3620.0 free,  14659.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3620.0 free,  14659.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3623.0 free,  14656.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3623.0 free,  14656.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3623.0 free,  14656.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3632.5 free,  14647.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3632.5 free,  14647.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3632.5 free,  14647.1 used, 110251.1 buff/cache
MiB Mem : 128530.7 total,   3605.9 free,  14673.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3605.9 free,  14673.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3605.9 free,  14673.6 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3617.1 free,  14662.5 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3617.1 free,  14662.5 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3617.1 free,  14662.5 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3622.7 free,  14656.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3622.7 free,  14656.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3622.7 free,  14656.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3606.6 free,  14672.9 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3606.6 free,  14672.9 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3606.6 free,  14672.9 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3597.8 free,  14681.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3597.8 free,  14681.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3597.8 free,  14681.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3603.2 free,  14676.3 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3603.2 free,  14676.3 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3603.2 free,  14676.3 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3607.7 free,  14671.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3607.7 free,  14671.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3607.7 free,  14671.8 used, 110251.2 buff/cache
MiB Mem : 128530.7 total,   3590.2 free,  14689.2 used, 110251.3 buff/cache
MiB Mem : 128530.7 total,   3590.2 free,  14689.2 used, 110251.3 buff/cache
MiB Mem : 128530.7 total,   3590.2 free,  14689.2 used, 110251.3 buff/cache
MiB Mem : 128530.7 total,   3610.8 free,  14668.7 used, 110251.3 buff/cache
MiB Mem : 128530.7 total,   3610.8 free,  14668.7 used, 110251.3 buff/cache
