MiB Mem : 128530.7 total,   3753.4 free,  14540.1 used, 110237.2 buff/cache
MiB Mem : 128530.7 total,   3753.4 free,  14540.1 used, 110237.2 buff/cache
MiB Mem : 128530.7 total,   3753.4 free,  14540.1 used, 110237.2 buff/cache
MiB Mem : 128530.7 total,   3085.9 free,  15131.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3085.9 free,  15131.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3085.9 free,  15131.5 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3060.0 free,  15157.4 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3060.0 free,  15157.4 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3060.0 free,  15157.4 used, 110313.3 buff/cache
MiB Mem : 128530.7 total,   3024.1 free,  15193.3 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   3024.1 free,  15193.3 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   3024.1 free,  15193.3 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2990.8 free,  15226.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2990.8 free,  15226.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2990.8 free,  15226.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   3005.7 free,  15211.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   3005.7 free,  15211.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   3005.7 free,  15211.6 used, 110313.4 buff/cache
MiB Mem : 128530.7 total,   2987.3 free,  15229.8 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2987.3 free,  15229.8 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2987.3 free,  15229.8 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2943.8 free,  15273.2 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2943.8 free,  15273.2 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2943.8 free,  15273.2 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2947.7 free,  15269.3 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2947.7 free,  15269.3 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2947.7 free,  15269.3 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2946.0 free,  15271.0 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2946.0 free,  15271.0 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2946.0 free,  15271.0 used, 110313.7 buff/cache
MiB Mem : 128530.7 total,   2899.9 free,  15316.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2899.9 free,  15316.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2899.9 free,  15316.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2880.7 free,  15335.7 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2880.7 free,  15335.7 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2880.7 free,  15335.7 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2862.8 free,  15353.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2862.8 free,  15353.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2862.8 free,  15353.6 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2828.9 free,  15387.4 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2828.9 free,  15387.4 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2828.9 free,  15387.4 used, 110314.3 buff/cache
MiB Mem : 128530.7 total,   2822.5 free,  15393.9 used, 110314.4 buff/cache
MiB Mem : 128530.7 total,   2822.5 free,  15393.9 used, 110314.4 buff/cache
MiB Mem : 128530.7 total,   2822.5 free,  15393.9 used, 110314.4 buff/cache
MiB Mem : 128530.7 total,   2840.8 free,  15375.1 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2840.8 free,  15375.1 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2840.8 free,  15375.1 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2829.1 free,  15386.7 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2829.1 free,  15386.7 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2829.1 free,  15386.7 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2805.6 free,  15410.2 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2805.6 free,  15410.2 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2805.6 free,  15410.2 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2806.4 free,  15409.3 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2806.4 free,  15409.3 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2806.4 free,  15409.3 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2786.3 free,  15429.5 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2786.3 free,  15429.5 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2786.3 free,  15429.5 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2735.9 free,  15479.8 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2735.9 free,  15479.8 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2735.9 free,  15479.8 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2733.3 free,  15482.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2733.3 free,  15482.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2733.3 free,  15482.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2742.3 free,  15473.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2742.3 free,  15473.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2742.3 free,  15473.4 used, 110315.0 buff/cache
MiB Mem : 128530.7 total,   2695.6 free,  15520.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2695.6 free,  15520.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2695.6 free,  15520.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2723.5 free,  15492.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2723.5 free,  15492.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2723.5 free,  15492.1 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2703.1 free,  15512.5 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2703.1 free,  15512.5 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2703.1 free,  15512.5 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2651.9 free,  15563.7 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2651.9 free,  15563.7 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2651.9 free,  15563.7 used, 110315.1 buff/cache
MiB Mem : 128530.7 total,   2670.5 free,  15545.0 used, 110315.2 buff/cache
MiB Mem : 128530.7 total,   2670.5 free,  15545.0 used, 110315.2 buff/cache
MiB Mem : 128530.7 total,   2670.5 free,  15545.0 used, 110315.2 buff/cache
