MiB Mem : 128530.7 total,   3824.9 free,  14444.7 used, 110261.1 buff/cache
MiB Mem : 128530.7 total,   3824.9 free,  14444.7 used, 110261.1 buff/cache
MiB Mem : 128530.7 total,   3824.9 free,  14444.7 used, 110261.1 buff/cache
MiB Mem : 128530.7 total,   3085.5 free,  15105.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   3085.5 free,  15105.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   3085.5 free,  15105.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   2993.4 free,  15197.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   2993.4 free,  15197.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   2993.4 free,  15197.8 used, 110339.5 buff/cache
MiB Mem : 128530.7 total,   2861.8 free,  15329.3 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2861.8 free,  15329.3 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2861.8 free,  15329.3 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2847.9 free,  15343.2 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2847.9 free,  15343.2 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2847.9 free,  15343.2 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2830.2 free,  15360.9 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2830.2 free,  15360.9 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2830.2 free,  15360.9 used, 110339.6 buff/cache
MiB Mem : 128530.7 total,   2798.3 free,  15392.8 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2798.3 free,  15392.8 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2798.3 free,  15392.8 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2785.4 free,  15405.7 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2785.4 free,  15405.7 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2785.4 free,  15405.7 used, 110339.7 buff/cache
MiB Mem : 128530.7 total,   2662.3 free,  15528.0 used, 110340.5 buff/cache
MiB Mem : 128530.7 total,   2662.3 free,  15528.0 used, 110340.5 buff/cache
MiB Mem : 128530.7 total,   2662.3 free,  15528.0 used, 110340.5 buff/cache
MiB Mem : 128530.7 total,   2571.4 free,  15618.3 used, 110341.1 buff/cache
MiB Mem : 128530.7 total,   2571.4 free,  15618.3 used, 110341.1 buff/cache
MiB Mem : 128530.7 total,   2571.4 free,  15618.3 used, 110341.1 buff/cache
MiB Mem : 128530.7 total,   2544.3 free,  15644.8 used, 110341.6 buff/cache
MiB Mem : 128530.7 total,   2544.3 free,  15644.8 used, 110341.6 buff/cache
MiB Mem : 128530.7 total,   2544.3 free,  15644.8 used, 110341.6 buff/cache
MiB Mem : 128530.7 total,   2541.7 free,  15647.4 used, 110341.7 buff/cache
MiB Mem : 128530.7 total,   2541.7 free,  15647.4 used, 110341.7 buff/cache
MiB Mem : 128530.7 total,   2541.7 free,  15647.4 used, 110341.7 buff/cache
MiB Mem : 128530.7 total,   2431.8 free,  15756.7 used, 110342.2 buff/cache
MiB Mem : 128530.7 total,   2431.8 free,  15756.7 used, 110342.2 buff/cache
MiB Mem : 128530.7 total,   2431.8 free,  15756.7 used, 110342.2 buff/cache
MiB Mem : 128530.7 total,   2438.4 free,  15750.0 used, 110342.3 buff/cache
MiB Mem : 128530.7 total,   2438.4 free,  15750.0 used, 110342.3 buff/cache
MiB Mem : 128530.7 total,   2438.4 free,  15750.0 used, 110342.3 buff/cache
MiB Mem : 128530.7 total,   2420.3 free,  15768.0 used, 110342.4 buff/cache
MiB Mem : 128530.7 total,   2420.3 free,  15768.0 used, 110342.4 buff/cache
MiB Mem : 128530.7 total,   2420.3 free,  15768.0 used, 110342.4 buff/cache
MiB Mem : 128530.7 total,   2476.3 free,  15711.5 used, 110342.9 buff/cache
MiB Mem : 128530.7 total,   2476.3 free,  15711.5 used, 110342.9 buff/cache
MiB Mem : 128530.7 total,   2476.3 free,  15711.5 used, 110342.9 buff/cache
MiB Mem : 128530.7 total,   2473.8 free,  15713.9 used, 110343.0 buff/cache
MiB Mem : 128530.7 total,   2473.8 free,  15713.9 used, 110343.0 buff/cache
MiB Mem : 128530.7 total,   2473.8 free,  15713.9 used, 110343.0 buff/cache
MiB Mem : 128530.7 total,   2482.7 free,  15704.9 used, 110343.1 buff/cache
MiB Mem : 128530.7 total,   2482.7 free,  15704.9 used, 110343.1 buff/cache
MiB Mem : 128530.7 total,   2482.7 free,  15704.9 used, 110343.1 buff/cache
MiB Mem : 128530.7 total,   2448.7 free,  15738.7 used, 110343.4 buff/cache
MiB Mem : 128530.7 total,   2448.7 free,  15738.7 used, 110343.4 buff/cache
MiB Mem : 128530.7 total,   2448.7 free,  15738.7 used, 110343.4 buff/cache
MiB Mem : 128530.7 total,   2394.0 free,  15792.8 used, 110344.0 buff/cache
MiB Mem : 128530.7 total,   2394.0 free,  15792.8 used, 110344.0 buff/cache
MiB Mem : 128530.7 total,   2394.0 free,  15792.8 used, 110344.0 buff/cache
MiB Mem : 128530.7 total,   2401.1 free,  15785.1 used, 110344.5 buff/cache
MiB Mem : 128530.7 total,   2401.1 free,  15785.1 used, 110344.5 buff/cache
MiB Mem : 128530.7 total,   2401.1 free,  15785.1 used, 110344.5 buff/cache
MiB Mem : 128530.7 total,   2435.3 free,  15750.8 used, 110344.6 buff/cache
MiB Mem : 128530.7 total,   2435.3 free,  15750.8 used, 110344.6 buff/cache
