worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
5;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;7.253;llama3.2:3b;2025-12-16 06:18:58;A.
6;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;E;A;0;7.29;llama3.2:3b;2025-12-16 06:18:58;E
5;2;What do people aim to do at work?;A;A;1;0.264;llama3.2:3b;2025-12-16 06:18:58;A.
9;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;7.565;llama3.2:3b;2025-12-16 06:18:58;A
3;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;7.584;llama3.2:3b;2025-12-16 06:18:58;A
6;2;What do people aim to do at work?;A;A;1;0.294;llama3.2:3b;2025-12-16 06:18:58;A.
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;7.684;llama3.2:3b;2025-12-16 06:18:58;A.
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;7.71;llama3.2:3b;2025-12-16 06:18:58;A.
5;3;Where would you find magazines along side many other printed works?;B;B;1;0.268;llama3.2:3b;2025-12-16 06:18:58;B
6;3;Where would you find magazines along side many other printed works?;B;B;1;0.269;llama3.2:3b;2025-12-16 06:18:58;B
9;2;What do people aim to do at work?;A;A;1;0.302;llama3.2:3b;2025-12-16 06:18:58;A.
3;2;What do people aim to do at work?;A;A;1;0.307;llama3.2:3b;2025-12-16 06:18:58;A.
4;2;What do people aim to do at work?;A;A;1;0.336;llama3.2:3b;2025-12-16 06:18:59;A.
0;2;What do people aim to do at work?;A;A;1;0.337;llama3.2:3b;2025-12-16 06:18:59;A.
5;4;Where are  you likely to find a hamburger?;A;A;1;0.293;llama3.2:3b;2025-12-16 06:18:59;A.
6;4;Where are  you likely to find a hamburger?;A;A;1;0.261;llama3.2:3b;2025-12-16 06:18:59;A
9;3;Where would you find magazines along side many other printed works?;B;B;1;0.312;llama3.2:3b;2025-12-16 06:18:59;B
