MiB Mem : 128530.7 total,   3877.2 free,  14354.0 used, 110299.5 buff/cache
MiB Mem : 128530.7 total,   3877.2 free,  14354.0 used, 110299.5 buff/cache
MiB Mem : 128530.7 total,   3877.2 free,  14354.0 used, 110299.5 buff/cache
MiB Mem : 128530.7 total,   3136.6 free,  15016.5 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3136.6 free,  15016.5 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3127.7 free,  15025.4 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3127.7 free,  15025.4 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3127.7 free,  15025.4 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3072.8 free,  15080.3 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3072.8 free,  15080.3 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3072.8 free,  15080.3 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3051.2 free,  15101.9 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3051.2 free,  15101.9 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3051.2 free,  15101.9 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3200.1 free,  14953.0 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3200.1 free,  14953.0 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3200.1 free,  14953.0 used, 110377.6 buff/cache
MiB Mem : 128530.7 total,   3189.8 free,  14963.3 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3189.8 free,  14963.3 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3189.8 free,  14963.3 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3208.3 free,  14944.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3208.3 free,  14944.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3208.3 free,  14944.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3197.2 free,  14955.9 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3197.2 free,  14955.9 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3197.2 free,  14955.9 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3177.5 free,  14975.6 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3177.5 free,  14975.6 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3177.5 free,  14975.6 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3175.3 free,  14977.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3175.3 free,  14977.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3175.3 free,  14977.7 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3182.9 free,  14970.1 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3182.9 free,  14970.1 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3182.9 free,  14970.1 used, 110377.7 buff/cache
MiB Mem : 128530.7 total,   3191.9 free,  14961.1 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3191.9 free,  14961.1 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3191.9 free,  14961.1 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3145.6 free,  15007.4 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3145.6 free,  15007.4 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3145.6 free,  15007.4 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.9 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.9 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.9 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3155.8 free,  14997.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3155.8 free,  14997.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3155.8 free,  14997.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3146.3 free,  15006.6 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3146.3 free,  15006.6 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3146.3 free,  15006.6 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.8 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.8 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3154.1 free,  14998.8 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3159.7 free,  14993.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3159.7 free,  14993.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3159.7 free,  14993.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3131.2 free,  15021.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3131.2 free,  15021.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3135.2 free,  15017.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3135.2 free,  15017.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3135.2 free,  15017.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3147.7 free,  15005.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3147.7 free,  15005.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3147.7 free,  15005.2 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3166.2 free,  14986.7 used, 110377.8 buff/cache
MiB Mem : 128530.7 total,   3166.2 free,  14986.7 used, 110377.8 buff/cache
