MiB Mem : 128530.7 total,   4540.8 free,  13922.8 used, 110067.1 buff/cache
MiB Mem : 128530.7 total,   4540.8 free,  13922.8 used, 110067.1 buff/cache
MiB Mem : 128530.7 total,   4540.8 free,  13922.8 used, 110067.1 buff/cache
MiB Mem : 128530.7 total,   3794.9 free,  14590.7 used, 110145.1 buff/cache
MiB Mem : 128530.7 total,   3794.9 free,  14590.7 used, 110145.1 buff/cache
MiB Mem : 128530.7 total,   3794.9 free,  14590.7 used, 110145.1 buff/cache
MiB Mem : 128530.7 total,   3752.9 free,  14632.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3752.9 free,  14632.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3752.9 free,  14632.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3767.5 free,  14618.0 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3767.5 free,  14618.0 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3826.3 free,  14559.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3826.3 free,  14559.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3826.3 free,  14559.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3842.8 free,  14542.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3842.8 free,  14542.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3842.8 free,  14542.7 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3819.1 free,  14566.4 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3819.1 free,  14566.4 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3819.1 free,  14566.4 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3801.4 free,  14584.1 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3801.4 free,  14584.1 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3801.4 free,  14584.1 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3815.2 free,  14570.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3815.2 free,  14570.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3815.2 free,  14570.3 used, 110145.2 buff/cache
MiB Mem : 128530.7 total,   3792.1 free,  14593.3 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3792.1 free,  14593.3 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3792.1 free,  14593.3 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.6 free,  14577.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.6 free,  14577.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.6 free,  14577.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3806.9 free,  14578.5 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3806.9 free,  14578.5 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3806.9 free,  14578.5 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3799.7 free,  14585.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3799.7 free,  14585.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3799.7 free,  14585.8 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3801.3 free,  14584.1 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3801.3 free,  14584.1 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3801.3 free,  14584.1 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.4 free,  14578.0 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.4 free,  14578.0 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3807.4 free,  14578.0 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3817.5 free,  14567.9 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3817.5 free,  14567.9 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3817.5 free,  14567.9 used, 110145.3 buff/cache
MiB Mem : 128530.7 total,   3802.5 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3802.5 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3802.5 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3802.4 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3802.4 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3802.4 free,  14582.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3808.6 free,  14576.8 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3808.6 free,  14576.8 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3808.6 free,  14576.8 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3782.4 free,  14602.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3782.4 free,  14602.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3782.4 free,  14602.9 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3793.7 free,  14591.6 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3793.7 free,  14591.6 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3793.7 free,  14591.6 used, 110145.4 buff/cache
MiB Mem : 128530.7 total,   3799.6 free,  14585.7 used, 110145.4 buff/cache
