MiB Mem : 128530.7 total,   2806.2 free,  15411.1 used, 110313.5 buff/cache
MiB Mem : 128530.7 total,   2806.2 free,  15411.1 used, 110313.5 buff/cache
MiB Mem : 128530.7 total,   2806.2 free,  15411.1 used, 110313.5 buff/cache
MiB Mem : 128530.7 total,   2735.4 free,  15481.3 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2735.4 free,  15481.3 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2735.4 free,  15481.3 used, 110314.0 buff/cache
MiB Mem : 128530.7 total,   2684.6 free,  15532.1 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2684.6 free,  15532.1 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2684.6 free,  15532.1 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2764.7 free,  15451.9 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2764.7 free,  15451.9 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2764.7 free,  15451.9 used, 110314.1 buff/cache
MiB Mem : 128530.7 total,   2724.7 free,  15491.9 used, 110314.2 buff/cache
MiB Mem : 128530.7 total,   2724.7 free,  15491.9 used, 110314.2 buff/cache
MiB Mem : 128530.7 total,   2724.7 free,  15491.9 used, 110314.2 buff/cache
MiB Mem : 128530.7 total,   2725.6 free,  15490.4 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2725.6 free,  15490.4 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2725.6 free,  15490.4 used, 110314.7 buff/cache
MiB Mem : 128530.7 total,   2722.3 free,  15493.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2722.3 free,  15493.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2722.3 free,  15493.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2677.2 free,  15538.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2677.2 free,  15538.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2677.2 free,  15538.7 used, 110314.8 buff/cache
MiB Mem : 128530.7 total,   2688.2 free,  15527.6 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2688.2 free,  15527.6 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2688.2 free,  15527.6 used, 110314.9 buff/cache
MiB Mem : 128530.7 total,   2695.1 free,  15520.2 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2695.1 free,  15520.2 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2695.1 free,  15520.2 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2758.5 free,  15456.8 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2758.5 free,  15456.8 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2758.5 free,  15456.8 used, 110315.4 buff/cache
MiB Mem : 128530.7 total,   2662.1 free,  15553.1 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2662.1 free,  15553.1 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2662.1 free,  15553.1 used, 110315.5 buff/cache
MiB Mem : 128530.7 total,   2767.0 free,  15448.1 used, 110315.6 buff/cache
MiB Mem : 128530.7 total,   2767.0 free,  15448.1 used, 110315.6 buff/cache
MiB Mem : 128530.7 total,   2767.0 free,  15448.1 used, 110315.6 buff/cache
MiB Mem : 128530.7 total,   2749.5 free,  15465.1 used, 110316.1 buff/cache
MiB Mem : 128530.7 total,   2749.5 free,  15465.1 used, 110316.1 buff/cache
MiB Mem : 128530.7 total,   2749.5 free,  15465.1 used, 110316.1 buff/cache
MiB Mem : 128530.7 total,   2689.9 free,  15524.6 used, 110316.2 buff/cache
MiB Mem : 128530.7 total,   2689.9 free,  15524.6 used, 110316.2 buff/cache
