worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;0.169;llama3.1:8b;2025-12-18 14:03:23;A
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;0.192;llama3.1:8b;2025-12-18 14:03:23;A
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;0.213;llama3.1:8b;2025-12-18 14:03:23;A
3;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;0.235;llama3.1:8b;2025-12-18 14:03:23;A
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;0.258;llama3.1:8b;2025-12-18 14:03:23;A
0;2;What do people aim to do at work?;B;A;0;0.135;llama3.1:8b;2025-12-18 14:03:23;B
2;2;What do people aim to do at work?;B;A;0;0.18;llama3.1:8b;2025-12-18 14:03:23;B
4;2;What do people aim to do at work?;B;A;0;0.158;llama3.1:8b;2025-12-18 14:03:23;B
3;2;What do people aim to do at work?;B;A;0;0.158;llama3.1:8b;2025-12-18 14:03:23;B
1;2;What do people aim to do at work?;B;A;0;0.158;llama3.1:8b;2025-12-18 14:03:23;B
0;3;Where would you find magazines along side many other printed works?;B;B;1;0.135;llama3.1:8b;2025-12-18 14:03:23;B
2;3;Where would you find magazines along side many other printed works?;B;B;1;0.135;llama3.1:8b;2025-12-18 14:03:23;B
4;3;Where would you find magazines along side many other printed works?;B;B;1;0.135;llama3.1:8b;2025-12-18 14:03:23;B
3;3;Where would you find magazines along side many other printed works?;B;B;1;0.135;llama3.1:8b;2025-12-18 14:03:23;B
1;3;Where would you find magazines along side many other printed works?;B;B;1;0.135;llama3.1:8b;2025-12-18 14:03:23;B
0;4;Where are  you likely to find a hamburger?;A;A;1;0.141;llama3.1:8b;2025-12-18 14:03:23;A
