worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
8;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.683;llama3.1:8b;2025-12-11 10:21:56;A
9;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.704;llama3.1:8b;2025-12-11 10:21:56;A
5;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.726;llama3.1:8b;2025-12-11 10:21:56;A
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.748;llama3.1:8b;2025-12-11 10:21:56;A
7;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.768;llama3.1:8b;2025-12-11 10:21:56;A
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.791;llama3.1:8b;2025-12-11 10:21:56;A
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.812;llama3.1:8b;2025-12-11 10:21:56;A
3;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.833;llama3.1:8b;2025-12-11 10:21:56;A
6;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.854;llama3.1:8b;2025-12-11 10:21:56;A
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.876;llama3.1:8b;2025-12-11 10:21:56;A
8;2;What do people aim to do at work?;B;A;0;0.23;llama3.1:8b;2025-12-11 10:21:56;B
9;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
5;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
1;2;What do people aim to do at work?;B;A;0;0.23;llama3.1:8b;2025-12-11 10:21:56;B
7;2;What do people aim to do at work?;B;A;0;0.23;llama3.1:8b;2025-12-11 10:21:56;B
0;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
4;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
3;2;What do people aim to do at work?;B;A;0;0.23;llama3.1:8b;2025-12-11 10:21:56;B
6;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
2;2;What do people aim to do at work?;B;A;0;0.231;llama3.1:8b;2025-12-11 10:21:56;B
8;3;Where would you find magazines along side many other printed works?;B;B;1;0.23;llama3.1:8b;2025-12-11 10:21:56;B
9;3;Where would you find magazines along side many other printed works?;B;B;1;0.23;llama3.1:8b;2025-12-11 10:21:56;B
5;3;Where would you find magazines along side many other printed works?;B;B;1;0.23;llama3.1:8b;2025-12-11 10:21:56;B
1;3;Where would you find magazines along side many other printed works?;B;B;1;0.23;llama3.1:8b;2025-12-11 10:21:56;B
7;3;Where would you find magazines along side many other printed works?;B;B;1;0.23;llama3.1:8b;2025-12-11 10:21:56;B
0;3;Where would you find magazines along side many other printed works?;B;B;1;0.229;llama3.1:8b;2025-12-11 10:21:56;B
4;3;Where would you find magazines along side many other printed works?;B;B;1;0.229;llama3.1:8b;2025-12-11 10:21:56;B
3;3;Where would you find magazines along side many other printed works?;B;B;1;0.229;llama3.1:8b;2025-12-11 10:21:56;B
6;3;Where would you find magazines along side many other printed works?;B;B;1;0.229;llama3.1:8b;2025-12-11 10:21:56;B
2;3;Where would you find magazines along side many other printed works?;B;B;1;0.229;llama3.1:8b;2025-12-11 10:21:56;B
8;4;Where are  you likely to find a hamburger?;A;A;1;0.23;llama3.1:8b;2025-12-11 10:21:56;A
9;4;Where are  you likely to find a hamburger?;A;A;1;0.231;llama3.1:8b;2025-12-11 10:21:56;A
5;4;Where are  you likely to find a hamburger?;A;A;1;0.232;llama3.1:8b;2025-12-11 10:21:56;A
1;4;Where are  you likely to find a hamburger?;A;A;1;0.231;llama3.1:8b;2025-12-11 10:21:56;A
7;4;Where are  you likely to find a hamburger?;A;A;1;0.231;llama3.1:8b;2025-12-11 10:21:56;A
0;4;Where are  you likely to find a hamburger?;A;A;1;0.231;llama3.1:8b;2025-12-11 10:21:56;A
4;4;Where are  you likely to find a hamburger?;A;A;1;0.231;llama3.1:8b;2025-12-11 10:21:57;A
