us;sy;ni;id;wa;hi;si;st;
2,4;1,4;0;96,1;0,1;0;0;0;0,039
1;1,1;0;97,9;0;0;0;0;0,021
1,3;0,6;0;98,1;0;0;0;0;0,019
1;0,5;0;98,4;0;0;0;0;0,016
2;0,3;0;97,7;0;0;0;0;0,023
1,8;0,2;0;98;0;0;0;0;0,02
1,6;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,6;0;97,4;0;0;0;0;0,026
1,8;0,3;0;97,9;0;0;0;0;0,021
2;0,2;0;97,8;0;0;0;0;0,022
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,2;0;98;0;0;0;0;0,02
2;0,3;0;97,7;0;0;0;0;0,023
1,8;0,3;0;97,9;0;0;0;0;0,021
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,6;0;97,4;0;0;0;0;0,026
1,9;0,2;0;97,8;0,1;0;0;0;0,022
1,9;0,2;0;98;0;0;0;0;0,02
1,9;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98;0,1;0;0;0;0,02
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,7;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,1;0,1;0;0;0;0,019
2,1;0,5;0;97,4;0;0;0;0;0,026
1,9;0,2;0;97,9;0;0;0;0;0,021
1,8;0,2;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,1;0;98;0,1;0;0;0;0,02
2,1;0,4;0;97,4;0;0;0;0;0,026
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,9;0,2;0;97,9;0;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,2;0;0;0;0;0,018
2;0,6;0;97,4;0;0;0;0;0,026
2,2;0,3;0;97,4;0,1;0;0;0;0,026
1,7;0,2;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,2;0;98,1;0;0;0;0;0,019
2;0,3;0;97,7;0;0;0;0;0,023
1,8;0,2;0;98;0;0;0;0;0,02
2,8;0,1;0;97,1;0;0;0;0;0,029
1,8;0,2;0;98;0;0;0;0;0,02
2;0,3;0;97,7;0;0;0;0;0,023
1,8;0,4;0;97,7;0,1;0;0;0;0,023
2;0,2;0;97,8;0;0;0;0;0,022
1,7;0,2;0;98;0;0;0;0;0,02
1,8;0,1;0;98;0,1;0;0;0;0,02
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,2;0;98;0,1;0;0;0;0,02
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98;0;0;0;0;0,02
2;0,5;0;97,5;0;0;0;0;0,025
1,8;0,3;0;97,8;0;0;0;0;0,022
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,2;0;98,1;0;0;0;0;0,019
1,7;0,2;0;98;0;0;0;0;0,02
2;0,5;0;97,5;0;0;0;0;0,025
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,2;0;98,1;0;0;0;0;0,019
2;0,5;0;97,4;0;0;0;0;0,026
1,8;0,2;0;97,9;0;0;0;0;0,021
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,2;0;98,1;0;0;0;0;0,019
1,9;0,2;0;97,9;0;0;0;0;0,021
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,1;0;0;0;0;0,019
1,9;0,2;0;97,9;0;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,6;0;97,5;0;0;0;0;0,025
1,9;0,2;0;97,9;0,1;0;0;0;0,021
1,8;0,1;0;98;0;0;0;0;0,02
2,1;0,3;0;97,6;0;0;0;0;0,024
1,8;0,2;0;98;0,1;0;0;0;0,02
1,9;0,4;0;97,7;0;0;0;0;0,023
1,9;0,2;0;97,9;0;0;0;0;0,021
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0,1;0;0;0;0,02
2,1;0,5;0;97,4;0;0;0;0;0,026
1,9;0,3;0;97,7;0;0;0;0;0,023
1,9;0,2;0;98;0;0;0;0;0,02
1,9;0,2;0;97,9;0;0;0;0;0,021
1,7;0,1;0;98,1;0;0;0;0;0,019
2,1;0,4;0;97,5;0;0;0;0;0,025
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,5;0;97,5;0;0;0;0;0,025
1,9;0,3;0;97,7;0,1;0;0;0;0,023
1,8;0,2;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,2;0;97,9;0;0;0;0;0,021
2;0,1;0;97,8;0,1;0;0;0;0,022
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,5;0;97,5;0;0;0;0;0,025
1,8;0,3;0;97,9;0;0;0;0;0,021
1,8;0,2;0;98;0;0;0;0;0,02
1,9;0,2;0;97,9;0;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
2,2;0,4;0;97,4;0;0;0;0;0,026
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98;0,1;0;0;0;0,02
2;0,6;0;97,3;0;0;0;0;0,027
1,8;0,3;0;97,9;0,1;0;0;0;0,021
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98;0;0;0;0;0,02
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;97,9;0;0;0;0;0,021
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,6;0;97,4;0;0;0;0;0,026
1,8;0,3;0;97,8;0,1;0;0;0;0,022
1,9;0,3;0;97,8;0;0;0;0;0,022
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0;0;0;0;0,02
2;0,4;0;97,6;0;0;0;0;0,024
1,8;0,3;0;97,9;0,1;0;0;0;0,021
1,8;0,2;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
1,9;0,6;0;97,5;0;0;0;0;0,025
2,1;0,3;0;97,5;0;0;0;0;0,025
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;97,9;0,1;0;0;0;0,021
2;0,3;0;97,7;0;0;0;0;0,023
1,8;0,3;0;97,8;0;0;0;0;0,022
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98;0;0;0;0;0,02
2;0,6;0;97,4;0;0;0;0;0,026
1,8;0,2;0;97,9;0;0;0;0;0,021
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2,1;0,4;0;97,5;0;0;0;0;0,025
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,5;0;97,5;0;0;0;0;0,025
2,1;0,4;0;97,5;0;0;0;0;0,025
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,4;0;97,5;0;0;0;0;0,025
1,7;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,1;0;0;0;0;0,019
2,9;0,1;0;97;0;0;0;0;0,03
1,8;0,1;0;98,2;0;0;0;0;0,018
2;0,5;0;97,5;0;0;0;0;0,025
1,8;0,3;0;97,8;0,1;0;0;0;0,022
1,8;0,2;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,1;0;0;0;0;0,019
2;0,5;0;97,5;0;0;0;0;0,025
1,7;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98;0;0;0;0;0,02
1,7;0,1;0;98,2;0;0;0;0;0,018
2,1;0,6;0;97,3;0;0;0;0;0,027
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98;0;0;0;0;0,02
1,8;0,2;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,1;0,1;0;0;0;0,019
2;0,4;0;97,6;0;0;0;0;0,024
1,7;0,3;0;97,9;0,1;0;0;0;0,021
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,1;0;0;0;0;0,019
2;0,7;0;97,3;0;0;0;0;0,027
1,8;0,2;0;97,9;0;0;0;0;0,021
1,8;0,2;0;97,9;0;0;0;0;0,021
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,1;0;98,2;0;0;0;0;0,018
2;0,4;0;97,6;0;0;0;0;0,024
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,7;0,1;0;98,2;0;0;0;0;0,018
1,7;0,1;0;98,2;0;0;0;0;0,018
1,8;0,1;0;98,1;0;0;0;0;0,019
2,1;0,6;0;97,4;0;0;0;0;0,026
1,9;0,2;0;97,8;0;0;0;0;0,022
1,7;0,2;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98,1;0;0;0;0;0,019
1,9;0,2;0;97,7;0,2;0;0;0;0,023
2;0,4;0;97,6;0;0;0;0;0,024
1,8;0,2;0;98;0;0;0;0;0,02
1,7;0,2;0;98,1;0;0;0;0;0,019
1,7;0,2;0;98,1;0;0;0;0;0,019
1,8;0,2;0;98;0;0;0;0;0,02
2;0,6;0;97,4;0;0;0;0;0,026
1,8;0,3;0;97,8;0,1;0;0;0;0,022
1,8;0,1;0;98,1;0;0;0;0;0,019
1,7;0,2;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2;0,4;0;97,6;0;0;0;0;0,024
1,8;0,2;0;97,9;0,1;0;0;0;0,021
1,7;0,1;0;98,1;0;0;0;0;0,019
1,8;0,1;0;98,1;0;0;0;0;0,019
2,1;0,6;0;97,3;0;0;0;0;0,027
