Time;Memory Usage
15/12/2025 15:31;8,67%
15/12/2025 15:31;8,77%
15/12/2025 15:32;9,28%
15/12/2025 15:32;9,51%
15/12/2025 15:33;9,51%
15/12/2025 15:33;9,51%
15/12/2025 15:34;9,52%
15/12/2025 15:34;9,53%
15/12/2025 15:35;9,52%
15/12/2025 15:35;9,52%
15/12/2025 15:36;9,53%
15/12/2025 15:36;9,52%
15/12/2025 15:37;9,54%
15/12/2025 15:37;9,55%
15/12/2025 15:38;9,58%
15/12/2025 15:38;9,56%
15/12/2025 15:39;9,59%
15/12/2025 15:39;9,62%
15/12/2025 15:40;9,62%
15/12/2025 15:40;9,58%
15/12/2025 15:41;9,60%
15/12/2025 15:41;9,57%
15/12/2025 15:42;9,58%
15/12/2025 15:42;9,60%
15/12/2025 15:43;9,64%
15/12/2025 15:43;9,63%
15/12/2025 15:44;9,65%
15/12/2025 15:44;9,68%
15/12/2025 15:45;9,66%
15/12/2025 15:45;9,66%
15/12/2025 15:46;9,66%
15/12/2025 15:46;9,66%
15/12/2025 15:47;9,67%
15/12/2025 15:47;9,66%
15/12/2025 15:48;9,66%
15/12/2025 15:48;9,70%
15/12/2025 15:49;9,71%
15/12/2025 15:49;9,72%
15/12/2025 15:50;9,73%
15/12/2025 15:50;9,73%
15/12/2025 15:51;9,73%
15/12/2025 15:51;9,72%
15/12/2025 15:52;9,71%
15/12/2025 15:52;9,70%
15/12/2025 15:53;9,70%
15/12/2025 15:53;9,69%
15/12/2025 15:54;9,66%
15/12/2025 15:54;9,67%
15/12/2025 15:55;9,68%
15/12/2025 15:55;9,68%
15/12/2025 15:56;9,68%
15/12/2025 15:56;9,68%
15/12/2025 15:57;9,67%
15/12/2025 15:57;9,66%
15/12/2025 15:58;9,67%
15/12/2025 15:58;9,67%
15/12/2025 15:59;9,69%
15/12/2025 15:59;9,69%
15/12/2025 16:00;9,70%
15/12/2025 16:00;9,72%
15/12/2025 16:01;9,70%
15/12/2025 16:01;9,72%
15/12/2025 16:02;9,73%
15/12/2025 16:02;9,73%
15/12/2025 16:03;9,72%
15/12/2025 16:03;9,71%
15/12/2025 16:04;9,74%
15/12/2025 16:04;9,72%
15/12/2025 16:05;9,68%
15/12/2025 16:05;9,68%
15/12/2025 16:06;9,67%
15/12/2025 16:06;9,68%
15/12/2025 16:07;9,69%
15/12/2025 16:07;9,70%
15/12/2025 16:08;9,67%
15/12/2025 16:08;9,70%
15/12/2025 16:09;9,71%
15/12/2025 16:09;9,70%
15/12/2025 16:10;9,68%
15/12/2025 16:10;9,66%
15/12/2025 16:11;9,64%
15/12/2025 16:11;9,65%
15/12/2025 16:12;9,65%
15/12/2025 16:12;9,66%
15/12/2025 16:13;9,66%
15/12/2025 16:13;9,69%
15/12/2025 16:14;9,70%
15/12/2025 16:14;9,69%
15/12/2025 16:15;9,69%
15/12/2025 16:15;9,71%
15/12/2025 16:16;9,73%
15/12/2025 16:16;9,71%
15/12/2025 16:17;9,71%
15/12/2025 16:17;9,72%
15/12/2025 16:18;9,75%
15/12/2025 16:18;9,77%
15/12/2025 16:19;9,78%
15/12/2025 16:19;9,79%
15/12/2025 16:20;9,78%
15/12/2025 16:20;9,80%
15/12/2025 16:21;9,79%
15/12/2025 16:21;9,75%
15/12/2025 16:22;9,77%
;9,65%
