MiB Mem : 128530.7 total,   4493.2 free,  13938.9 used, 110098.6 buff/cache
MiB Mem : 128530.7 total,   4493.2 free,  13938.9 used, 110098.6 buff/cache
MiB Mem : 128530.7 total,   4493.2 free,  13938.9 used, 110098.6 buff/cache
MiB Mem : 128530.7 total,   3722.5 free,  14631.5 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3722.5 free,  14631.5 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3722.5 free,  14631.5 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3717.7 free,  14636.3 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3717.7 free,  14636.3 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3717.7 free,  14636.3 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3712.1 free,  14641.9 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3712.1 free,  14641.9 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3712.1 free,  14641.9 used, 110176.7 buff/cache
MiB Mem : 128530.7 total,   3780.4 free,  14573.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3780.4 free,  14573.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3780.4 free,  14573.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3791.0 free,  14563.0 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3791.0 free,  14563.0 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3791.0 free,  14563.0 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3758.7 free,  14595.2 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3758.7 free,  14595.2 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3758.7 free,  14595.2 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3742.6 free,  14611.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3742.6 free,  14611.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3742.6 free,  14611.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.2 free,  14599.7 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.2 free,  14599.7 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.2 free,  14599.7 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.0 free,  14599.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.0 free,  14599.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3754.0 free,  14599.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3739.5 free,  14614.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3739.5 free,  14614.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3739.5 free,  14614.4 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3747.0 free,  14606.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3747.0 free,  14606.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3747.0 free,  14606.9 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3746.3 free,  14607.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3746.3 free,  14607.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3746.3 free,  14607.5 used, 110176.8 buff/cache
MiB Mem : 128530.7 total,   3756.8 free,  14597.1 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3756.8 free,  14597.1 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3756.8 free,  14597.1 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3738.3 free,  14615.5 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3738.3 free,  14615.5 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3738.3 free,  14615.5 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3736.4 free,  14617.4 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3736.4 free,  14617.4 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3736.4 free,  14617.4 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3742.8 free,  14611.0 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3742.8 free,  14611.0 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3742.8 free,  14611.0 used, 110176.9 buff/cache
MiB Mem : 128530.7 total,   3720.6 free,  14633.2 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3720.6 free,  14633.2 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3720.6 free,  14633.2 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3715.3 free,  14638.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3715.3 free,  14638.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3715.3 free,  14638.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3713.3 free,  14640.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3713.3 free,  14640.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3713.3 free,  14640.4 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3701.9 free,  14651.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3701.9 free,  14651.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3701.9 free,  14651.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3704.8 free,  14648.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3704.8 free,  14648.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3704.8 free,  14648.9 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3707.1 free,  14646.6 used, 110177.0 buff/cache
MiB Mem : 128530.7 total,   3707.1 free,  14646.6 used, 110177.0 buff/cache
