timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/16 07:36:50.244;0;0%;0%; 447 MiB; 14.89 W;31
2025/12/16 07:36:50.245;1;0%;0%; 4 MiB; 13.42 W;27
2025/12/16 07:36:51.245;0;6%;0%; 447 MiB; 40.83 W;33
2025/12/16 07:36:51.246;1;0%;0%; 171 MiB; 35.20 W;29
2025/12/16 07:36:52.248;0;0%;0%; 1966 MiB; 57.51 W;33
2025/12/16 07:36:52.249;1;38%;1%; 1883 MiB; 56.69 W;29
2025/12/16 07:36:53.249;0;37%;24%; 2010 MiB; 99.52 W;36
2025/12/16 07:36:53.250;1;44%;34%; 1927 MiB; 122.25 W;35
2025/12/16 07:36:54.250;0;38%;25%; 2010 MiB; 121.94 W;37
2025/12/16 07:36:54.251;1;45%;34%; 1927 MiB; 183.09 W;36
2025/12/16 07:36:55.252;0;37%;24%; 2010 MiB; 121.33 W;37
2025/12/16 07:36:55.252;1;44%;34%; 1927 MiB; 182.76 W;37
2025/12/16 07:36:56.253;0;36%;24%; 2010 MiB; 121.30 W;37
2025/12/16 07:36:56.254;1;43%;34%; 1927 MiB; 182.21 W;37
2025/12/16 07:36:57.254;0;37%;24%; 2010 MiB; 121.66 W;38
2025/12/16 07:36:57.255;1;44%;33%; 1927 MiB; 182.79 W;38
2025/12/16 07:36:58.256;0;36%;24%; 2010 MiB; 121.66 W;38
2025/12/16 07:36:58.256;1;43%;34%; 1927 MiB; 182.80 W;38
2025/12/16 07:36:59.257;0;37%;24%; 2010 MiB; 122.19 W;39
2025/12/16 07:36:59.258;1;44%;33%; 1927 MiB; 183.33 W;39
2025/12/16 07:37:00.258;0;36%;24%; 2010 MiB; 122.16 W;39
2025/12/16 07:37:00.259;1;43%;34%; 1927 MiB; 184.02 W;40
2025/12/16 07:37:01.259;0;37%;24%; 2010 MiB; 122.24 W;39
2025/12/16 07:37:01.260;1;44%;33%; 1927 MiB; 184.08 W;40
2025/12/16 07:37:02.264;0;36%;24%; 2010 MiB; 122.27 W;40
2025/12/16 07:37:02.264;1;44%;34%; 1927 MiB; 184.55 W;41
2025/12/16 07:37:03.265;0;37%;24%; 2010 MiB; 122.78 W;40
2025/12/16 07:37:03.266;1;43%;33%; 1927 MiB; 185.41 W;41
2025/12/16 07:37:04.266;0;36%;24%; 2010 MiB; 123.89 W;40
2025/12/16 07:37:04.267;1;45%;35%; 1927 MiB; 187.11 W;42
