Time;GPU Utilization
15/12/2025 18:35;0%
15/12/2025 18:35;0%
15/12/2025 18:36;0%
15/12/2025 18:36;12,30%
15/12/2025 18:37;0%
15/12/2025 18:37;14,80%
15/12/2025 18:38;13,30%
15/12/2025 18:38;0%
15/12/2025 18:39;27,50%
15/12/2025 18:39;27,30%
15/12/2025 18:40;8,50%
15/12/2025 18:40;0%
15/12/2025 18:41;0%
15/12/2025 18:41;0%
15/12/2025 18:42;14,20%
15/12/2025 18:42;15,20%
15/12/2025 18:43;27,80%
15/12/2025 18:43;15%
15/12/2025 18:44;0%
15/12/2025 18:44;15%
15/12/2025 18:45;0%
15/12/2025 18:45;15%
15/12/2025 18:46;15%
15/12/2025 18:46;0%
15/12/2025 18:47;0%
15/12/2025 18:47;37,80%
15/12/2025 18:48;0%
15/12/2025 18:48;27,30%
15/12/2025 18:49;15%
15/12/2025 18:49;0%
15/12/2025 18:50;14,50%
15/12/2025 18:50;10,70%
15/12/2025 18:51;0%
15/12/2025 18:51;0%
15/12/2025 18:52;0%
15/12/2025 18:52;0%
15/12/2025 18:53;27,80%
15/12/2025 18:53;15%
15/12/2025 18:54;35,20%
15/12/2025 18:54;0%
15/12/2025 18:55;0%
15/12/2025 18:55;0%
15/12/2025 18:56;26,70%
15/12/2025 18:56;0%
15/12/2025 18:57;0%
15/12/2025 18:57;2%
15/12/2025 18:58;11,20%
15/12/2025 18:58;0%
15/12/2025 18:59;14,80%
15/12/2025 18:59;14%
15/12/2025 19:00;15,30%
15/12/2025 19:00;15%
15/12/2025 19:01;0%
15/12/2025 19:01;30,20%
15/12/2025 19:02;27,30%
15/12/2025 19:02;0%
;10%
