Time;GPU Memory Used
15/12/2025 18:35;0%
15/12/2025 18:35;0%
15/12/2025 18:36;15,90%
15/12/2025 18:36;16,00%
15/12/2025 18:37;16,00%
15/12/2025 18:37;16,00%
15/12/2025 18:38;16,00%
15/12/2025 18:38;16,00%
15/12/2025 18:39;16,00%
15/12/2025 18:39;16,00%
15/12/2025 18:40;16,00%
15/12/2025 18:40;16,00%
15/12/2025 18:41;16,00%
15/12/2025 18:41;16,00%
15/12/2025 18:42;16,00%
15/12/2025 18:42;16,00%
15/12/2025 18:43;16,00%
15/12/2025 18:43;16,00%
15/12/2025 18:44;16,00%
15/12/2025 18:44;16,00%
15/12/2025 18:45;16,00%
15/12/2025 18:45;16,00%
15/12/2025 18:46;16,00%
15/12/2025 18:46;16,00%
15/12/2025 18:47;16,00%
15/12/2025 18:47;16,00%
15/12/2025 18:48;16,00%
15/12/2025 18:48;16,00%
15/12/2025 18:49;16,00%
15/12/2025 18:49;16,00%
15/12/2025 18:50;16,00%
15/12/2025 18:50;16,00%
15/12/2025 18:51;16,00%
15/12/2025 18:51;16,00%
15/12/2025 18:52;16,00%
15/12/2025 18:52;16,00%
15/12/2025 18:53;16,00%
15/12/2025 18:53;16,00%
15/12/2025 18:54;16,00%
15/12/2025 18:54;16,00%
15/12/2025 18:55;16,00%
15/12/2025 18:55;16,00%
15/12/2025 18:56;16,00%
15/12/2025 18:56;16,00%
15/12/2025 18:57;16,00%
15/12/2025 18:57;16,00%
15/12/2025 18:58;16,00%
15/12/2025 18:58;16,00%
15/12/2025 18:59;16,00%
15/12/2025 18:59;16,00%
15/12/2025 19:00;16,00%
15/12/2025 19:00;16,00%
15/12/2025 19:01;16,00%
15/12/2025 19:01;16,00%
15/12/2025 19:02;16,00%
15/12/2025 19:02;16,00%
;15%
