worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
8;2;What do people aim to do at work?;B;A;0;0,287;llama3,1:8b;01/01/2026 5:47;B;75;2;14081268;285039993;;;;;;;;;;;A;;;;
7;2;What do people aim to do at work?;B;A;0;0,296;llama3,1:8b;01/01/2026 5:47;B;75;2;9701227;294395273;;;;;;;;;;;B;;;;
4;2;What do people aim to do at work?;B;A;0;0,305;llama3,1:8b;01/01/2026 5:47;B;75;2;6827134;302927051;;;;;;;;;;;C;;;;
3;2;What do people aim to do at work?;B;A;0;0,297;llama3,1:8b;01/01/2026 5:47;B;75;2;6419209;294472480;;;;;;;;;;;D;;;;
8;3;Where would you find magazines along side many other printed works?;B;B;1;0,302;llama3,1:8b;01/01/2026 5:47;B;71;2;11607363;300780218;;;;;;;;;;;E;;;;
7;3;Where would you find magazines along side many other printed works?;B;B;1;0,283;llama3,1:8b;01/01/2026 5:47;B;71;2;9415705;281963486;;;;;;;;;;;;;;;
4;3;Where would you find magazines along side many other printed works?;B;B;1;0,289;llama3,1:8b;01/01/2026 5:47;B;71;2;6864715;287969000;;;;;;;;;;;;;;;
3;3;Where would you find magazines along side many other printed works?;B;B;1;0,282;llama3,1:8b;01/01/2026 5:47;B;71;2;6414401;280339134;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
5;2;What do people aim to do at work?;B;A;0;0,324;llama3,1:8b;01/01/2026 5:47;B;75;2;10391345;323067164;;8;2;What do people aim to do at work?;B;A;0;0,287;llama3,1:8b;01/01/2026 5:47;B;75;2;14081268;285039993
1;2;What do people aim to do at work?;B;A;0;0,306;llama3,1:8b;01/01/2026 5:47;B;75;2;9183617;304505107;;7;2;What do people aim to do at work?;B;A;0;0,296;llama3,1:8b;01/01/2026 5:47;B;75;2;9701227;294395273
9;2;What do people aim to do at work?;B;A;0;0,351;llama3,1:8b;01/01/2026 5:47;B;75;2;9229068;350102014;;4;2;What do people aim to do at work?;B;A;0;0,305;llama3,1:8b;01/01/2026 5:47;B;75;2;6827134;302927051
