"Time","GPU Temperature"
2025-12-15 12:47:00,45.7 °C
2025-12-15 12:47:30,45.7 °C
2025-12-15 12:48:00,46.8 °C
2025-12-15 12:48:30,51.8 °C
2025-12-15 12:49:00,54.7 °C
2025-12-15 12:49:30,55.3 °C
2025-12-15 12:50:00,56.7 °C
2025-12-15 12:50:30,58 °C
2025-12-15 12:51:00,57.5 °C
2025-12-15 12:51:30,57.7 °C
2025-12-15 12:52:00,57.8 °C
2025-12-15 12:52:30,57.7 °C
2025-12-15 12:53:00,57.8 °C
2025-12-15 12:53:30,58.3 °C
2025-12-15 12:54:00,58.8 °C
2025-12-15 12:54:30,58.2 °C
2025-12-15 12:55:00,57.7 °C
2025-12-15 12:55:30,58 °C
2025-12-15 12:56:00,57.5 °C
2025-12-15 12:56:30,57.2 °C
2025-12-15 12:57:00,59.3 °C
