us;sy;ni;id;wa;hi;si;st;
24,8;0,4;0;74,7;0;0;0,1;0;0,253
7,5;0,8;0;91,7;0;0;0;0;0,083
1,1;0,9;0;98;0;0;0;0;0,02
1,5;0,9;0;97,6;0;0;0;0;0,024
2,6;0,4;0;97;0;0;0;0;0,03
2;0,3;0;97,6;0,1;0;0;0;0,024
2;0,2;0;97,8;0;0;0;0;0,022
2,5;0,3;0;97,2;0;0;0;0;0,028
2,6;0,9;0;96,5;0;0;0;0;0,035
2,3;0,5;0;97,2;0;0;0;0;0,028
2;0,4;0;97,6;0;0;0;0;0,024
2,9;0,3;0;96,8;0;0;0;0;0,032
2,5;0,5;0;97;0;0;0;0;0,03
2,5;0,7;0;96,8;0;0;0;0;0,032
2,5;0,4;0;97,1;0;0;0;0;0,029
2,1;0,2;0;97,7;0;0;0;0;0,023
2,5;0,3;0;97,1;0;0;0;0;0,029
2,8;0,7;0;96,5;0;0;0;0;0,035
1,9;0,4;0;97,7;0;0;0;0;0,023
1,8;0,3;0;97,9;0;0;0;0;0,021
2,4;0,5;0;97,1;0;0;0;0;0,029
2,3;0,3;0;97,3;0;0;0;0;0,027
2,5;0,7;0;96,8;0;0;0;0;0,032
2,3;0,4;0;97,3;0;0;0;0;0,027
2,4;0,3;0;97,4;0;0;0;0;0,026
2,4;0,3;0;97,3;0;0;0;0;0,027
2,5;0,4;0;97,1;0;0;0;0;0,029
2,7;0,9;0;96,4;0;0;0;0;0,036
2,7;0,4;0;96,9;0;0;0;0;0,031
2,6;0,3;0;97,1;0;0;0;0;0,029
2,6;0,5;0;96,9;0;0;0;0;0,031
2,4;0,4;0;97,2;0;0;0;0;0,028
2,5;0,7;0;96,7;0;0;0;0;0,033
2,4;0,4;0;97,1;0;0;0;0;0,029
2,5;0,3;0;97,2;0,1;0;0;0;0,028
2,2;0,3;0;97,4;0;0;0;0;0,026
2,2;0,3;0;97,5;0;0;0;0;0,025
2,9;0,7;0;96,3;0;0;0;0;0,037
2,5;0,5;0;97,1;0;0;0;0;0,029
2,3;0,5;0;97,2;0;0;0;0;0,028
2,5;0,4;0;97,1;0,1;0;0;0;0,029
2,5;0,4;0;97,2;0;0;0;0;0,028
2,7;0,9;0;96,3;0;0;0;0;0,037
2,7;0,5;0;96,8;0;0;0;0;0,032
2,3;0,3;0;97,4;0;0;0;0;0,026
1,9;0,2;0;97,8;0,1;0;0;0;0,022
2,2;0,3;0;97,4;0,1;0;0;0;0,026
2,3;0,8;0;96,9;0;0;0;0;0,031
2,7;0,5;0;96,9;0;0;0;0;0,031
2,7;0,2;0;97;0;0;0;0;0,03
2;0,4;0;97,6;0;0;0;0;0,024
2,2;0,4;0;97,3;0;0;0;0;0,027
2,5;0,5;0;97;0;0;0;0;0,03
2,6;0,5;0;96,9;0;0;0;0;0,031
2,6;0,3;0;97;0;0;0;0;0,03
