us;sy;ni;id;wa;hi;si;st;
24,9;0,3;0;74,8;0;0;0;0;0,252
11,7;1,2;0;87,1;0;0;0;0;0,129
1,4;1,2;0;97,4;0;0;0;0;0,026
5,5;1,1;0;93,4;0;0;0;0;0,066
9,3;0,9;0;89,7;0;0;0;0;0,103
11,2;0,9;0;87,8;0,1;0;0;0;0,122
2,5;0,3;0;97,2;0,1;0;0;0;0,028
3,1;0,5;0;96,4;0;0;0;0;0,036
3;0,3;0;96,7;0;0;0;0;0,033
2;0,1;0;97,9;0;0;0;0;0,021
2,7;0,3;0;97;0;0;0;0;0,03
3,8;0,2;0;95,9;0;0;0;0;0,041
3,6;0,7;0;95,7;0;0;0;0;0,043
11,5;1,1;0;87,4;0;0;0;0;0,126
13,3;1,2;0;85,6;0;0;0;0;0,144
3,8;0,7;0;95,5;0,1;0;0;0;0,045
3,7;0,3;0;96,1;0;0;0;0;0,039
7;1,1;0;92;0;0;0;0;0,08
3,2;0,4;0;96,4;0;0;0;0;0,036
3;0,2;0;96,7;0;0;0;0;0,033
5,5;0,6;0;93,8;0;0;0;0;0,062
4,6;0,4;0;95,1;0;0;0;0;0,049
3,2;0,8;0;95,8;0,1;0;0;0;0,042
2,8;0,5;0;96,7;0;0;0;0;0,033
2,6;0,4;0;97;0;0;0;0;0,03
12,1;0,9;0;86,9;0,1;0;0;0;0,131
13,1;1,2;0;85,7;0;0;0;0;0,143
12;1,3;0;86,7;0;0;0;0;0,133
13;1;0;86;0;0;0;0;0,14
12,3;1;0;86,7;0;0;0;0;0,133
13,9;0,9;0;85,2;0;0;0;0;0,148
13,3;1,5;0;85,2;0;0;0;0;0,148
13,7;1,1;0;85,1;0,1;0;0;0;0,149
11,2;1,3;0;87,4;0;0;0;0;0,126
5,5;0,5;0;94;0;0;0;0;0,06
4,8;0,4;0;94,8;0;0;0;0;0,052
9,3;1;0;89,7;0;0;0;0;0,103
5;0,7;0;94,2;0,1;0;0;0;0,058
2,9;0,3;0;96,9;0;0;0;0;0,031
2,9;0,4;0;96,7;0;0;0;0;0,033
3,4;0,3;0;96,2;0,1;0;0;0;0,038
9,2;1,4;0;89,4;0;0;0;0;0,106
4,6;0,7;0;94,8;0;0;0;0;0,052
7,1;0,7;0;92,2;0;0;0;0;0,078
8,5;0,6;0;90,9;0;0;0;0;0,091
11,1;0,9;0;88;0;0;0;0;0,12
4,5;0,7;0;94,8;0;0;0;0;0,052
3,3;0,3;0;96,3;0;0;0;0;0,037
3,6;0,3;0;96,1;0;0;0;0;0,039
9,9;0,7;0;89,4;0;0;0;0;0,106
12,4;1,1;0;86,5;0;0;0;0;0,135
13,8;1,6;0;84,6;0;0;0;0;0,154
13;1;0;86;0;0;0;0;0,14
10,7;1;0;88,2;0;0;0;0;0,118
9,4;1,1;0;89,4;0,1;0;0;0;0,106
8,3;0,8;0;90,9;0;0;0;0;0,091
9,2;1,3;0;89,5;0;0;0;0;0,105
5,9;0,7;0;93,4;0;0;0;0;0,066
3;0,3;0;96,7;0;0;0;0;0,033
3,8;0,5;0;95,7;0,1;0;0;0;0,043
5,1;0,5;0;94,4;0;0;0;0;0,056
12,5;1,4;0;86,1;0;0;0;0;0,139
12,8;1,2;0;85,9;0;0;0;0;0,141
5,1;0,4;0;94,5;0;0;0;0;0,055
2,8;0,2;0;96,8;0,1;0;0;0;0,032
3,1;0,3;0;96,5;0;0;0;0;0,035
7,2;1;0;91,8;0;0;0;0;0,082
12,2;1;0;86,8;0;0;0;0;0,132
12,4;1;0;86,6;0;0;0;0;0,134
12;0,9;0;87;0,1;0;0;0;0,13
4,7;0,4;0;94,8;0,1;0;0;0;0,052
4,5;1,1;0;94,4;0;0;0;0;0,056
2,9;0,4;0;96,7;0;0;0;0;0,033
2,9;0,3;0;96,8;0;0;0;0;0,032
2,7;0,3;0;96,9;0,1;0;0;0;0,031
3,4;0,8;0;95,9;0;0;0;0;0,041
6,9;0,9;0;92,2;0;0;0;0;0,078
3,6;0,4;0;96,1;0;0;0;0;0,039
5,7;0,4;0;93,9;0;0;0;0;0,061
11,6;1;0;87,4;0;0;0;0;0,126
6,3;1,3;0;92,4;0,1;0;0;0;0,076
4,1;0,7;0;95,1;0,1;0;0;0;0,049
4,7;0,5;0;94,8;0;0;0;0;0,052
6,9;0,7;0;92,4;0;0;0;0;0,076
11;1;0;87,9;0,1;0;0;0;0,121
11,6;1,3;0;87,1;0;0;0;0;0,129
5,1;0,5;0;94,4;0;0;0;0;0,056
