MiB Mem : 128530.7 total,   3829.6 free,  14445.0 used, 110256.2 buff/cache
MiB Mem : 128530.7 total,   3829.6 free,  14445.0 used, 110256.2 buff/cache
MiB Mem : 128530.7 total,   3829.6 free,  14445.0 used, 110256.2 buff/cache
MiB Mem : 128530.7 total,   3113.2 free,  15132.2 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3113.2 free,  15132.2 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3113.2 free,  15132.2 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3013.5 free,  15231.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3013.5 free,  15231.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3013.5 free,  15231.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3000.5 free,  15244.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3000.5 free,  15244.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   3000.5 free,  15244.8 used, 110285.4 buff/cache
MiB Mem : 128530.7 total,   2949.8 free,  15295.5 used, 110285.5 buff/cache
MiB Mem : 128530.7 total,   2949.8 free,  15295.5 used, 110285.5 buff/cache
MiB Mem : 128530.7 total,   2949.8 free,  15295.5 used, 110285.5 buff/cache
MiB Mem : 128530.7 total,   2876.4 free,  15368.3 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2876.4 free,  15368.3 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2876.4 free,  15368.3 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2877.8 free,  15366.9 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2877.8 free,  15366.9 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2877.8 free,  15366.9 used, 110286.0 buff/cache
MiB Mem : 128530.7 total,   2856.2 free,  15388.4 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2856.2 free,  15388.4 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2799.0 free,  15445.6 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2799.0 free,  15445.6 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2799.0 free,  15445.6 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2695.4 free,  15549.1 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2695.4 free,  15549.1 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2695.4 free,  15549.1 used, 110286.1 buff/cache
MiB Mem : 128530.7 total,   2675.8 free,  15568.3 used, 110286.7 buff/cache
MiB Mem : 128530.7 total,   2675.8 free,  15568.3 used, 110286.7 buff/cache
MiB Mem : 128530.7 total,   2675.8 free,  15568.3 used, 110286.7 buff/cache
MiB Mem : 128530.7 total,   2594.7 free,  15649.2 used, 110286.8 buff/cache
MiB Mem : 128530.7 total,   2594.7 free,  15649.2 used, 110286.8 buff/cache
MiB Mem : 128530.7 total,   2594.7 free,  15649.2 used, 110286.8 buff/cache
MiB Mem : 128530.7 total,   2601.6 free,  15642.0 used, 110287.1 buff/cache
MiB Mem : 128530.7 total,   2601.6 free,  15642.0 used, 110287.1 buff/cache
MiB Mem : 128530.7 total,   2601.6 free,  15642.0 used, 110287.1 buff/cache
MiB Mem : 128530.7 total,   2626.0 free,  15617.1 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2626.0 free,  15617.1 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2626.0 free,  15617.1 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2578.9 free,  15664.2 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2578.9 free,  15664.2 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2578.9 free,  15664.2 used, 110287.6 buff/cache
MiB Mem : 128530.7 total,   2492.8 free,  15749.7 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2492.8 free,  15749.7 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2492.8 free,  15749.7 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2547.5 free,  15695.0 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2547.5 free,  15695.0 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2547.5 free,  15695.0 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2526.3 free,  15716.2 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2526.3 free,  15716.2 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2526.3 free,  15716.2 used, 110288.2 buff/cache
MiB Mem : 128530.7 total,   2479.2 free,  15763.2 used, 110288.3 buff/cache
MiB Mem : 128530.7 total,   2479.2 free,  15763.2 used, 110288.3 buff/cache
MiB Mem : 128530.7 total,   2479.2 free,  15763.2 used, 110288.3 buff/cache
