Time;Memory Usage
29/12/2025 10:21;6,27%
29/12/2025 10:22;6,24%
29/12/2025 10:22;6,71%
29/12/2025 10:23;6,82%
29/12/2025 10:23;6,81%
29/12/2025 10:24;6,82%
29/12/2025 10:24;6,83%
29/12/2025 10:25;6,83%
29/12/2025 10:25;6,88%
29/12/2025 10:26;6,91%
29/12/2025 10:26;6,91%
29/12/2025 10:27;6,91%
29/12/2025 10:27;6,96%
29/12/2025 10:28;6,96%
29/12/2025 10:28;6,97%
29/12/2025 10:29;6,99%
29/12/2025 10:29;7,00%
29/12/2025 10:30;6,97%
29/12/2025 10:30;6,97%
29/12/2025 10:31;6,97%
29/12/2025 10:31;7,01%
29/12/2025 10:32;7,01%
29/12/2025 10:32;7,00%
29/12/2025 10:33;7,00%
29/12/2025 10:33;7,04%
29/12/2025 10:34;6,99%
29/12/2025 10:34;7,03%
29/12/2025 10:35;7,04%
29/12/2025 10:35;7,07%
29/12/2025 10:36;7,11%
29/12/2025 10:36;7,08%
29/12/2025 10:37;7,02%
29/12/2025 10:37;7,08%
29/12/2025 10:38;7,08%
29/12/2025 10:38;7,06%
29/12/2025 10:39;7,08%
29/12/2025 10:39;7,08%
29/12/2025 10:40;7,05%
29/12/2025 10:40;7,06%
29/12/2025 10:41;7,05%
29/12/2025 10:41;7,03%
29/12/2025 10:42;7,04%
29/12/2025 10:42;7,02%
29/12/2025 10:43;7,04%
29/12/2025 10:43;7,04%
29/12/2025 10:44;7,03%
29/12/2025 10:44;7,10%
29/12/2025 10:45;7,08%
29/12/2025 10:45;7,11%
29/12/2025 10:46;7,10%
29/12/2025 10:46;7,11%
29/12/2025 10:47;7,09%
29/12/2025 10:47;7,10%
29/12/2025 10:48;7,11%
29/12/2025 10:48;7,11%
29/12/2025 10:49;7,15%
29/12/2025 10:49;7,14%
29/12/2025 10:50;7,13%
29/12/2025 10:50;7,15%
29/12/2025 10:51;7,11%
29/12/2025 10:51;7,13%
29/12/2025 10:52;7,11%
29/12/2025 10:52;7,10%
29/12/2025 10:53;7,09%
29/12/2025 10:53;7,10%
29/12/2025 10:54;7,11%
29/12/2025 10:54;7,15%
29/12/2025 10:55;7,15%
29/12/2025 10:55;7,14%
29/12/2025 10:56;7,15%
29/12/2025 10:56;7,17%
29/12/2025 10:57;7,17%
29/12/2025 10:57;7,16%
29/12/2025 10:58;7,16%
29/12/2025 10:58;7,15%
29/12/2025 10:59;7,14%
29/12/2025 10:59;7,13%
29/12/2025 11:00;7,15%
29/12/2025 11:00;7,13%
29/12/2025 11:01;7,12%
29/12/2025 11:01;7,14%
29/12/2025 11:02;7,12%
