Time;GPU Utilization
29/12/2025 10:21;0%
29/12/2025 10:22;0%
29/12/2025 10:22;41,50%
29/12/2025 10:23;86,80%
29/12/2025 10:23;88,80%
29/12/2025 10:24;87,50%
29/12/2025 10:24;88,30%
29/12/2025 10:25;89,30%
29/12/2025 10:25;86,30%
29/12/2025 10:26;87,80%
29/12/2025 10:26;89,50%
29/12/2025 10:27;86,30%
29/12/2025 10:27;89%
29/12/2025 10:28;87,50%
29/12/2025 10:28;86,30%
29/12/2025 10:29;88%
29/12/2025 10:29;89%
29/12/2025 10:30;86,80%
29/12/2025 10:30;88%
29/12/2025 10:31;87%
29/12/2025 10:31;87,50%
29/12/2025 10:32;88,30%
29/12/2025 10:32;86,30%
29/12/2025 10:33;86,50%
29/12/2025 10:33;87,80%
29/12/2025 10:34;87,30%
29/12/2025 10:34;86,30%
29/12/2025 10:35;86,80%
29/12/2025 10:35;86,80%
29/12/2025 10:36;85,50%
29/12/2025 10:36;88%
29/12/2025 10:37;89,50%
29/12/2025 10:37;83,50%
29/12/2025 10:38;88%
29/12/2025 10:38;87,80%
29/12/2025 10:39;83%
29/12/2025 10:39;87%
29/12/2025 10:40;87,80%
29/12/2025 10:40;83,80%
29/12/2025 10:41;87%
29/12/2025 10:41;83,30%
29/12/2025 10:42;85,50%
29/12/2025 10:42;86,80%
29/12/2025 10:43;84,50%
29/12/2025 10:43;86,80%
29/12/2025 10:44;86,30%
29/12/2025 10:44;86,50%
29/12/2025 10:45;85,50%
29/12/2025 10:45;88,30%
29/12/2025 10:46;86,80%
29/12/2025 10:46;82,50%
29/12/2025 10:47;84,80%
29/12/2025 10:47;86,30%
29/12/2025 10:48;86,50%
29/12/2025 10:48;85,50%
29/12/2025 10:49;86,80%
29/12/2025 10:49;85,30%
29/12/2025 10:50;85,80%
29/12/2025 10:50;81%
29/12/2025 10:51;81,80%
29/12/2025 10:51;81,50%
29/12/2025 10:52;86,80%
29/12/2025 10:52;82,30%
29/12/2025 10:53;81%
29/12/2025 10:53;85,50%
29/12/2025 10:54;86%
29/12/2025 10:54;86%
29/12/2025 10:55;87%
29/12/2025 10:55;83,30%
29/12/2025 10:56;83,80%
29/12/2025 10:56;85,50%
29/12/2025 10:57;86,30%
29/12/2025 10:57;83%
29/12/2025 10:58;85,50%
29/12/2025 10:58;85%
29/12/2025 10:59;86,30%
29/12/2025 10:59;82,50%
29/12/2025 11:00;83,80%
29/12/2025 11:00;85,50%
29/12/2025 11:01;74%
29/12/2025 11:01;83%
29/12/2025 11:02;76,30%
29/12/2025 11:02;86,30%
29/12/2025 11:03;82,80%
29/12/2025 11:03;87%
29/12/2025 11:04;87%
29/12/2025 11:04;77,30%
29/12/2025 11:05;86%
29/12/2025 11:05;84,30%
29/12/2025 11:06;75%
29/12/2025 11:06;81,50%
29/12/2025 11:07;83,30%
29/12/2025 11:07;86%
29/12/2025 11:08;86,50%
29/12/2025 11:08;83,50%
29/12/2025 11:09;87,30%
29/12/2025 11:09;82%
29/12/2025 11:10;84%
29/12/2025 11:10;84,50%
29/12/2025 11:11;81%
29/12/2025 11:11;82%
29/12/2025 11:12;69%
29/12/2025 11:12;82,80%
29/12/2025 11:13;69,80%
29/12/2025 11:13;76,30%
29/12/2025 11:14;82,80%
29/12/2025 11:14;72%
29/12/2025 11:15;78,80%
29/12/2025 11:15;81,30%
29/12/2025 11:16;83,30%
29/12/2025 11:16;78,50%
29/12/2025 11:17;73%
29/12/2025 11:17;84,30%
29/12/2025 11:18;75,80%
29/12/2025 11:18;81,50%
29/12/2025 11:19;83,30%
29/12/2025 11:19;74,80%
29/12/2025 11:20;71%
29/12/2025 11:20;81,80%
29/12/2025 11:21;78,80%
29/12/2025 11:21;78,30%
29/12/2025 11:22;65,80%
29/12/2025 11:22;71,80%
29/12/2025 11:23;88%
29/12/2025 11:23;78,50%
29/12/2025 11:24;76,30%
29/12/2025 11:24;70%
29/12/2025 11:25;85,50%
