"Time","GPU cn2 0"
2025-12-29 10:21:30,0%
2025-12-29 10:22:00,0%
2025-12-29 10:22:30,84%
2025-12-29 10:23:00,83%
2025-12-29 10:23:30,84%
2025-12-29 10:24:00,81%
2025-12-29 10:24:30,83%
2025-12-29 10:25:00,87%
2025-12-29 10:25:30,86%
2025-12-29 10:26:00,78%
2025-12-29 10:26:30,86%
2025-12-29 10:27:00,77%
2025-12-29 10:27:30,85%
2025-12-29 10:28:00,82%
2025-12-29 10:28:30,78%
2025-12-29 10:29:00,80%
2025-12-29 10:29:30,83%
2025-12-29 10:30:00,82%
2025-12-29 10:30:30,80%
2025-12-29 10:31:00,80%
2025-12-29 10:31:30,80%
2025-12-29 10:32:00,83%
2025-12-29 10:32:30,74%
2025-12-29 10:33:00,81%
2025-12-29 10:33:30,84%
2025-12-29 10:34:00,80%
2025-12-29 10:34:30,80%
2025-12-29 10:35:00,79%
2025-12-29 10:35:30,77%
2025-12-29 10:36:00,79%
2025-12-29 10:36:30,79%
2025-12-29 10:37:00,83%
2025-12-29 10:37:30,75%
2025-12-29 10:38:00,80%
2025-12-29 10:38:30,80%
2025-12-29 10:39:00,78%
2025-12-29 10:39:30,79%
2025-12-29 10:40:00,80%
2025-12-29 10:40:30,78%
2025-12-29 10:41:00,78%
2025-12-29 10:41:30,76%
2025-12-29 10:42:00,77%
2025-12-29 10:42:30,79%
2025-12-29 10:43:00,79%
2025-12-29 10:43:30,77%
2025-12-29 10:44:00,80%
2025-12-29 10:44:30,78%
2025-12-29 10:45:00,77%
2025-12-29 10:45:30,82%
2025-12-29 10:46:00,81%
2025-12-29 10:46:30,77%
2025-12-29 10:47:00,75%
2025-12-29 10:47:30,79%
2025-12-29 10:48:00,80%
2025-12-29 10:48:30,76%
2025-12-29 10:49:00,77%
2025-12-29 10:49:30,78%
2025-12-29 10:50:00,76%
2025-12-29 10:50:30,69%
2025-12-29 10:51:00,75%
2025-12-29 10:51:30,70%
2025-12-29 10:52:00,81%
2025-12-29 10:52:30,69%
2025-12-29 10:53:00,71%
2025-12-29 10:53:30,77%
2025-12-29 10:54:00,76%
2025-12-29 10:54:30,77%
2025-12-29 10:55:00,81%
2025-12-29 10:55:30,74%
2025-12-29 10:56:00,76%
2025-12-29 10:56:30,77%
2025-12-29 10:57:00,78%
2025-12-29 10:57:30,74%
2025-12-29 10:58:00,78%
2025-12-29 10:58:30,75%
2025-12-29 10:59:00,78%
2025-12-29 10:59:30,68%
2025-12-29 11:00:00,70%
2025-12-29 11:00:30,77%
2025-12-29 11:01:00,59%
2025-12-29 11:01:30,76%
2025-12-29 11:02:00,58%
2025-12-29 11:02:30,78%
2025-12-29 11:03:00,71%
