"Time","GPU Temperature"
2025-12-29 10:21:30,42.5 °C
2025-12-29 10:22:00,42.5 °C
2025-12-29 10:22:30,54.8 °C
2025-12-29 10:23:00,65 °C
2025-12-29 10:23:30,76 °C
2025-12-29 10:24:00,81 °C
2025-12-29 10:24:30,82.8 °C
2025-12-29 10:25:00,83.3 °C
2025-12-29 10:25:30,84 °C
2025-12-29 10:26:00,84.5 °C
2025-12-29 10:26:30,84.5 °C
2025-12-29 10:27:00,84.5 °C
2025-12-29 10:27:30,84.8 °C
2025-12-29 10:28:00,85 °C
2025-12-29 10:28:30,84.8 °C
2025-12-29 10:29:00,84.8 °C
2025-12-29 10:29:30,84.8 °C
2025-12-29 10:30:00,84.8 °C
2025-12-29 10:30:30,84.8 °C
2025-12-29 10:31:00,84.8 °C
2025-12-29 10:31:30,85 °C
2025-12-29 10:32:00,84.8 °C
2025-12-29 10:32:30,85 °C
2025-12-29 10:33:00,85 °C
2025-12-29 10:33:30,85 °C
2025-12-29 10:34:00,85 °C
2025-12-29 10:34:30,85 °C
2025-12-29 10:35:00,85 °C
2025-12-29 10:35:30,85 °C
2025-12-29 10:36:00,85.3 °C
2025-12-29 10:36:30,85.3 °C
2025-12-29 10:37:00,85 °C
2025-12-29 10:37:30,85.3 °C
2025-12-29 10:38:00,85.3 °C
2025-12-29 10:38:30,85.3 °C
2025-12-29 10:39:00,85.3 °C
2025-12-29 10:39:30,85.3 °C
2025-12-29 10:40:00,85.3 °C
2025-12-29 10:40:30,85.5 °C
2025-12-29 10:41:00,85.5 °C
2025-12-29 10:41:30,85.5 °C
2025-12-29 10:42:00,85.3 °C
2025-12-29 10:42:30,85.3 °C
2025-12-29 10:43:00,85.3 °C
2025-12-29 10:43:30,85.3 °C
2025-12-29 10:44:00,85.3 °C
2025-12-29 10:44:30,85.3 °C
2025-12-29 10:45:00,85.5 °C
2025-12-29 10:45:30,85.5 °C
2025-12-29 10:46:00,85.3 °C
2025-12-29 10:46:30,85.3 °C
2025-12-29 10:47:00,85.5 °C
2025-12-29 10:47:30,85.3 °C
2025-12-29 10:48:00,85.5 °C
2025-12-29 10:48:30,85.5 °C
2025-12-29 10:49:00,85.5 °C
2025-12-29 10:49:30,85.5 °C
2025-12-29 10:50:00,85.5 °C
2025-12-29 10:50:30,85.5 °C
2025-12-29 10:51:00,85.5 °C
2025-12-29 10:51:30,85.3 °C
2025-12-29 10:52:00,85.5 °C
2025-12-29 10:52:30,85.5 °C
2025-12-29 10:53:00,85.8 °C
2025-12-29 10:53:30,85.8 °C
2025-12-29 10:54:00,85.8 °C
2025-12-29 10:54:30,85.5 °C
2025-12-29 10:55:00,85.5 °C
2025-12-29 10:55:30,85.8 °C
2025-12-29 10:56:00,85.5 °C
2025-12-29 10:56:30,85.5 °C
2025-12-29 10:57:00,85.5 °C
2025-12-29 10:57:30,85.8 °C
2025-12-29 10:58:00,85.5 °C
2025-12-29 10:58:30,85.8 °C
2025-12-29 10:59:00,85.8 °C
2025-12-29 10:59:30,85.8 °C
2025-12-29 11:00:00,85.8 °C
2025-12-29 11:00:30,85.8 °C
2025-12-29 11:01:00,85.5 °C
2025-12-29 11:01:30,85.5 °C
2025-12-29 11:02:00,85.5 °C
2025-12-29 11:02:30,85.5 °C
2025-12-29 11:03:00,85.8 °C
2025-12-29 11:03:30,85.5 °C
2025-12-29 11:04:00,85.5 °C
2025-12-29 11:04:30,85.5 °C
2025-12-29 11:05:00,85.8 °C
2025-12-29 11:05:30,85.5 °C
2025-12-29 11:06:00,85.8 °C
2025-12-29 11:06:30,85.8 °C
2025-12-29 11:07:00,85.8 °C
2025-12-29 11:07:30,85.8 °C
2025-12-29 11:08:00,85.8 °C
2025-12-29 11:08:30,85.8 °C
2025-12-29 11:09:00,85.5 °C
2025-12-29 11:09:30,85.5 °C
2025-12-29 11:10:00,85.3 °C
2025-12-29 11:10:30,85.8 °C
2025-12-29 11:11:00,85.5 °C
2025-12-29 11:11:30,85.8 °C
2025-12-29 11:12:00,85.3 °C
2025-12-29 11:12:30,85.5 °C
2025-12-29 11:13:00,85.3 °C
2025-12-29 11:13:30,86 °C
2025-12-29 11:14:00,85.8 °C
2025-12-29 11:14:30,85.5 °C
2025-12-29 11:15:00,85.8 °C
2025-12-29 11:15:30,85.5 °C
2025-12-29 11:16:00,85.5 °C
2025-12-29 11:16:30,85.8 °C
2025-12-29 11:17:00,85.3 °C
2025-12-29 11:17:30,85.8 °C
2025-12-29 11:18:00,85.5 °C
2025-12-29 11:18:30,85.8 °C
2025-12-29 11:19:00,85.8 °C
2025-12-29 11:19:30,85.5 °C
2025-12-29 11:20:00,85.3 °C
2025-12-29 11:20:30,85.8 °C
2025-12-29 11:21:00,85.5 °C
2025-12-29 11:21:30,85.5 °C
2025-12-29 11:22:00,85.8 °C
2025-12-29 11:22:30,85.5 °C
2025-12-29 11:23:00,85.5 °C
2025-12-29 11:23:30,85.8 °C
2025-12-29 11:24:00,85.5 °C
2025-12-29 11:24:30,85 °C
2025-12-29 11:25:00,85.5 °C
2025-12-29 11:25:30,85.3 °C
2025-12-29 11:26:00,85.3 °C
2025-12-29 11:26:30,85.5 °C
2025-12-29 11:27:00,85.5 °C
2025-12-29 11:27:30,85.5 °C
2025-12-29 11:28:00,85.3 °C
2025-12-29 11:28:30,85.5 °C
2025-12-29 11:29:00,85.8 °C
2025-12-29 11:29:30,85.8 °C
2025-12-29 11:30:00,85.3 °C
2025-12-29 11:30:30,85 °C
2025-12-29 11:31:00,85 °C
2025-12-29 11:31:30,85.5 °C
2025-12-29 11:32:00,85.5 °C
2025-12-29 11:32:30,85.5 °C
2025-12-29 11:33:00,85.5 °C
2025-12-29 11:33:30,85.5 °C
2025-12-29 11:34:00,85.8 °C
2025-12-29 11:34:30,85.5 °C
2025-12-29 11:35:00,85.8 °C
2025-12-29 11:35:30,85.8 °C
2025-12-29 11:36:00,85.8 °C
2025-12-29 11:36:30,85.8 °C
2025-12-29 11:37:00,85.8 °C
2025-12-29 11:37:30,85.5 °C
2025-12-29 11:38:00,85.5 °C
2025-12-29 11:38:30,85.5 °C
2025-12-29 11:39:00,85.5 °C
2025-12-29 11:39:30,85.3 °C
2025-12-29 11:40:00,85.5 °C
2025-12-29 11:40:30,84.8 °C
2025-12-29 11:41:00,85 °C
2025-12-29 11:41:30,85.5 °C
2025-12-29 11:42:00,85.8 °C
2025-12-29 11:42:30,85.8 °C
2025-12-29 11:43:00,85 °C
2025-12-29 11:43:30,85.5 °C
2025-12-29 11:44:00,85.3 °C
2025-12-29 11:44:30,85.3 °C
2025-12-29 11:45:00,85.8 °C
2025-12-29 11:45:30,85 °C
2025-12-29 11:46:00,85.5 °C
2025-12-29 11:46:30,85 °C
2025-12-29 11:47:00,85.5 °C
2025-12-29 11:47:30,85.5 °C
2025-12-29 11:48:00,85.8 °C
2025-12-29 11:48:30,85.5 °C
2025-12-29 11:49:00,85.8 °C
2025-12-29 11:49:30,85.3 °C
2025-12-29 11:50:00,85.5 °C
2025-12-29 11:50:30,85.3 °C
2025-12-29 11:51:00,85.5 °C
2025-12-29 11:51:30,85.5 °C
2025-12-29 11:52:00,84.5 °C
2025-12-29 11:52:30,83 °C
2025-12-29 11:53:00,85.3 °C
2025-12-29 11:53:30,84.5 °C
2025-12-29 11:54:00,84.8 °C
2025-12-29 11:54:30,84 °C
2025-12-29 11:55:00,85 °C
2025-12-29 11:55:30,84.3 °C
2025-12-29 11:56:00,84.5 °C
2025-12-29 11:56:30,84.8 °C
2025-12-29 11:57:00,84.8 °C
2025-12-29 11:57:30,85.3 °C
2025-12-29 11:58:00,84.8 °C
2025-12-29 11:58:30,84.5 °C
2025-12-29 11:59:00,84.8 °C
2025-12-29 11:59:30,84.3 °C
2025-12-29 12:00:00,83.5 °C
2025-12-29 12:00:30,85 °C
2025-12-29 12:01:00,84.8 °C
2025-12-29 12:01:30,84 °C
2025-12-29 12:02:00,84 °C
2025-12-29 12:02:30,84.8 °C
2025-12-29 12:03:00,84.5 °C
2025-12-29 12:03:30,84 °C
2025-12-29 12:04:00,84.8 °C
2025-12-29 12:04:30,84.8 °C
2025-12-29 12:05:00,84.3 °C
2025-12-29 12:05:30,85 °C
2025-12-29 12:06:00,84.8 °C
2025-12-29 12:06:30,85 °C
2025-12-29 12:07:00,84.3 °C
2025-12-29 12:07:30,84 °C
2025-12-29 12:08:00,85 °C
2025-12-29 12:08:30,84.5 °C
2025-12-29 12:09:00,84.5 °C
2025-12-29 12:09:30,85.3 °C
2025-12-29 12:10:00,84.8 °C
2025-12-29 12:10:30,85 °C
2025-12-29 12:11:00,83.3 °C
2025-12-29 12:11:30,84.8 °C
2025-12-29 12:12:00,84.3 °C
2025-12-29 12:12:30,83.5 °C
2025-12-29 12:13:00,83.8 °C
2025-12-29 12:13:30,77 °C
