"Time","GPU Temperature"
2025-12-15 17:53:00,45.3 °C
2025-12-15 17:53:30,45 °C
2025-12-15 17:54:00,45.8 °C
2025-12-15 17:54:30,51.8 °C
2025-12-15 17:55:00,52.5 °C
2025-12-15 17:55:30,58 °C
2025-12-15 17:56:00,56.2 °C
2025-12-15 17:56:30,58.5 °C
2025-12-15 17:57:00,58.3 °C
2025-12-15 17:57:30,60.3 °C
2025-12-15 17:58:00,60 °C
2025-12-15 17:58:30,59.5 °C
2025-12-15 17:59:00,59.8 °C
2025-12-15 17:59:30,58.8 °C
2025-12-15 18:00:00,61.3 °C
2025-12-15 18:00:30,62.3 °C
2025-12-15 18:01:00,58.7 °C
2025-12-15 18:01:30,58.8 °C
2025-12-15 18:02:00,61.7 °C
2025-12-15 18:02:30,59 °C
2025-12-15 18:03:00,60.2 °C
2025-12-15 18:03:30,58.8 °C
2025-12-15 18:04:00,59.7 °C
2025-12-15 18:04:30,64.2 °C
2025-12-15 18:05:00,59.8 °C
2025-12-15 18:05:30,60.7 °C
2025-12-15 18:06:00,59.3 °C
2025-12-15 18:06:30,60.3 °C
2025-12-15 18:07:00,59.3 °C
2025-12-15 18:07:30,60 °C
2025-12-15 18:08:00,61.3 °C
2025-12-15 18:08:30,60.5 °C
2025-12-15 18:09:00,60.3 °C
2025-12-15 18:09:30,60.5 °C
2025-12-15 18:10:00,64.3 °C
2025-12-15 18:10:30,61.3 °C
2025-12-15 18:11:00,61.7 °C
2025-12-15 18:11:30,59.7 °C
2025-12-15 18:12:00,58.5 °C
2025-12-15 18:12:30,61.2 °C
2025-12-15 18:13:00,61.7 °C
2025-12-15 18:13:30,59.2 °C
2025-12-15 18:14:00,59.5 °C
2025-12-15 18:14:30,61 °C
2025-12-15 18:15:00,60.8 °C
2025-12-15 18:15:30,62.2 °C
2025-12-15 18:16:00,60.2 °C
2025-12-15 18:16:30,62.2 °C
2025-12-15 18:17:00,59.7 °C
2025-12-15 18:17:30,62.7 °C
2025-12-15 18:18:00,62.5 °C
2025-12-15 18:18:30,60.5 °C
2025-12-15 18:19:00,59.5 °C
2025-12-15 18:19:30,59.2 °C
2025-12-15 18:20:00,59.8 °C
2025-12-15 18:20:30,59.3 °C
