timestamp; index; utilization.gpu [%]; utilization.memory [%]; memory.used [MiB]; power.draw [W]; temperature.gpu
2025/12/10 07:33:04.387;0;0%;0%; 3312 MiB; 15.16 W;31
2025/12/10 07:33:04.388;1;0%;0%; 3311 MiB; 13.22 W;27
2025/12/10 07:33:05.389;0;15%;7%; 3312 MiB; 36.28 W;34
2025/12/10 07:33:05.389;1;16%;8%; 3311 MiB; 34.82 W;29
2025/12/10 07:33:06.391;0;10%;5%; 3312 MiB; 82.92 W;34
2025/12/10 07:33:06.391;1;9%;5%; 3311 MiB; 83.47 W;30
2025/12/10 07:33:07.392;0;41%;36%; 3312 MiB; 112.82 W;37
2025/12/10 07:33:07.398;1;47%;44%; 3311 MiB; 123.37 W;35
2025/12/10 07:33:08.398;0;18%;9%; 3312 MiB; 112.42 W;36
2025/12/10 07:33:08.399;1;18%;11%; 3311 MiB; 134.04 W;33
2025/12/10 07:33:09.400;0;15%;7%; 3312 MiB; 94.64 W;37
2025/12/10 07:33:09.400;1;16%;9%; 3311 MiB; 107.37 W;34
2025/12/10 07:33:10.401;0;9%;4%; 3312 MiB; 85.41 W;36
2025/12/10 07:33:10.401;1;9%;5%; 3311 MiB; 84.68 W;32
2025/12/10 07:33:11.402;0;18%;9%; 3312 MiB; 87.05 W;36
2025/12/10 07:33:11.403;1;19%;11%; 3311 MiB; 85.36 W;32
2025/12/10 07:33:12.403;0;16%;8%; 3312 MiB; 86.39 W;37
2025/12/10 07:33:12.404;1;18%;10%; 3311 MiB; 84.06 W;33
2025/12/10 07:33:13.405;0;9%;5%; 3312 MiB; 84.05 W;37
2025/12/10 07:33:13.405;1;9%;5%; 3311 MiB; 81.53 W;32
2025/12/10 07:33:14.406;0;11%;6%; 3312 MiB; 84.84 W;37
2025/12/10 07:33:14.407;1;12%;7%; 3311 MiB; 82.42 W;32
2025/12/10 07:33:15.407;0;17%;9%; 3312 MiB; 87.91 W;37
2025/12/10 07:33:15.408;1;19%;11%; 3311 MiB; 85.12 W;33
2025/12/10 07:33:16.408;0;15%;7%; 3312 MiB; 85.97 W;38
2025/12/10 07:33:16.409;1;13%;7%; 3311 MiB; 82.46 W;33
2025/12/10 07:33:17.410;0;9%;5%; 3312 MiB; 84.97 W;38
2025/12/10 07:33:17.410;1;9%;5%; 3311 MiB; 82.59 W;33
2025/12/10 07:33:18.411;0;17%;9%; 3312 MiB; 87.86 W;38
2025/12/10 07:33:18.411;1;20%;11%; 3311 MiB; 85.46 W;33
2025/12/10 07:33:19.412;0;17%;9%; 3312 MiB; 88.21 W;38
2025/12/10 07:33:19.413;1;19%;11%; 3311 MiB; 85.70 W;34
2025/12/10 07:33:20.413;0;10%;5%; 3312 MiB; 85.28 W;39
2025/12/10 07:33:20.414;1;9%;5%; 3311 MiB; 82.85 W;34
2025/12/10 07:33:21.415;0;11%;6%; 3312 MiB; 85.82 W;38
2025/12/10 07:33:21.416;1;12%;7%; 3311 MiB; 83.52 W;34
2025/12/10 07:33:22.416;0;17%;9%; 3312 MiB; 88.07 W;38
2025/12/10 07:33:22.417;1;19%;11%; 3311 MiB; 85.59 W;34
2025/12/10 07:33:23.418;0;18%;9%; 3312 MiB; 88.03 W;39
2025/12/10 07:33:23.418;1;19%;11%; 3311 MiB; 85.81 W;34
2025/12/10 07:33:24.419;0;9%;5%; 3312 MiB; 85.66 W;39
2025/12/10 07:33:24.420;1;9%;5%; 3311 MiB; 83.02 W;35
2025/12/10 07:33:25.420;0;11%;6%; 3312 MiB; 86.00 W;40
2025/12/10 07:33:25.421;1;12%;8%; 3311 MiB; 83.52 W;34
2025/12/10 07:33:26.422;0;17%;9%; 3314 MiB; 88.88 W;39
2025/12/10 07:33:26.422;1;19%;11%; 3313 MiB; 85.94 W;35
2025/12/10 07:33:27.423;0;15%;7%; 3314 MiB; 87.74 W;40
2025/12/10 07:33:27.424;1;16%;8%; 3313 MiB; 83.87 W;35
2025/12/10 07:33:28.424;0;9%;5%; 3314 MiB; 85.73 W;40
2025/12/10 07:33:28.425;1;9%;5%; 3313 MiB; 82.22 W;35
2025/12/10 07:33:29.426;0;10%;6%; 3314 MiB; 86.41 W;40
2025/12/10 07:33:29.426;1;11%;8%; 3313 MiB; 83.75 W;35
2025/12/10 07:33:30.427;0;18%;9%; 3314 MiB; 88.37 W;40
2025/12/10 07:33:30.427;1;19%;11%; 3313 MiB; 85.13 W;35
2025/12/10 07:33:31.428;0;13%;6%; 3314 MiB; 87.29 W;40
2025/12/10 07:33:31.429;1;11%;6%; 3313 MiB; 82.70 W;36
2025/12/10 07:33:32.429;0;9%;5%; 3314 MiB; 85.78 W;41
2025/12/10 07:33:32.430;1;9%;5%; 3313 MiB; 82.52 W;36
2025/12/10 07:33:33.431;0;17%;9%; 3314 MiB; 88.40 W;41
2025/12/10 07:33:33.432;1;19%;11%; 3313 MiB; 85.67 W;35
2025/12/10 07:33:34.432;0;17%;9%; 3314 MiB; 88.60 W;40
2025/12/10 07:33:34.433;1;19%;11%; 3313 MiB; 85.09 W;35
2025/12/10 07:33:35.434;0;15%;7%; 3314 MiB; 88.21 W;41
2025/12/10 07:33:35.434;1;14%;7%; 3313 MiB; 83.62 W;36
2025/12/10 07:33:36.435;0;10%;5%; 3314 MiB; 86.62 W;41
2025/12/10 07:33:36.436;1;10%;6%; 3313 MiB; 83.03 W;36
2025/12/10 07:33:37.436;0;18%;9%; 3314 MiB; 87.60 W;41
2025/12/10 07:33:37.437;1;19%;11%; 3313 MiB; 85.58 W;36
2025/12/10 07:33:38.438;0;15%;7%; 3314 MiB; 89.04 W;41
2025/12/10 07:33:38.438;1;13%;7%; 3313 MiB; 84.27 W;36
2025/12/10 07:33:39.439;0;10%;5%; 3314 MiB; 87.09 W;42
2025/12/10 07:33:39.440;1;10%;6%; 3313 MiB; 83.29 W;37
2025/12/10 07:33:40.440;0;18%;9%; 3314 MiB; 89.37 W;41
2025/12/10 07:33:40.441;1;20%;11%; 3313 MiB; 86.69 W;36
2025/12/10 07:33:41.441;0;15%;7%; 3314 MiB; 88.72 W;42
2025/12/10 07:33:41.442;1;14%;7%; 3313 MiB; 83.49 W;36
2025/12/10 07:33:42.443;0;10%;5%; 3314 MiB; 87.15 W;42
2025/12/10 07:33:42.443;1;9%;5%; 3313 MiB; 82.63 W;37
2025/12/10 07:33:43.444;0;16%;9%; 3314 MiB; 90.97 W;42
2025/12/10 07:33:43.444;1;19%;11%; 3313 MiB; 85.89 W;36
2025/12/10 07:33:44.445;0;17%;9%; 3314 MiB; 90.81 W;42
2025/12/10 07:33:44.446;1;19%;11%; 3313 MiB; 85.42 W;36
2025/12/10 07:33:45.446;0;9%;4%; 3314 MiB; 89.11 W;43
2025/12/10 07:33:45.447;1;9%;5%; 3313 MiB; 83.39 W;37
2025/12/10 07:33:46.448;0;13%;7%; 3314 MiB; 90.09 W;42
2025/12/10 07:33:46.449;1;18%;10%; 3313 MiB; 85.42 W;37
2025/12/10 07:33:47.449;0;15%;7%; 3314 MiB; 91.79 W;42
2025/12/10 07:33:47.450;1;17%;9%; 3313 MiB; 85.84 W;37
2025/12/10 07:33:48.450;0;12%;6%; 3314 MiB; 88.72 W;43
2025/12/10 07:33:48.451;1;10%;6%; 3313 MiB; 82.67 W;37
2025/12/10 07:33:49.452;0;11%;6%; 3314 MiB; 89.82 W;43
2025/12/10 07:33:49.452;1;12%;8%; 3313 MiB; 83.51 W;38
2025/12/10 07:33:50.453;0;17%;9%; 3314 MiB; 91.76 W;43
2025/12/10 07:33:50.454;1;19%;11%; 3313 MiB; 85.86 W;37
2025/12/10 07:33:51.454;0;17%;9%; 3314 MiB; 91.82 W;43
