MiB Mem : 128530.7 total,   4170.2 free,  14085.7 used, 110274.8 buff/cache
MiB Mem : 128530.7 total,   4170.2 free,  14085.7 used, 110274.8 buff/cache
MiB Mem : 128530.7 total,   4170.2 free,  14085.7 used, 110274.8 buff/cache
MiB Mem : 128530.7 total,   3486.5 free,  14690.1 used, 110354.1 buff/cache
MiB Mem : 128530.7 total,   3486.5 free,  14690.1 used, 110354.1 buff/cache
MiB Mem : 128530.7 total,   3486.5 free,  14690.1 used, 110354.1 buff/cache
MiB Mem : 128530.7 total,   3352.0 free,  14822.5 used, 110356.2 buff/cache
MiB Mem : 128530.7 total,   3352.0 free,  14822.5 used, 110356.2 buff/cache
MiB Mem : 128530.7 total,   3316.5 free,  14858.0 used, 110356.2 buff/cache
MiB Mem : 128530.7 total,   3316.5 free,  14858.0 used, 110356.2 buff/cache
MiB Mem : 128530.7 total,   3316.5 free,  14858.0 used, 110356.2 buff/cache
MiB Mem : 128530.7 total,   3236.8 free,  14937.7 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3236.8 free,  14937.7 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3236.8 free,  14937.7 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3146.1 free,  15028.3 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3146.1 free,  15028.3 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3146.1 free,  15028.3 used, 110356.3 buff/cache
MiB Mem : 128530.7 total,   3144.6 free,  15029.7 used, 110356.4 buff/cache
MiB Mem : 128530.7 total,   3144.6 free,  15029.7 used, 110356.4 buff/cache
MiB Mem : 128530.7 total,   3144.6 free,  15029.7 used, 110356.4 buff/cache
MiB Mem : 128530.7 total,   3036.0 free,  15138.1 used, 110356.7 buff/cache
MiB Mem : 128530.7 total,   3036.0 free,  15138.1 used, 110356.7 buff/cache
MiB Mem : 128530.7 total,   3036.0 free,  15138.1 used, 110356.7 buff/cache
MiB Mem : 128530.7 total,   3021.5 free,  15152.0 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3021.5 free,  15152.0 used, 110357.2 buff/cache
MiB Mem : 128530.7 total,   3021.5 free,  15152.0 used, 110357.2 buff/cache
