Time;CPU Usage
15/12/2025 21:41;1,74%
15/12/2025 21:41;2,03%
15/12/2025 21:42;4,49%
15/12/2025 21:42;5,04%
15/12/2025 21:43;5,10%
15/12/2025 21:43;5,20%
15/12/2025 21:44;5,07%
15/12/2025 21:44;5,76%
15/12/2025 21:45;5,12%
15/12/2025 21:45;5,19%
15/12/2025 21:46;5,38%
15/12/2025 21:46;5,34%
15/12/2025 21:47;5,29%
15/12/2025 21:47;5,38%
15/12/2025 21:48;5,29%
15/12/2025 21:48;5,47%
15/12/2025 21:49;5,27%
15/12/2025 21:49;5,41%
15/12/2025 21:50;5,31%
15/12/2025 21:50;5,44%
15/12/2025 21:51;5,24%
15/12/2025 21:51;5,53%
15/12/2025 21:52;5,17%
15/12/2025 21:52;5,54%
15/12/2025 21:53;5,22%
15/12/2025 21:53;5,41%
15/12/2025 21:54;5,28%
15/12/2025 21:54;5,51%
15/12/2025 21:55;5,30%
15/12/2025 21:55;5,36%
15/12/2025 21:56;5,19%
15/12/2025 21:56;5,57%
15/12/2025 21:57;5,28%
15/12/2025 21:57;5,50%
15/12/2025 21:58;5,32%
15/12/2025 21:58;5,43%
15/12/2025 21:59;5,26%
15/12/2025 21:59;5,38%
15/12/2025 22:00;5,37%
15/12/2025 22:00;5,46%
15/12/2025 22:01;5,29%
15/12/2025 22:01;5,49%
15/12/2025 22:02;5,32%
15/12/2025 22:02;5,38%
15/12/2025 22:03;5,36%
15/12/2025 22:03;5,20%
15/12/2025 22:04;5,42%
15/12/2025 22:04;5,45%
15/12/2025 22:05;5,16%
15/12/2025 22:05;5,42%
15/12/2025 22:06;5,21%
15/12/2025 22:06;5,46%
15/12/2025 22:07;5,18%
15/12/2025 22:07;5,44%
15/12/2025 22:08;5,39%
15/12/2025 22:08;5,50%
15/12/2025 22:09;5,13%
15/12/2025 22:09;5,52%
15/12/2025 22:10;5,14%
15/12/2025 22:10;5,47%
15/12/2025 22:11;5,27%
15/12/2025 22:11;5,42%
15/12/2025 22:12;5,28%
15/12/2025 22:12;5,49%
15/12/2025 22:13;5,24%
15/12/2025 22:13;5,40%
15/12/2025 22:14;5,22%
15/12/2025 22:14;5,54%
15/12/2025 22:15;5,16%
15/12/2025 22:15;5,43%
15/12/2025 22:16;5,08%
15/12/2025 22:16;5,42%
15/12/2025 22:17;5,16%
15/12/2025 22:17;5,31%
15/12/2025 22:18;5,05%
15/12/2025 22:18;5,61%
15/12/2025 22:19;5,13%
15/12/2025 22:19;5,31%
15/12/2025 22:20;5,27%
15/12/2025 22:20;5,27%
15/12/2025 22:21;5,27%
15/12/2025 22:21;5,34%
15/12/2025 22:22;5,05%
15/12/2025 22:22;5,35%
15/12/2025 22:23;5,23%
15/12/2025 22:23;5,36%
15/12/2025 22:24;5,35%
15/12/2025 22:24;5,43%
15/12/2025 22:25;5,18%
15/12/2025 22:25;5,41%
15/12/2025 22:26;5,25%
15/12/2025 22:26;5,42%
15/12/2025 22:27;5,11%
15/12/2025 22:27;5,39%
15/12/2025 22:28;5,20%
15/12/2025 22:28;5,37%
15/12/2025 22:29;5,32%
15/12/2025 22:29;5,45%
15/12/2025 22:30;5,18%
15/12/2025 22:30;5,56%
15/12/2025 22:31;5,08%
15/12/2025 22:31;5,05%
15/12/2025 22:32;5,03%
15/12/2025 22:32;5,00%
15/12/2025 22:33;4,95%
15/12/2025 22:33;5,06%
15/12/2025 22:34;4,77%
15/12/2025 22:34;5,09%
15/12/2025 22:35;5,04%
15/12/2025 22:35;5,16%
15/12/2025 22:36;4,86%
15/12/2025 22:36;5,21%
15/12/2025 22:37;4,85%
15/12/2025 22:37;4,96%
15/12/2025 22:38;4,97%
15/12/2025 22:38;5,19%
15/12/2025 22:39;5,05%
15/12/2025 22:39;5,20%
15/12/2025 22:40;4,92%
15/12/2025 22:40;4,97%
15/12/2025 22:41;4,66%
15/12/2025 22:41;5,14%
15/12/2025 22:42;4,84%
15/12/2025 22:42;5,19%
15/12/2025 22:43;4,90%
15/12/2025 22:43;5,11%
15/12/2025 22:44;4,82%
15/12/2025 22:44;5,03%
15/12/2025 22:45;4,94%
15/12/2025 22:45;5,00%
15/12/2025 22:46;4,82%
15/12/2025 22:46;5,17%
15/12/2025 22:47;4,79%
15/12/2025 22:47;4,87%
15/12/2025 22:48;4,91%
15/12/2025 22:48;5,10%
15/12/2025 22:49;4,82%
15/12/2025 22:49;5,15%
15/12/2025 22:50;4,77%
15/12/2025 22:50;5,07%
15/12/2025 22:51;4,74%
15/12/2025 22:51;5,06%
15/12/2025 22:52;4,97%
15/12/2025 22:52;4,95%
15/12/2025 22:53;4,98%
15/12/2025 22:53;5,08%
15/12/2025 22:54;4,84%
15/12/2025 22:54;5,18%
15/12/2025 22:55;4,85%
15/12/2025 22:55;4,96%
15/12/2025 22:56;4,81%
15/12/2025 22:56;5,03%
15/12/2025 22:57;4,89%
15/12/2025 22:57;5,06%
15/12/2025 22:58;4,91%
15/12/2025 22:58;5,04%
15/12/2025 22:59;4,87%
15/12/2025 22:59;5,11%
15/12/2025 23:00;4,77%
15/12/2025 23:00;4,83%
15/12/2025 23:01;4,38%
15/12/2025 23:01;4,44%
15/12/2025 23:02;3,92%
15/12/2025 23:02;3,90%
15/12/2025 23:03;3,79%
15/12/2025 23:03;4,16%
15/12/2025 23:04;3,35%
15/12/2025 23:04;4,11%
15/12/2025 23:05;3,80%
15/12/2025 23:05;3,91%
15/12/2025 23:06;3,85%
15/12/2025 23:06;4,07%
15/12/2025 23:07;3,49%
