Time;GPU Utilization
27/12/2025 11:02;0%
27/12/2025 11:03;0%
27/12/2025 11:03;41,30%
27/12/2025 11:04;88%
27/12/2025 11:04;84%
27/12/2025 11:05;86%
27/12/2025 11:05;87,80%
27/12/2025 11:06;67,30%
27/12/2025 11:06;65,80%
27/12/2025 11:07;89%
27/12/2025 11:07;88,50%
27/12/2025 11:08;87,30%
27/12/2025 11:08;89,50%
27/12/2025 11:09;88,30%
27/12/2025 11:09;86,30%
27/12/2025 11:10;88%
27/12/2025 11:10;87%
27/12/2025 11:11;86,50%
27/12/2025 11:11;87,50%
27/12/2025 11:12;88,30%
27/12/2025 11:12;88,80%
27/12/2025 11:13;87%
27/12/2025 11:13;85,80%
27/12/2025 11:14;86,80%
27/12/2025 11:14;86%
27/12/2025 11:15;86%
27/12/2025 11:15;87,30%
27/12/2025 11:16;86%
27/12/2025 11:16;85,80%
27/12/2025 11:17;85,50%
27/12/2025 11:17;86,30%
27/12/2025 11:18;86,50%
27/12/2025 11:18;86,80%
27/12/2025 11:19;66,50%
27/12/2025 11:19;83,50%
27/12/2025 11:20;86,30%
27/12/2025 11:20;84,80%
27/12/2025 11:21;87%
27/12/2025 11:21;85,80%
27/12/2025 11:22;84,80%
27/12/2025 11:22;80,30%
27/12/2025 11:23;85,50%
27/12/2025 11:23;85,80%
27/12/2025 11:24;84,30%
27/12/2025 11:24;85,30%
27/12/2025 11:25;81,30%
27/12/2025 11:25;84%
27/12/2025 11:26;84%
27/12/2025 11:26;83,30%
27/12/2025 11:27;83%
27/12/2025 11:27;84%
27/12/2025 11:28;83%
27/12/2025 11:28;83%
27/12/2025 11:29;84,50%
27/12/2025 11:29;82,50%
27/12/2025 11:30;82,50%
27/12/2025 11:30;85,80%
27/12/2025 11:31;78,30%
27/12/2025 11:31;82,80%
27/12/2025 11:32;81,30%
27/12/2025 11:32;86,30%
27/12/2025 11:33;81,30%
27/12/2025 11:33;85,80%
27/12/2025 11:34;72%
27/12/2025 11:34;83,50%
27/12/2025 11:35;68%
27/12/2025 11:35;79,80%
27/12/2025 11:36;68,30%
27/12/2025 11:36;82,80%
27/12/2025 11:37;83,30%
27/12/2025 11:37;77,30%
27/12/2025 11:38;84%
27/12/2025 11:38;72,80%
27/12/2025 11:39;81,80%
27/12/2025 11:39;78,50%
27/12/2025 11:40;83%
27/12/2025 11:40;82,80%
27/12/2025 11:41;81,50%
27/12/2025 11:41;67,50%
27/12/2025 11:42;80,80%
27/12/2025 11:42;80,30%
27/12/2025 11:43;75,50%
27/12/2025 11:43;78,50%
27/12/2025 11:44;77,80%
27/12/2025 11:44;81%
27/12/2025 11:45;83,80%
27/12/2025 11:45;72,80%
27/12/2025 11:46;78,50%
27/12/2025 11:46;80%
27/12/2025 11:47;77,80%
27/12/2025 11:47;79%
27/12/2025 11:48;80%
27/12/2025 11:48;69%
27/12/2025 11:49;81,30%
27/12/2025 11:49;81,80%
27/12/2025 11:50;78,30%
27/12/2025 11:50;82,30%
27/12/2025 11:51;82,50%
27/12/2025 11:51;81,80%
27/12/2025 11:52;76,50%
27/12/2025 11:52;74,30%
27/12/2025 11:53;69,30%
27/12/2025 11:53;73,50%
27/12/2025 11:54;67,30%
27/12/2025 11:54;71,30%
27/12/2025 11:55;69,30%
27/12/2025 11:55;79,30%
27/12/2025 11:56;80,50%
27/12/2025 11:56;75,30%
27/12/2025 11:57;80,50%
27/12/2025 11:57;71,80%
27/12/2025 11:58;83%
27/12/2025 11:58;72,80%
27/12/2025 11:59;77%
27/12/2025 11:59;70,80%
27/12/2025 12:00;80,30%
27/12/2025 12:00;76%
27/12/2025 12:01;70,50%
27/12/2025 12:01;82%
27/12/2025 12:02;83,50%
27/12/2025 12:02;68,50%
27/12/2025 12:03;70,80%
27/12/2025 12:03;74,80%
27/12/2025 12:04;69,30%
27/12/2025 12:04;69%
27/12/2025 12:05;75,50%
27/12/2025 12:05;78,50%
27/12/2025 12:06;75,80%
27/12/2025 12:06;75%
27/12/2025 12:07;81,50%
27/12/2025 12:07;80,80%
27/12/2025 12:08;67,80%
27/12/2025 12:08;68,80%
27/12/2025 12:09;84%
27/12/2025 12:09;73%
27/12/2025 12:10;72,80%
27/12/2025 12:10;68%
27/12/2025 12:11;67%
27/12/2025 12:11;70,80%
27/12/2025 12:12;75,80%
27/12/2025 12:12;76,80%
27/12/2025 12:13;68,80%
27/12/2025 12:13;69%
27/12/2025 12:14;68,50%
27/12/2025 12:14;83,80%
27/12/2025 12:15;70%
27/12/2025 12:15;67,30%
27/12/2025 12:16;68,80%
27/12/2025 12:16;70,30%
27/12/2025 12:17;77,50%
