"Time","GPU cn2 0"
2025-12-27 11:02:30,0%
2025-12-27 11:03:00,0%
2025-12-27 11:03:30,81%
2025-12-27 11:04:00,85%
2025-12-27 11:04:30,78%
2025-12-27 11:05:00,84%
2025-12-27 11:05:30,83%
2025-12-27 11:06:00,83%
2025-12-27 11:06:30,83%
2025-12-27 11:07:00,83%
2025-12-27 11:07:30,82%
2025-12-27 11:08:00,84%
2025-12-27 11:08:30,84%
2025-12-27 11:09:00,84%
2025-12-27 11:09:30,84%
2025-12-27 11:10:00,82%
2025-12-27 11:10:30,80%
2025-12-27 11:11:00,78%
2025-12-27 11:11:30,81%
2025-12-27 11:12:00,80%
2025-12-27 11:12:30,82%
2025-12-27 11:13:00,80%
2025-12-27 11:13:30,75%
2025-12-27 11:14:00,83%
2025-12-27 11:14:30,80%
2025-12-27 11:15:00,81%
2025-12-27 11:15:30,84%
2025-12-27 11:16:00,79%
2025-12-27 11:16:30,77%
2025-12-27 11:17:00,77%
2025-12-27 11:17:30,83%
2025-12-27 11:18:00,78%
2025-12-27 11:18:30,79%
2025-12-27 11:19:00,78%
2025-12-27 11:19:30,80%
2025-12-27 11:20:00,79%
2025-12-27 11:20:30,78%
2025-12-27 11:21:00,79%
2025-12-27 11:21:30,77%
2025-12-27 11:22:00,75%
2025-12-27 11:22:30,71%
2025-12-27 11:23:00,77%
2025-12-27 11:23:30,77%
2025-12-27 11:24:00,79%
2025-12-27 11:24:30,77%
2025-12-27 11:25:00,70%
2025-12-27 11:25:30,77%
2025-12-27 11:26:00,76%
2025-12-27 11:26:30,73%
2025-12-27 11:27:00,74%
2025-12-27 11:27:30,79%
2025-12-27 11:28:00,76%
2025-12-27 11:28:30,77%
2025-12-27 11:29:00,75%
2025-12-27 11:29:30,73%
2025-12-27 11:30:00,69%
2025-12-27 11:30:30,79%
2025-12-27 11:31:00,61%
2025-12-27 11:31:30,72%
2025-12-27 11:32:00,69%
2025-12-27 11:32:30,76%
2025-12-27 11:33:00,73%
2025-12-27 11:33:30,79%
2025-12-27 11:34:00,51%
2025-12-27 11:34:30,71%
2025-12-27 11:35:00,44%
2025-12-27 11:35:30,63%
2025-12-27 11:36:00,44%
2025-12-27 11:36:30,72%
2025-12-27 11:37:00,71%
2025-12-27 11:37:30,61%
2025-12-27 11:38:00,75%
2025-12-27 11:38:30,53%
2025-12-27 11:39:00,67%
2025-12-27 11:39:30,68%
2025-12-27 11:40:00,74%
2025-12-27 11:40:30,69%
2025-12-27 11:41:00,66%
2025-12-27 11:41:30,40%
2025-12-27 11:42:00,69%
2025-12-27 11:42:30,65%
2025-12-27 11:43:00,59%
2025-12-27 11:43:30,68%
2025-12-27 11:44:00,63%
2025-12-27 11:44:30,67%
2025-12-27 11:45:00,79%
2025-12-27 11:45:30,52%
2025-12-27 11:46:00,67%
2025-12-27 11:46:30,68%
2025-12-27 11:47:00,62%
2025-12-27 11:47:30,58%
2025-12-27 11:48:00,66%
2025-12-27 11:48:30,48%
2025-12-27 11:49:00,70%
2025-12-27 11:49:30,71%
2025-12-27 11:50:00,58%
2025-12-27 11:50:30,76%
2025-12-27 11:51:00,72%
2025-12-27 11:51:30,72%
2025-12-27 11:52:00,61%
2025-12-27 11:52:30,54%
2025-12-27 11:53:00,47%
2025-12-27 11:53:30,54%
2025-12-27 11:54:00,42%
2025-12-27 11:54:30,51%
2025-12-27 11:55:00,49%
2025-12-27 11:55:30,67%
2025-12-27 11:56:00,69%
2025-12-27 11:56:30,60%
2025-12-27 11:57:00,66%
2025-12-27 11:57:30,51%
2025-12-27 11:58:00,72%
2025-12-27 11:58:30,53%
2025-12-27 11:59:00,59%
2025-12-27 11:59:30,51%
2025-12-27 12:00:00,70%
2025-12-27 12:00:30,61%
2025-12-27 12:01:00,44%
2025-12-27 12:01:30,71%
2025-12-27 12:02:00,74%
2025-12-27 12:02:30,40%
2025-12-27 12:03:00,54%
2025-12-27 12:03:30,52%
2025-12-27 12:04:00,47%
2025-12-27 12:04:30,46%
2025-12-27 12:05:00,60%
2025-12-27 12:05:30,68%
2025-12-27 12:06:00,58%
2025-12-27 12:06:30,60%
2025-12-27 12:07:00,70%
2025-12-27 12:07:30,72%
2025-12-27 12:08:00,41%
2025-12-27 12:08:30,41%
2025-12-27 12:09:00,76%
2025-12-27 12:09:30,53%
2025-12-27 12:10:00,54%
2025-12-27 12:10:30,44%
2025-12-27 12:11:00,40%
2025-12-27 12:11:30,51%
2025-12-27 12:12:00,59%
2025-12-27 12:12:30,62%
2025-12-27 12:13:00,46%
2025-12-27 12:13:30,44%
2025-12-27 12:14:00,42%
2025-12-27 12:14:30,73%
2025-12-27 12:15:00,50%
2025-12-27 12:15:30,41%
2025-12-27 12:16:00,45%
2025-12-27 12:16:30,49%
2025-12-27 12:17:00,58%
2025-12-27 12:17:30,68%
2025-12-27 12:18:00,40%
2025-12-27 12:18:30,45%
2025-12-27 12:19:00,56%
2025-12-27 12:19:30,57%
2025-12-27 12:20:00,50%
2025-12-27 12:20:30,42%
2025-12-27 12:21:00,71%
2025-12-27 12:21:30,40%
2025-12-27 12:22:00,43%
2025-12-27 12:22:30,52%
2025-12-27 12:23:00,43%
2025-12-27 12:23:30,60%
2025-12-27 12:24:00,39%
2025-12-27 12:24:30,55%
2025-12-27 12:25:00,54%
2025-12-27 12:25:30,44%
2025-12-27 12:26:00,42%
2025-12-27 12:26:30,44%
2025-12-27 12:27:00,40%
2025-12-27 12:27:30,40%
2025-12-27 12:28:00,40%
2025-12-27 12:28:30,55%
2025-12-27 12:29:00,35%
2025-12-27 12:29:30,62%
2025-12-27 12:30:00,45%
2025-12-27 12:30:30,51%
2025-12-27 12:31:00,61%
2025-12-27 12:31:30,48%
2025-12-27 12:32:00,41%
2025-12-27 12:32:30,46%
2025-12-27 12:33:00,41%
2025-12-27 12:33:30,40%
2025-12-27 12:34:00,48%
2025-12-27 12:34:30,58%
2025-12-27 12:35:00,44%
2025-12-27 12:35:30,60%
2025-12-27 12:36:00,44%
2025-12-27 12:36:30,38%
2025-12-27 12:37:00,43%
2025-12-27 12:37:30,43%
2025-12-27 12:38:00,56%
2025-12-27 12:38:30,44%
2025-12-27 12:39:00,60%
2025-12-27 12:39:30,42%
2025-12-27 12:40:00,45%
2025-12-27 12:40:30,47%
2025-12-27 12:41:00,48%
2025-12-27 12:41:30,40%
2025-12-27 12:42:00,40%
2025-12-27 12:42:30,40%
2025-12-27 12:43:00,64%
2025-12-27 12:43:30,61%
2025-12-27 12:44:00,52%
2025-12-27 12:44:30,40%
2025-12-27 12:45:00,58%
2025-12-27 12:45:30,44%
2025-12-27 12:46:00,44%
2025-12-27 12:46:30,52%
2025-12-27 12:47:00,65%
2025-12-27 12:47:30,44%
2025-12-27 12:48:00,56%
2025-12-27 12:48:30,46%
2025-12-27 12:49:00,41%
2025-12-27 12:49:30,41%
2025-12-27 12:50:00,41%
2025-12-27 12:50:30,44%
2025-12-27 12:51:00,46%
2025-12-27 12:51:30,44%
2025-12-27 12:52:00,41%
2025-12-27 12:52:30,40%
2025-12-27 12:53:00,41%
2025-12-27 12:53:30,40%
2025-12-27 12:54:00,41%
2025-12-27 12:54:30,41%
2025-12-27 12:55:00,38%
2025-12-27 12:55:30,44%
2025-12-27 12:56:00,52%
2025-12-27 12:56:30,41%
2025-12-27 12:57:00,45%
2025-12-27 12:57:30,39%
2025-12-27 12:58:00,40%
2025-12-27 12:58:30,47%
2025-12-27 12:59:00,40%
2025-12-27 12:59:30,41%
2025-12-27 13:00:00,40%
2025-12-27 13:00:30,46%
2025-12-27 13:01:00,40%
2025-12-27 13:01:30,44%
2025-12-27 13:02:00,59%
2025-12-27 13:02:30,60%
2025-12-27 13:03:00,42%
2025-12-27 13:03:30,41%
2025-12-27 13:04:00,43%
2025-12-27 13:04:30,42%
2025-12-27 13:05:00,42%
2025-12-27 13:05:30,43%
2025-12-27 13:06:00,50%
2025-12-27 13:06:30,51%
2025-12-27 13:07:00,45%
2025-12-27 13:07:30,55%
2025-12-27 13:08:00,40%
2025-12-27 13:08:30,40%
2025-12-27 13:09:00,40%
2025-12-27 13:09:30,41%
2025-12-27 13:10:00,47%
2025-12-27 13:10:30,43%
2025-12-27 13:11:00,47%
2025-12-27 13:11:30,43%
2025-12-27 13:12:00,46%
2025-12-27 13:12:30,47%
2025-12-27 13:13:00,48%
2025-12-27 13:13:30,39%
2025-12-27 13:14:00,44%
2025-12-27 13:14:30,47%
2025-12-27 13:15:00,41%
2025-12-27 13:15:30,49%
2025-12-27 13:16:00,49%
2025-12-27 13:16:30,41%
2025-12-27 13:17:00,40%
2025-12-27 13:17:30,40%
2025-12-27 13:18:00,40%
2025-12-27 13:18:30,48%
2025-12-27 13:19:00,40%
2025-12-27 13:19:30,42%
2025-12-27 13:20:00,42%
2025-12-27 13:20:30,47%
2025-12-27 13:21:00,40%
2025-12-27 13:21:30,43%
2025-12-27 13:22:00,50%
2025-12-27 13:22:30,41%
2025-12-27 13:23:00,44%
2025-12-27 13:23:30,40%
2025-12-27 13:24:00,44%
2025-12-27 13:24:30,49%
2025-12-27 13:25:00,48%
2025-12-27 13:25:30,47%
2025-12-27 13:26:00,47%
2025-12-27 13:26:30,47%
2025-12-27 13:27:00,45%
2025-12-27 13:27:30,46%
2025-12-27 13:28:00,46%
2025-12-27 13:28:30,40%
2025-12-27 13:29:00,40%
2025-12-27 13:29:30,47%
2025-12-27 13:30:00,45%
2025-12-27 13:30:30,40%
2025-12-27 13:31:00,40%
2025-12-27 13:31:30,44%
2025-12-27 13:32:00,47%
2025-12-27 13:32:30,40%
2025-12-27 13:33:00,39%
2025-12-27 13:33:30,47%
2025-12-27 13:34:00,41%
2025-12-27 13:34:30,47%
2025-12-27 13:35:00,42%
2025-12-27 13:35:30,35%
2025-12-27 13:36:00,43%
2025-12-27 13:36:30,47%
2025-12-27 13:37:00,41%
2025-12-27 13:37:30,39%
2025-12-27 13:38:00,47%
2025-12-27 13:38:30,45%
