"Time","GPU Temperature"
2025-12-27 11:02:30,42.3 °C
2025-12-27 11:03:00,42.5 °C
2025-12-27 11:03:30,55.5 °C
2025-12-27 11:04:00,66.5 °C
2025-12-27 11:04:30,77 °C
2025-12-27 11:05:00,81 °C
2025-12-27 11:05:30,82.8 °C
2025-12-27 11:06:00,81.3 °C
2025-12-27 11:06:30,83 °C
2025-12-27 11:07:00,84.3 °C
2025-12-27 11:07:30,84.3 °C
2025-12-27 11:08:00,84.5 °C
2025-12-27 11:08:30,84.5 °C
2025-12-27 11:09:00,84.5 °C
2025-12-27 11:09:30,84.8 °C
2025-12-27 11:10:00,84 °C
2025-12-27 11:10:30,84.3 °C
2025-12-27 11:11:00,84.8 °C
2025-12-27 11:11:30,84.5 °C
2025-12-27 11:12:00,83.8 °C
2025-12-27 11:12:30,84.5 °C
2025-12-27 11:13:00,84.5 °C
2025-12-27 11:13:30,85 °C
2025-12-27 11:14:00,85 °C
2025-12-27 11:14:30,85 °C
2025-12-27 11:15:00,85 °C
2025-12-27 11:15:30,85 °C
2025-12-27 11:16:00,84.5 °C
2025-12-27 11:16:30,84.8 °C
2025-12-27 11:17:00,84.8 °C
2025-12-27 11:17:30,85 °C
2025-12-27 11:18:00,85 °C
2025-12-27 11:18:30,85 °C
2025-12-27 11:19:00,83.3 °C
2025-12-27 11:19:30,85 °C
2025-12-27 11:20:00,85 °C
2025-12-27 11:20:30,84.8 °C
2025-12-27 11:21:00,85 °C
2025-12-27 11:21:30,84.8 °C
2025-12-27 11:22:00,85.3 °C
2025-12-27 11:22:30,85.3 °C
2025-12-27 11:23:00,85.3 °C
2025-12-27 11:23:30,85.3 °C
2025-12-27 11:24:00,85.5 °C
2025-12-27 11:24:30,85.5 °C
2025-12-27 11:25:00,85.5 °C
2025-12-27 11:25:30,85.5 °C
2025-12-27 11:26:00,85.5 °C
2025-12-27 11:26:30,85.3 °C
2025-12-27 11:27:00,85.5 °C
2025-12-27 11:27:30,85.5 °C
2025-12-27 11:28:00,85.5 °C
2025-12-27 11:28:30,85 °C
2025-12-27 11:29:00,85.5 °C
2025-12-27 11:29:30,85.5 °C
2025-12-27 11:30:00,85.3 °C
2025-12-27 11:30:30,85 °C
2025-12-27 11:31:00,85.3 °C
2025-12-27 11:31:30,85.5 °C
2025-12-27 11:32:00,85.5 °C
2025-12-27 11:32:30,85.5 °C
2025-12-27 11:33:00,85.5 °C
2025-12-27 11:33:30,85.5 °C
2025-12-27 11:34:00,85.3 °C
2025-12-27 11:34:30,85.5 °C
2025-12-27 11:35:00,85 °C
2025-12-27 11:35:30,85.5 °C
2025-12-27 11:36:00,85.3 °C
2025-12-27 11:36:30,85.5 °C
2025-12-27 11:37:00,85.5 °C
2025-12-27 11:37:30,85.3 °C
2025-12-27 11:38:00,85.5 °C
2025-12-27 11:38:30,85.5 °C
2025-12-27 11:39:00,85.5 °C
2025-12-27 11:39:30,85.5 °C
2025-12-27 11:40:00,85.5 °C
2025-12-27 11:40:30,85.5 °C
2025-12-27 11:41:00,85.8 °C
2025-12-27 11:41:30,84.8 °C
2025-12-27 11:42:00,85 °C
2025-12-27 11:42:30,85.3 °C
2025-12-27 11:43:00,85.5 °C
2025-12-27 11:43:30,85.8 °C
2025-12-27 11:44:00,85.5 °C
2025-12-27 11:44:30,85.5 °C
2025-12-27 11:45:00,85.5 °C
2025-12-27 11:45:30,85.3 °C
2025-12-27 11:46:00,85.5 °C
2025-12-27 11:46:30,85.5 °C
2025-12-27 11:47:00,85.3 °C
2025-12-27 11:47:30,85.5 °C
2025-12-27 11:48:00,85.3 °C
2025-12-27 11:48:30,85.3 °C
2025-12-27 11:49:00,85.3 °C
2025-12-27 11:49:30,85.3 °C
2025-12-27 11:50:00,85.3 °C
2025-12-27 11:50:30,85.5 °C
2025-12-27 11:51:00,85.5 °C
2025-12-27 11:51:30,85.3 °C
2025-12-27 11:52:00,85.5 °C
2025-12-27 11:52:30,84.8 °C
2025-12-27 11:53:00,84.8 °C
2025-12-27 11:53:30,85.3 °C
2025-12-27 11:54:00,84.5 °C
2025-12-27 11:54:30,84.8 °C
2025-12-27 11:55:00,84.3 °C
2025-12-27 11:55:30,85 °C
