Time;CPU Usage
27/12/2025 11:02;1,49%
27/12/2025 11:03;1,43%
27/12/2025 11:03;2,41%
27/12/2025 11:04;3,68%
27/12/2025 11:04;1,36%
27/12/2025 11:05;7,71%
27/12/2025 11:05;3,86%
27/12/2025 11:06;3,75%
27/12/2025 11:06;3,65%
27/12/2025 11:07;3,75%
27/12/2025 11:07;3,87%
27/12/2025 11:08;3,83%
27/12/2025 11:08;3,00%
27/12/2025 11:09;3,36%
27/12/2025 11:09;3,51%
27/12/2025 11:10;3,68%
27/12/2025 11:10;3,80%
27/12/2025 11:11;3,79%
27/12/2025 11:11;3,33%
27/12/2025 11:12;3,99%
27/12/2025 11:12;3,44%
27/12/2025 11:13;3,93%
27/12/2025 11:13;3,74%
27/12/2025 11:14;3,80%
27/12/2025 11:14;3,74%
27/12/2025 11:15;3,55%
27/12/2025 11:15;7,15%
27/12/2025 11:16;3,69%
27/12/2025 11:16;3,09%
27/12/2025 11:17;3,57%
27/12/2025 11:17;3,58%
27/12/2025 11:18;3,61%
27/12/2025 11:18;3,67%
27/12/2025 11:19;3,81%
27/12/2025 11:19;3,67%
27/12/2025 11:20;3,19%
27/12/2025 11:20;3,35%
27/12/2025 11:21;3,72%
27/12/2025 11:21;3,68%
27/12/2025 11:22;3,71%
27/12/2025 11:22;3,36%
27/12/2025 11:23;4,62%
27/12/2025 11:23;3,68%
27/12/2025 11:24;3,78%
27/12/2025 11:24;3,88%
27/12/2025 11:25;3,91%
27/12/2025 11:25;3,67%
27/12/2025 11:26;3,88%
27/12/2025 11:26;3,76%
27/12/2025 11:27;4,06%
27/12/2025 11:27;4,30%
27/12/2025 11:28;4,11%
27/12/2025 11:28;3,85%
27/12/2025 11:29;3,88%
27/12/2025 11:29;3,84%
27/12/2025 11:30;3,80%
27/12/2025 11:30;4,17%
27/12/2025 11:31;4,40%
27/12/2025 11:31;3,77%
27/12/2025 11:32;4,38%
27/12/2025 11:32;3,67%
27/12/2025 11:33;3,91%
27/12/2025 11:33;3,80%
27/12/2025 11:34;4,11%
27/12/2025 11:34;4,08%
27/12/2025 11:35;3,82%
27/12/2025 11:35;3,92%
27/12/2025 11:36;3,95%
27/12/2025 11:36;4,00%
27/12/2025 11:37;4,12%
27/12/2025 11:37;3,89%
27/12/2025 11:38;3,96%
27/12/2025 11:38;3,83%
27/12/2025 11:39;4,47%
27/12/2025 11:39;3,72%
27/12/2025 11:40;4,15%
27/12/2025 11:40;3,83%
27/12/2025 11:41;4,22%
27/12/2025 11:41;4,16%
27/12/2025 11:42;4,59%
27/12/2025 11:42;4,20%
27/12/2025 11:43;3,94%
27/12/2025 11:43;4,32%
27/12/2025 11:44;4,20%
27/12/2025 11:44;3,96%
27/12/2025 11:45;4,17%
27/12/2025 11:45;4,14%
27/12/2025 11:46;4,12%
27/12/2025 11:46;3,84%
27/12/2025 11:47;4,38%
27/12/2025 11:47;4,14%
27/12/2025 11:48;4,03%
27/12/2025 11:48;3,89%
27/12/2025 11:49;4,40%
27/12/2025 11:49;4,12%
27/12/2025 11:50;4,25%
27/12/2025 11:50;3,98%
27/12/2025 11:51;4,18%
27/12/2025 11:51;4,45%
27/12/2025 11:52;4,20%
27/12/2025 11:52;4,20%
27/12/2025 11:53;4,27%
27/12/2025 11:53;4,13%
27/12/2025 11:54;4,58%
27/12/2025 11:54;4,66%
27/12/2025 11:55;4,76%
27/12/2025 11:55;4,54%
27/12/2025 11:56;4,47%
27/12/2025 11:56;3,88%
27/12/2025 11:57;4,30%
27/12/2025 11:57;3,90%
27/12/2025 11:58;4,13%
27/12/2025 11:58;4,23%
27/12/2025 11:59;4,60%
27/12/2025 11:59;4,45%
27/12/2025 12:00;4,47%
27/12/2025 12:00;4,00%
27/12/2025 12:01;5,17%
27/12/2025 12:01;4,44%
27/12/2025 12:02;4,32%
27/12/2025 12:02;4,25%
27/12/2025 12:03;4,21%
27/12/2025 12:03;4,12%
27/12/2025 12:04;4,44%
27/12/2025 12:04;4,78%
27/12/2025 12:05;4,60%
27/12/2025 12:05;4,07%
27/12/2025 12:06;4,29%
27/12/2025 12:06;3,88%
27/12/2025 12:07;4,45%
27/12/2025 12:07;4,08%
27/12/2025 12:08;4,13%
27/12/2025 12:08;4,18%
27/12/2025 12:09;4,48%
27/12/2025 12:09;4,09%
27/12/2025 12:10;4,38%
27/12/2025 12:10;4,49%
27/12/2025 12:11;4,69%
27/12/2025 12:11;5,30%
27/12/2025 12:12;5,00%
27/12/2025 12:12;4,59%
27/12/2025 12:13;4,82%
27/12/2025 12:13;4,48%
27/12/2025 12:14;4,31%
27/12/2025 12:14;4,19%
27/12/2025 12:15;4,25%
27/12/2025 12:15;4,63%
27/12/2025 12:16;4,92%
27/12/2025 12:16;4,76%
27/12/2025 12:17;4,44%
27/12/2025 12:17;4,50%
27/12/2025 12:18;4,27%
27/12/2025 12:18;4,51%
27/12/2025 12:19;4,80%
27/12/2025 12:19;4,24%
27/12/2025 12:20;4,64%
27/12/2025 12:20;4,61%
27/12/2025 12:21;4,41%
27/12/2025 12:21;4,44%
27/12/2025 12:22;4,68%
27/12/2025 12:22;4,59%
27/12/2025 12:23;4,63%
27/12/2025 12:23;4,42%
27/12/2025 12:24;4,39%
27/12/2025 12:24;4,18%
27/12/2025 12:25;4,32%
27/12/2025 12:25;4,25%
27/12/2025 12:26;4,87%
27/12/2025 12:26;4,94%
27/12/2025 12:27;4,92%
27/12/2025 12:27;4,68%
27/12/2025 12:28;4,97%
27/12/2025 12:28;4,85%
27/12/2025 12:29;4,82%
27/12/2025 12:29;4,65%
27/12/2025 12:30;4,66%
27/12/2025 12:30;4,18%
27/12/2025 12:31;4,79%
27/12/2025 12:31;4,77%
27/12/2025 12:32;5,07%
27/12/2025 12:32;4,65%
27/12/2025 12:33;4,85%
27/12/2025 12:33;4,66%
27/12/2025 12:34;4,75%
27/12/2025 12:34;4,69%
27/12/2025 12:35;4,47%
27/12/2025 12:35;4,51%
27/12/2025 12:36;4,75%
27/12/2025 12:36;4,90%
27/12/2025 12:37;5,02%
27/12/2025 12:37;4,73%
27/12/2025 12:38;4,63%
27/12/2025 12:38;4,24%
27/12/2025 12:39;4,85%
27/12/2025 12:39;4,38%
27/12/2025 12:40;4,77%
27/12/2025 12:40;4,77%
27/12/2025 12:41;4,86%
27/12/2025 12:41;4,74%
27/12/2025 12:42;5,04%
27/12/2025 12:42;4,91%
27/12/2025 12:43;4,63%
27/12/2025 12:43;4,47%
27/12/2025 12:44;4,59%
27/12/2025 12:44;5,01%
27/12/2025 12:45;5,03%
27/12/2025 12:45;4,60%
27/12/2025 12:46;4,91%
27/12/2025 12:46;4,67%
27/12/2025 12:47;4,68%
27/12/2025 12:47;4,81%
27/12/2025 12:48;4,58%
27/12/2025 12:48;4,76%
27/12/2025 12:49;4,89%
27/12/2025 12:49;4,67%
27/12/2025 12:50;4,84%
27/12/2025 12:50;4,55%
27/12/2025 12:51;4,81%
27/12/2025 12:51;4,60%
27/12/2025 12:52;4,81%
27/12/2025 12:52;4,73%
27/12/2025 12:53;4,92%
27/12/2025 12:53;5,18%
27/12/2025 12:54;5,08%
27/12/2025 12:54;4,95%
27/12/2025 12:55;5,03%
27/12/2025 12:55;4,41%
27/12/2025 12:56;4,74%
27/12/2025 12:56;4,63%
27/12/2025 12:57;4,92%
27/12/2025 12:57;4,74%
27/12/2025 12:58;4,92%
27/12/2025 12:58;4,80%
27/12/2025 12:59;4,82%
27/12/2025 12:59;5,03%
27/12/2025 13:00;5,05%
27/12/2025 13:00;5,08%
27/12/2025 13:01;5,08%
27/12/2025 13:01;4,90%
27/12/2025 13:02;4,87%
27/12/2025 13:02;4,45%
27/12/2025 13:03;4,66%
27/12/2025 13:03;4,80%
27/12/2025 13:04;5,08%
27/12/2025 13:04;4,69%
27/12/2025 13:05;5,33%
27/12/2025 13:05;4,79%
27/12/2025 13:06;5,07%
27/12/2025 13:06;4,67%
27/12/2025 13:07;4,84%
27/12/2025 13:07;4,52%
27/12/2025 13:08;4,49%
27/12/2025 13:08;4,88%
27/12/2025 13:09;5,11%
27/12/2025 13:09;4,93%
27/12/2025 13:10;4,99%
27/12/2025 13:10;4,81%
27/12/2025 13:11;4,76%
27/12/2025 13:11;4,49%
27/12/2025 13:12;4,94%
27/12/2025 13:12;4,82%
27/12/2025 13:13;4,76%
27/12/2025 13:13;4,71%
27/12/2025 13:14;4,76%
27/12/2025 13:14;4,75%
27/12/2025 13:15;4,84%
27/12/2025 13:15;4,75%
27/12/2025 13:16;4,64%
27/12/2025 13:16;4,65%
27/12/2025 13:17;4,97%
27/12/2025 13:17;4,84%
27/12/2025 13:18;5,19%
27/12/2025 13:18;4,76%
27/12/2025 13:19;5,11%
27/12/2025 13:19;5,41%
27/12/2025 13:20;5,66%
27/12/2025 13:20;5,69%
27/12/2025 13:21;5,74%
27/12/2025 13:21;5,59%
27/12/2025 13:22;4,92%
27/12/2025 13:22;4,51%
27/12/2025 13:23;5,13%
27/12/2025 13:23;4,90%
27/12/2025 13:24;4,89%
27/12/2025 13:24;4,69%
27/12/2025 13:25;4,84%
27/12/2025 13:25;4,78%
27/12/2025 13:26;4,89%
27/12/2025 13:26;4,80%
27/12/2025 13:27;4,84%
27/12/2025 13:27;4,62%
27/12/2025 13:28;4,96%
27/12/2025 13:28;4,85%
27/12/2025 13:29;4,82%
27/12/2025 13:29;4,82%
27/12/2025 13:30;4,95%
27/12/2025 13:30;4,88%
27/12/2025 13:31;5,04%
27/12/2025 13:31;4,81%
27/12/2025 13:32;5,07%
27/12/2025 13:32;4,88%
27/12/2025 13:33;5,00%
27/12/2025 13:33;5,03%
27/12/2025 13:34;5,00%
27/12/2025 13:34;4,86%
27/12/2025 13:35;4,79%
27/12/2025 13:35;4,72%
27/12/2025 13:36;5,09%
27/12/2025 13:36;5,15%
27/12/2025 13:37;4,89%
27/12/2025 13:37;4,82%
27/12/2025 13:38;4,92%
27/12/2025 13:38;4,95%
27/12/2025 13:39;4,75%
27/12/2025 13:39;4,93%
27/12/2025 13:40;4,90%
27/12/2025 13:40;4,74%
27/12/2025 13:41;4,96%
27/12/2025 13:41;4,76%
27/12/2025 13:42;5,00%
27/12/2025 13:42;4,82%
27/12/2025 13:43;5,02%
27/12/2025 13:43;4,73%
27/12/2025 13:44;5,08%
27/12/2025 13:44;4,78%
27/12/2025 13:45;5,09%
27/12/2025 13:45;4,87%
27/12/2025 13:46;4,89%
27/12/2025 13:46;4,68%
27/12/2025 13:47;4,93%
27/12/2025 13:47;4,64%
27/12/2025 13:48;4,83%
27/12/2025 13:48;4,85%
27/12/2025 13:49;5,08%
27/12/2025 13:49;4,89%
27/12/2025 13:50;4,79%
27/12/2025 13:50;4,90%
27/12/2025 13:51;4,87%
27/12/2025 13:51;4,74%
27/12/2025 13:52;5,10%
27/12/2025 13:52;4,77%
27/12/2025 13:53;4,92%
27/12/2025 13:53;4,85%
