worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.234;llama3.2:3b;2025-12-16 06:35:12;A.
7;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.253;llama3.2:3b;2025-12-16 06:35:12;A
8;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.265;llama3.2:3b;2025-12-16 06:35:12;A.
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.289;llama3.2:3b;2025-12-16 06:35:12;A.
2;2;What do people aim to do at work?;A;A;1;0.293;llama3.2:3b;2025-12-16 06:35:13;A.
8;2;What do people aim to do at work?;A;A;1;0.276;llama3.2:3b;2025-12-16 06:35:13;A
7;2;What do people aim to do at work?;A;A;1;0.301;llama3.2:3b;2025-12-16 06:35:13;A.
1;2;What do people aim to do at work?;A;A;1;0.288;llama3.2:3b;2025-12-16 06:35:13;A.
6;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.716;llama3.2:3b;2025-12-16 06:35:13;A.
2;3;Where would you find magazines along side many other printed works?;B;B;1;0.286;llama3.2:3b;2025-12-16 06:35:13;B
1;3;Where would you find magazines along side many other printed works?;B;B;1;0.248;llama3.2:3b;2025-12-16 06:35:13;B
8;3;Where would you find magazines along side many other printed works?;B;B;1;0.288;llama3.2:3b;2025-12-16 06:35:13;B
5;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.839;llama3.2:3b;2025-12-16 06:35:13;A.
7;3;Where would you find magazines along side many other printed works?;B;B;1;0.286;llama3.2:3b;2025-12-16 06:35:13;B
6;2;What do people aim to do at work?;A;A;1;0.32;llama3.2:3b;2025-12-16 06:35:13;A
2;4;Where are  you likely to find a hamburger?;A;A;1;0.254;llama3.2:3b;2025-12-16 06:35:13;A
7;4;Where are  you likely to find a hamburger?;A;A;1;0.259;llama3.2:3b;2025-12-16 06:35:13;A
