worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
17;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.734;llama3.1:8b;2026-01-01 05:03:21;A;81;2;14828456;2722851342
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.757;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6910428;2744623008
14;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.776;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6869681;2764976273
11;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.797;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6886101;2785580554
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.82;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6986472;2806795263
10;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.863;llama3.1:8b;2026-01-01 05:03:21;A;81;2;21627873;2851606669
13;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.883;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6527231;2872618283
16;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.904;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6614395;2893544836
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.928;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6501161;2915417202
7;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.949;llama3.1:8b;2026-01-01 05:03:21;A;81;2;6541598;2937133212
14;2;What do people aim to do at work?;B;A;0;0.258;llama3.1:8b;2026-01-01 05:03:21;B;75;2;11055430;255539214
17;2;What do people aim to do at work?;B;A;0;0.321;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6922450;318077363
1;2;What do people aim to do at work?;B;A;0;0.322;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6975662;319568812
0;2;What do people aim to do at work?;B;A;0;0.279;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6908734;276649435
11;2;What do people aim to do at work?;B;A;0;0.32;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6912081;318087803
16;2;What do people aim to do at work?;B;A;0;0.285;llama3.1:8b;2026-01-01 05:03:21;B;75;2;11687619;282618497
10;2;What do people aim to do at work?;B;A;0;0.346;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6435357;344048244
13;2;What do people aim to do at work?;B;A;0;0.346;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6466786;344617904
7;2;What do people aim to do at work?;B;A;0;0.3;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6375442;297913568
4;2;What do people aim to do at work?;B;A;0;0.342;llama3.1:8b;2026-01-01 05:03:21;B;75;2;6573188;340415093
14;3;Where would you find magazines along side many other printed works?;B;B;1;0.287;llama3.1:8b;2026-01-01 05:03:21;B;71;2;11432004;285017217
17;3;Where would you find magazines along side many other printed works?;B;B;1;0.294;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6808864;291964393
1;3;Where would you find magazines along side many other printed works?;B;B;1;0.291;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6931998;289033825
0;3;Where would you find magazines along side many other printed works?;B;B;1;0.293;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6948139;291420362
11;3;Where would you find magazines along side many other printed works?;B;B;1;0.295;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6930926;292839343
16;3;Where would you find magazines along side many other printed works?;B;B;1;0.292;llama3.1:8b;2026-01-01 05:03:21;B;71;2;12227292;290055042
10;3;Where would you find magazines along side many other printed works?;B;B;1;0.296;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6451757;294004362
13;3;Where would you find magazines along side many other printed works?;B;B;1;0.297;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6560253;295189681
8;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.529;llama3.1:8b;2026-01-01 05:03:21;A;81;2;9646655;3519032406
7;3;Where would you find magazines along side many other printed works?;B;B;1;0.299;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6551617;297307398
15;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.55;llama3.1:8b;2026-01-01 05:03:21;A;81;2;9137941;3540401138
4;3;Where would you find magazines along side many other printed works?;B;B;1;0.298;llama3.1:8b;2026-01-01 05:03:21;B;71;2;6519907;296656493
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.573;llama3.1:8b;2026-01-01 05:03:21;A;81;2;9155132;3561903332
14;4;Where are  you likely to find a hamburger?;A;A;1;0.271;llama3.1:8b;2026-01-01 05:03:21;A;74;2;10026688;269016287
18;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.594;llama3.1:8b;2026-01-01 05:03:21;A;81;2;9227472;3584068650
1;4;Where are  you likely to find a hamburger?;A;A;1;0.246;llama3.1:8b;2026-01-01 05:03:21;A;74;2;6882725;244894624
5;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.619;llama3.1:8b;2026-01-01 05:03:21;A;81;2;9229152;3608316712
17;4;Where are  you likely to find a hamburger?;A;A;1;0.284;llama3.1:8b;2026-01-01 05:03:21;A;74;2;6975812;282370146
0;4;Where are  you likely to find a hamburger?;A;A;1;0.274;llama3.1:8b;2026-01-01 05:03:22;A;74;2;6976182;272576179
11;4;Where are  you likely to find a hamburger?;A;A;1;0.272;llama3.1:8b;2026-01-01 05:03:22;A;74;2;6925346;270833393
6;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.69;llama3.1:8b;2026-01-01 05:03:22;A;81;2;9944976;3678754022
