"Time","GPU Temperature"
2025-12-29 16:01:00,47.3 °C
2025-12-29 16:01:30,47 °C
2025-12-29 16:02:00,54.3 °C
2025-12-29 16:02:30,56.3 °C
2025-12-29 16:03:00,56.5 °C
2025-12-29 16:03:30,56.5 °C
2025-12-29 16:04:00,56.8 °C
2025-12-29 16:04:30,56 °C
2025-12-29 16:05:00,55.5 °C
2025-12-29 16:05:30,55.8 °C
2025-12-29 16:06:00,55.5 °C
2025-12-29 16:06:30,55.3 °C
2025-12-29 16:07:00,55.5 °C
2025-12-29 16:07:30,55.5 °C
2025-12-29 16:08:00,55 °C
2025-12-29 16:08:30,54.8 °C
2025-12-29 16:09:00,53 °C
2025-12-29 16:09:30,54.5 °C
2025-12-29 16:10:00,54 °C
2025-12-29 16:10:30,54.5 °C
2025-12-29 16:11:00,54.8 °C
2025-12-29 16:11:30,54.5 °C
2025-12-29 16:12:00,54.3 °C
2025-12-29 16:12:30,54.3 °C
2025-12-29 16:13:00,54.3 °C
2025-12-29 16:13:30,54.3 °C
2025-12-29 16:14:00,54 °C
2025-12-29 16:14:30,54.3 °C
2025-12-29 16:15:00,54 °C
2025-12-29 16:15:30,54.3 °C
2025-12-29 16:16:00,53.3 °C
2025-12-29 16:16:30,54 °C
2025-12-29 16:17:00,54.3 °C
2025-12-29 16:17:30,54.3 °C
2025-12-29 16:18:00,54.3 °C
2025-12-29 16:18:30,54.3 °C
2025-12-29 16:19:00,54.3 °C
2025-12-29 16:19:30,54.3 °C
2025-12-29 16:20:00,54 °C
2025-12-29 16:20:30,54.3 °C
2025-12-29 16:21:00,54.3 °C
2025-12-29 16:21:30,54.5 °C
2025-12-29 16:22:00,54.3 °C
2025-12-29 16:22:30,54.3 °C
2025-12-29 16:23:00,54.3 °C
2025-12-29 16:23:30,54.3 °C
2025-12-29 16:24:00,54 °C
2025-12-29 16:24:30,54.5 °C
2025-12-29 16:25:00,54.5 °C
2025-12-29 16:25:30,54.3 °C
2025-12-29 16:26:00,54.3 °C
2025-12-29 16:26:30,54.3 °C
2025-12-29 16:27:00,52 °C
2025-12-29 16:27:30,54.3 °C
2025-12-29 16:28:00,54.3 °C
2025-12-29 16:28:30,54.3 °C
2025-12-29 16:29:00,54 °C
2025-12-29 16:29:30,54.3 °C
2025-12-29 16:30:00,54.8 °C
2025-12-29 16:30:30,54.3 °C
2025-12-29 16:31:00,54.5 °C
2025-12-29 16:31:30,54 °C
2025-12-29 16:32:00,54.3 °C
2025-12-29 16:32:30,54 °C
2025-12-29 16:33:00,54.5 °C
2025-12-29 16:33:30,54.5 °C
2025-12-29 16:34:00,53.5 °C
2025-12-29 16:34:30,54 °C
2025-12-29 16:35:00,54.3 °C
2025-12-29 16:35:30,54.5 °C
2025-12-29 16:36:00,54.3 °C
2025-12-29 16:36:30,54.3 °C
2025-12-29 16:37:00,54.5 °C
2025-12-29 16:37:30,54.3 °C
2025-12-29 16:38:00,54.5 °C
2025-12-29 16:38:30,52.5 °C
