Time;GPU Utilization
29/12/2025 16:01;0%
29/12/2025 16:01;0%
29/12/2025 16:02;19,50%
29/12/2025 16:02;21%
29/12/2025 16:03;20,50%
29/12/2025 16:03;20,80%
29/12/2025 16:04;20,80%
29/12/2025 16:04;21%
29/12/2025 16:05;20,50%
29/12/2025 16:05;20,50%
29/12/2025 16:06;20,50%
29/12/2025 16:06;20,80%
29/12/2025 16:07;20,30%
29/12/2025 16:07;20,50%
29/12/2025 16:08;21%
29/12/2025 16:08;20,50%
29/12/2025 16:09;6,25%
29/12/2025 16:09;21%
29/12/2025 16:10;21,50%
29/12/2025 16:10;21,30%
29/12/2025 16:11;20,80%
29/12/2025 16:11;21,30%
29/12/2025 16:12;20%
29/12/2025 16:12;20,30%
29/12/2025 16:13;21,30%
29/12/2025 16:13;19,80%
29/12/2025 16:14;20,80%
29/12/2025 16:14;20,80%
29/12/2025 16:15;20,50%
29/12/2025 16:15;21,30%
29/12/2025 16:16;21,30%
29/12/2025 16:16;20,50%
29/12/2025 16:17;21%
29/12/2025 16:17;20,50%
29/12/2025 16:18;20,50%
29/12/2025 16:18;21%
29/12/2025 16:19;20,30%
29/12/2025 16:19;20,30%
29/12/2025 16:20;20,30%
29/12/2025 16:20;2,25%
29/12/2025 16:21;21%
29/12/2025 16:21;20,30%
29/12/2025 16:22;20,50%
29/12/2025 16:22;21,30%
29/12/2025 16:23;20,30%
29/12/2025 16:23;20,80%
29/12/2025 16:24;21%
29/12/2025 16:24;20%
29/12/2025 16:25;21%
29/12/2025 16:25;21%
29/12/2025 16:26;20,30%
29/12/2025 16:26;21%
29/12/2025 16:27;4,25%
29/12/2025 16:27;20,50%
29/12/2025 16:28;21%
29/12/2025 16:28;20,80%
29/12/2025 16:29;21%
29/12/2025 16:29;21%
29/12/2025 16:30;20,50%
29/12/2025 16:30;21,30%
29/12/2025 16:31;20,50%
29/12/2025 16:31;20,30%
29/12/2025 16:32;20,50%
29/12/2025 16:32;21%
29/12/2025 16:33;20,30%
29/12/2025 16:33;20,50%
29/12/2025 16:34;21%
29/12/2025 16:34;20,30%
29/12/2025 16:35;20,30%
29/12/2025 16:35;20,50%
29/12/2025 16:36;7,75%
29/12/2025 16:36;21,30%
29/12/2025 16:37;12,80%
29/12/2025 16:37;10%
29/12/2025 16:38;10,50%
29/12/2025 16:38;20,30%
;19%
