Time;GPU Utilization
15/12/2025 16:53;0%
15/12/2025 16:53;0%
15/12/2025 16:54;8,50%
15/12/2025 16:54;0%
15/12/2025 16:55;19,20%
15/12/2025 16:55;31,50%
15/12/2025 16:56;27,70%
15/12/2025 16:56;15,70%
15/12/2025 16:57;0%
15/12/2025 16:57;0%
15/12/2025 16:58;0%
15/12/2025 16:58;0%
15/12/2025 16:59;29,70%
15/12/2025 16:59;0%
15/12/2025 17:00;15,80%
15/12/2025 17:00;0%
15/12/2025 17:01;14%
15/12/2025 17:01;15,70%
15/12/2025 17:02;31,50%
15/12/2025 17:02;15,80%
15/12/2025 17:03;0%
15/12/2025 17:03;0%
15/12/2025 17:04;0%
15/12/2025 17:04;14%
15/12/2025 17:05;31,70%
15/12/2025 17:05;16%
15/12/2025 17:06;30%
15/12/2025 17:06;21%
15/12/2025 17:07;0%
15/12/2025 17:07;0%
15/12/2025 17:08;0%
15/12/2025 17:08;0%
15/12/2025 17:09;29,30%
15/12/2025 17:09;31,70%
15/12/2025 17:10;45,30%
15/12/2025 17:10;0%
15/12/2025 17:11;0%
15/12/2025 17:11;0%
15/12/2025 17:12;14,20%
15/12/2025 17:12;42,80%
15/12/2025 17:13;0%
15/12/2025 17:13;31,50%
15/12/2025 17:14;15,80%
15/12/2025 17:14;0%
15/12/2025 17:15;0%
15/12/2025 17:15;15,70%
15/12/2025 17:16;0%
15/12/2025 17:16;0%
15/12/2025 17:17;15,30%
15/12/2025 17:17;15,80%
15/12/2025 17:18;0%
15/12/2025 17:18;0%
15/12/2025 17:19;15,80%
15/12/2025 17:19;0%
15/12/2025 17:20;0%
15/12/2025 17:20;6,17%
15/12/2025 17:21;15,70%
15/12/2025 17:21;0%
15/12/2025 17:22;0%
15/12/2025 17:22;0%
15/12/2025 17:23;14%
15/12/2025 17:23;0%
15/12/2025 17:24;45,80%
15/12/2025 17:24;0%
15/12/2025 17:25;16%
15/12/2025 17:25;15,80%
15/12/2025 17:26;0%
15/12/2025 17:26;15,70%
15/12/2025 17:27;45,50%
15/12/2025 17:27;15,30%
15/12/2025 17:28;0%
15/12/2025 17:28;0%
15/12/2025 17:29;16%
15/12/2025 17:29;29,30%
15/12/2025 17:30;15,80%
15/12/2025 17:30;31,70%
15/12/2025 17:31;14%
15/12/2025 17:31;15,80%
15/12/2025 17:32;0%
15/12/2025 17:32;30,20%
15/12/2025 17:33;29,30%
15/12/2025 17:33;31,30%
15/12/2025 17:34;31,50%
15/12/2025 17:34;15,80%
15/12/2025 17:35;0%
15/12/2025 17:35;13,70%
15/12/2025 17:36;31,70%
15/12/2025 17:36;0%
15/12/2025 17:37;0%
15/12/2025 17:37;9,67%
15/12/2025 17:38;29,70%
15/12/2025 17:38;28,30%
15/12/2025 17:39;30,70%
15/12/2025 17:39;0%
15/12/2025 17:40;14%
15/12/2025 17:40;14,20%
15/12/2025 17:41;31,50%
15/12/2025 17:41;0%
15/12/2025 17:42;30%
15/12/2025 17:42;31,50%
15/12/2025 17:43;15,70%
15/12/2025 17:43;15,80%
15/12/2025 17:44;15,80%
15/12/2025 17:44;29,50%
;13%
