"Time","GPU Temperature"
2025-12-15 16:53:00,44.8 °C
2025-12-15 16:53:30,44.8 °C
2025-12-15 16:54:00,46.2 °C
2025-12-15 16:54:30,47.7 °C
2025-12-15 16:55:00,54.3 °C
2025-12-15 16:55:30,56.8 °C
2025-12-15 16:56:00,57.8 °C
2025-12-15 16:56:30,56.5 °C
2025-12-15 16:57:00,56.2 °C
2025-12-15 16:57:30,55.3 °C
2025-12-15 16:58:00,54.5 °C
2025-12-15 16:58:30,55.3 °C
2025-12-15 16:59:00,58.5 °C
2025-12-15 16:59:30,57.8 °C
2025-12-15 17:00:00,60 °C
2025-12-15 17:00:30,55.7 °C
2025-12-15 17:01:00,60 °C
2025-12-15 17:01:30,59.7 °C
2025-12-15 17:02:00,62 °C
2025-12-15 17:02:30,59.5 °C
2025-12-15 17:03:00,58.3 °C
2025-12-15 17:03:30,57.2 °C
2025-12-15 17:04:00,56.5 °C
2025-12-15 17:04:30,57.2 °C
2025-12-15 17:05:00,61.8 °C
2025-12-15 17:05:30,61.5 °C
2025-12-15 17:06:00,56.2 °C
2025-12-15 17:06:30,59.5 °C
2025-12-15 17:07:00,58 °C
2025-12-15 17:07:30,54.8 °C
2025-12-15 17:08:00,56.5 °C
2025-12-15 17:08:30,54.3 °C
2025-12-15 17:09:00,61.5 °C
2025-12-15 17:09:30,59.7 °C
2025-12-15 17:10:00,62 °C
2025-12-15 17:10:30,57 °C
2025-12-15 17:11:00,58 °C
2025-12-15 17:11:30,57.8 °C
2025-12-15 17:12:00,57.7 °C
2025-12-15 17:12:30,61.5 °C
2025-12-15 17:13:00,58.7 °C
2025-12-15 17:13:30,61.5 °C
2025-12-15 17:14:00,60.5 °C
2025-12-15 17:14:30,58.2 °C
2025-12-15 17:15:00,57.5 °C
2025-12-15 17:15:30,59.8 °C
2025-12-15 17:16:00,56.3 °C
2025-12-15 17:16:30,54.7 °C
2025-12-15 17:17:00,59.5 °C
2025-12-15 17:17:30,61.3 °C
2025-12-15 17:18:00,58.2 °C
2025-12-15 17:18:30,55 °C
2025-12-15 17:19:00,60.3 °C
2025-12-15 17:19:30,58 °C
2025-12-15 17:20:00,54.8 °C
2025-12-15 17:20:30,55.5 °C
2025-12-15 17:21:00,59.5 °C
2025-12-15 17:21:30,59.2 °C
2025-12-15 17:22:00,55.7 °C
2025-12-15 17:22:30,55.2 °C
2025-12-15 17:23:00,56.8 °C
2025-12-15 17:23:30,57.8 °C
2025-12-15 17:24:00,63.2 °C
2025-12-15 17:24:30,53.7 °C
2025-12-15 17:25:00,60.5 °C
2025-12-15 17:25:30,58.7 °C
2025-12-15 17:26:00,57.7 °C
2025-12-15 17:26:30,59.7 °C
2025-12-15 17:27:00,61 °C
2025-12-15 17:27:30,56.5 °C
2025-12-15 17:28:00,58 °C
2025-12-15 17:28:30,58.3 °C
2025-12-15 17:29:00,60.8 °C
2025-12-15 17:29:30,61.7 °C
2025-12-15 17:30:00,60.5 °C
2025-12-15 17:30:30,59.8 °C
2025-12-15 17:31:00,59 °C
2025-12-15 17:31:30,60.8 °C
2025-12-15 17:32:00,58.5 °C
2025-12-15 17:32:30,64.2 °C
2025-12-15 17:33:00,61.7 °C
2025-12-15 17:33:30,61.8 °C
2025-12-15 17:34:00,61.7 °C
2025-12-15 17:34:30,59.2 °C
2025-12-15 17:35:00,57.7 °C
2025-12-15 17:35:30,58 °C
2025-12-15 17:36:00,61.3 °C
2025-12-15 17:36:30,58.5 °C
2025-12-15 17:37:00,56.7 °C
2025-12-15 17:37:30,55.7 °C
2025-12-15 17:38:00,61.8 °C
2025-12-15 17:38:30,61 °C
2025-12-15 17:39:00,60.2 °C
2025-12-15 17:39:30,57.7 °C
2025-12-15 17:40:00,58 °C
2025-12-15 17:40:30,56.7 °C
2025-12-15 17:41:00,60.8 °C
2025-12-15 17:41:30,57.2 °C
2025-12-15 17:42:00,59.3 °C
2025-12-15 17:42:30,62.2 °C
2025-12-15 17:43:00,59.8 °C
2025-12-15 17:43:30,61.5 °C
2025-12-15 17:44:00,59.3 °C
2025-12-15 17:44:30,63.3 °C
